0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36231 56121	5	 * 	311.84	DCR|4VULN|3DMG|2DUR|3LIT	13aLIT|236DMG|36aBPWR|456aVULN|7RCR|8aDUR|9LEGI
2	36133 56121	4	   	306.83	DCR|4VULN|3DMG|2DUR|2LIT	1aLIT|256DMG|3DMSP|456aVULN|56aBPWR|7RCR|8aDUR|9LEGI
3	34123 32212	6	 * 	298.04	DCR|5VULN|2DUR|3LIT|2CDMG	169LIT|25DUR|3459aVULN|59BPWR|7RCR|89CDMG
4	34123 34212	7	   	298.04	DCR|5VULN|2DUR|3LIT|2CDMG	169LIT|25DUR|3459aVULN|59BPWR|7RCR|89CDMG
5	34123 34312	8	   	298.04	DCR|5VULN|2DUR|3LIT|2CDMG	169LIT|25DUR|3459aVULN|59BPWR|7RCR|89CDMG
6	34123 42212	5	   	298.04	DCR|5VULN|2DUR|3LIT|2CDMG	169LIT|25DUR|3459aVULN|59BPWR|7RCR|89CDMG
7	34123 51316	5	   	293.03	DCR|5VULN|2DUR|2CDMG|2LIT	19LIT|25DUR|3459aVULN|59BPWR|69CDMG|7RCR|8RCVC
8	36231 52231	5	   	291.91	DCR|4VULN|3DMG|3LIT|1ASPD	138LIT|236DMG|36BPWR|4569VULN|7ASPD|aRCR
9	36233 24321	4	   	291.91	DCR|4VULN|3DMG|3LIT|1ASPD	136LIT|235DMG|35BPWR|4578VULN|9ASPD|aRCR
10	34123 33216	9	 * 	291.30	DCR|5VULN|3DUR|3LIT	167LIT|257DUR|34578VULN|57BPWR|9DMSP|aRCR
11	34123 33226	8	   	291.30	DCR|5VULN|3DUR|3LIT	167LIT|257DUR|34578VULN|57BPWR|9RCVC|aRCR
12	34123 33536	8	   	291.30	DCR|5VULN|3DUR|3LIT	167LIT|257DUR|34579VULN|57BPWR|8RCVC|aRCR
13	36241 16311	9	   	289.20	DCR|3VULN|3DMG|2DUR|3LIT	13aLIT|237DMG|3aBPWR|4BEXP|59aVULN|6RCR|8aDUR
14	36241 16331	8	   	289.20	DCR|3VULN|3DMG|2DUR|3LIT	13aLIT|237DMG|3aBPWR|4BEXP|59aVULN|6RCR|8aDUR
15	36231 36121	5	   	289.10	DCR|3VULN|3DMG|2DUR|3LIT	13aLIT|236DMG|3aBPWR|45aVULN|7RCR|8aDUR|9LEGI
16	36231 36271	5	   	289.10	DCR|3VULN|3DMG|2DUR|3LIT	13aLIT|236DMG|3aBPWR|45aVULN|7RCR|8MBVNT|9aDUR
17	36232 16311	9	   	289.10	DCR|3VULN|3DMG|2DUR|3LIT	13aLIT|237DMG|3aBPWR|49aVULN|5LEGI|6RCR|8aDUR
18	36232 16331	8	   	289.10	DCR|3VULN|3DMG|2DUR|3LIT	13aLIT|237DMG|3aBPWR|49aVULN|5LEGI|6RCR|8aDUR
19	36232 16361	7	   	289.10	DCR|3VULN|3DMG|2DUR|3LIT	13aLIT|237DMG|3aBPWR|48aVULN|5LEGI|6RCR|9aDUR
20	34123 12214	9	   	287.68	DCR|4VULN|2DUR|1TLV|1CDMG|1ASPD	1LIT|25DUR|3457VULN|5BPWR|6ASPD|8CDMG|9RCR|aTLV
21	36233 43231	4	   	287.57	DCR|3VULN|3DMG|2LIT|1CDMG|1ASPD	13LIT|235DMG|35BPWR|458VULN|6CDMG|7ASPD|9AART|aRCR
22	34123 12643	10	   	287.51	DCR|4VULN|2DUR|1DMG|1ASPD	1LIT|25DUR|3457VULN|5BPWR|6ASPD|8DMG|9AART|aRCR
23	36113 56121	3	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	1aLIT|246DMG|3DMSP|56aVULN|6aBPWR|7RCR|8aDUR|9LEGI
24	36133 36121	4	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	1aLIT|256DMG|3DMSP|45aVULN|5aBPWR|7RCR|8aDUR|9LEGI
25	36133 36271	4	   	284.09	DCR|3VULN|3DMG|2DUR|2LIT	1aLIT|256DMG|3DMSP|45aVULN|5aBPWR|7RCR|8MBVNT|9aDUR
26	22321 32361	4	   	283.92	DCR|5VULN|2DUR|1TLV	1LWND|25DUR|3458aVULN|5BPWR|6TLV|7AART|9RCR
27	36421 41121	4	   	281.99	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	19LIT|29DMG|3CDMG|45aVULN|6TBNT|7RCR|89DUR|9BPWR
28	36421 41121	3	   	281.99	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	19LIT|29DMG|3CDMG|45aVULN|6TBNT|7RCR|89DUR|9BPWR
29	34331 41421	5	   	281.99	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	19LIT|29DUR|35DMG|4CDMG|6BBNT|7RCR|89aVULN|9BPWR
