0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54624 51213	1	 * 	265.12	DCR|2VULN|3DMG|3DUR|1AART	1MBVNT|2RCVC|36aDMG|4AART|56aDUR|6aBPWR|7TBNT|8RCR|9aVULN
2	54343 66122	4	 * 	258.34	DCR|4VULN|2DUR|2TLV	1MBVNT|2LEGI|369aVULN|4LWND|59DUR|7RCR|89TLV|9BPWR
3	36142 16544	3	   	255.55	DCR|2VULN|3DMG|3DUR	17aZMB|2MBVNT|3DUST|47aDMG|567DUR|7aBPWR|8aVULN|9RCR
4	36342 16544	2	   	255.55	DCR|2VULN|3DMG|3DUR	17aZMB|2MBVNT|3DUST|47aDMG|567DUR|7aBPWR|8aVULN|9RCR
5	53142 16544	3	   	255.55	DCR|2VULN|3DMG|3DUR	1MBVNT|27aZMB|3DUST|47aDMG|567DUR|7aBPWR|8aVULN|9RCR
6	53342 16544	2	   	255.55	DCR|2VULN|3DMG|3DUR	1MBVNT|27aZMB|3DUST|47aDMG|567DUR|7aBPWR|8aVULN|9RCR
7	55451 11242	1	 * 	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MBVNT|236VULN|4LIT|5CDMG|7DUR|8DMG|9ASPD|aRCR
8	36551 34423	9	 * 	252.06	DCR|4VULN|1DMG|1DUR	1ZMB|2MBVNT|3LIT|4DUR|567aVULN|8DMG|9RCR
9	53551 34423	9	   	252.06	DCR|4VULN|1DMG|1DUR	1MBVNT|2ZMB|3LIT|4DUR|567aVULN|8DMG|9RCR
10	26125 61132	3	 * 	252.02	DCR|3DMG|3DUR|1VULN|2ASPD	1RMIN|27ASPD|367DUR|4BELT|567DMG|67BPWR|8RCR|9LIT|aVULN
11	55424 31282	1	 * 	251.66	DCR|4VULN|3DUR|1SELL	1MBVNT|237aVULN|4BELT|57aDUR|67aFEWX|7aBPWR|8SELL|9RCR
12	26231 46723	6	 * 	250.69	DCR|3VULN|2DUR|2ASPD|1CDMG	1RMIN|28ASPD|3BEXP|4MBVNT|58DUR|689VULN|7RCR|8BPWR|aCDMG
13	54311 12475	10	 * 	250.55	DCR|3VULN|2DUR|2CDMG|2LIT	1MBVNT|2LEGI|38aVULN|45LIT|6aDUR|7aCDMG|9RCR|aBPWR
14	52162 73242	1	 * 	250.55	DCR|3VULN|2ASPD|1DMG|2LIT|1AART|1SELL	1MBVNT|2SELL|38ASPD|4AART|5DMG|68aVULN|78LIT|8BPWR|9RCR
15	54624 41213	1	   	249.36	DCR|2VULN|3DUR|2DMG|1AART	1MBVNT|2RCVC|3aDMG|4AART|56aDUR|7TBNT|8RCR|9aVULN|aBPWR
16	25321 25252	8	 * 	249.12	DCR|3VULN|3DUR|2TLV	1RMIN|28aDUR|3CGEN|4RPLT|5aTLV|6RCR|79aVULN|aBPWR
17	25321 25262	9	   	249.12	DCR|3VULN|3DUR|2TLV	1RMIN|28aDUR|3CGEN|4RPLT|5aTLV|6RCR|79aVULN|aBPWR
18	54343 66121	4	   	248.92	DCR|3VULN|3DUR|2TLV	1MBVNT|2LEGI|369VULN|4LWND|59aDUR|7RCR|89TLV|9BPWR
19	26432 36332	9	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1RMIN|2ASPD|379VULN|4DMG|5DUST|6TLV|8DUR|aRCR
20	26231 46744	6	 * 	247.79	DCR|2VULN|2DMG|2DUR|2ASPD	1RMIN|28ASPD|3BEXP|4MBVNT|58DUR|68VULN|7RCR|8BPWR|9aDMG
21	31436 51321	9	   	247.35	DCR|3VULN|2DUR|1CDMG|1AART	1ZMB|26DUR|3LIT|4AART|589VULN|7CDMG|aRCR
22	35621 31134	10	 * 	246.50	DCR|2VULN|2DMG|3CDMG|1DUR	13ZMB|23aCDMG|3aBPWR|4LIT|5LHND|6RCR|7aDMG|8DUR|9aVULN
23	26133 35524	7	   	246.45	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1RMIN|29ASPD|39DUR|4MBVNT|5BEXP|6RCR|7TLV|89VULN|9BPWR|aDMG
24	26133 35724	8	   	246.45	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1RMIN|29ASPD|39DUR|4MBVNT|5BEXP|6RCR|7TLV|89VULN|9BPWR|aDMG
25	26137 35424	8	   	246.35	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1RMIN|29ASPD|39DUR|4MBVNT|5DUST|6RCR|7TLV|89VULN|9BPWR|aDMG
26	31321 25252	8	   	245.41	DCR|3VULN|3DUR|1TLV	1aZMB|28aDUR|3CGEN|4RPLT|5TLV|6RCR|79aVULN|aBPWR
27	31321 25262	9	   	245.41	DCR|3VULN|3DUR|1TLV	1aZMB|28aDUR|3CGEN|4RPLT|5TLV|6RCR|79aVULN|aBPWR
28	26231 46724	6	   	245.35	DCR|3VULN|2DUR|2ASPD	1RMIN|28ASPD|3BEXP|4MBVNT|58DUR|689VULN|7RCR|8BPWR|aLIT
29	55424 31154	1	   	245.31	DCR|3VULN|3DUR|1TLV	1MBVNT|237VULN|4BELT|579DUR|67FEWX|7BPWR|8RCR|aTLV
30	31354 41121	8	   	245.21	DCR|3VULN|3DUR|1TLV	1ZMB|257DUR|3CGEN|4TLV|6RCR|89aVULN
31	31514 41121	8	   	245.21	DCR|3VULN|3DUR|1TLV	1ZMB|257DUR|3TLV|4CGEN|6RCR|89aVULN
32	36551 33423	9	 * 	244.00	DCR|3VULN|2DUR|1DMG	1ZMB|2MBVNT|3LIT|47DUR|56aVULN|8DMG|9RCR
33	53551 33423	9	   	244.00	DCR|3VULN|2DUR|1DMG	1MBVNT|2ZMB|3LIT|47DUR|56aVULN|8DMG|9RCR
34	54343 66124	4	   	244.00	DCR|3VULN|2DUR|2TLV	1MBVNT|2LEGI|369VULN|4LWND|59DUR|7RCR|89TLV|9BPWR|aLIT
35	54314 12475	10	   	244.00	DCR|3VULN|2DUR|2CDMG	1MBVNT|2LEGI|38aVULN|4LIT|5RCVC|6aDUR|7aCDMG|9RCR|aBPWR
36	55612 32313	2	   	243.91	DCR|3VULN|3DUR|2LIT	1MBVNT|289DUR|3RPLT|49LIT|5BELT|679VULN|9BPWR|aRCR
37	54624 71213	1	   	243.91	DCR|2VULN|2DMG|2DUR|2AART	1MBVNT|2RCVC|3aDMG|46AART|5aDUR|7TBNT|8RCR|9aVULN|aBPWR
38	26125 61112	3	   	243.71	DCR|3DMG|3DUR|1VULN|2ASPD	1RMIN|27ASPD|367DUR|4BELT|567DMG|67BPWR|8RCR|9LWND|aVULN
39	26125 61122	3	   	243.71	DCR|3DMG|3DUR|1VULN|2ASPD	1RMIN|27ASPD|367DUR|4BELT|567DMG|67BPWR|8RCR|9FEWX|aVULN
40	36532 34623	6	   	243.61	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	17ZMB|2MBVNT|3LIT|4AART|57VULN|67DMG|7BPWR|8TLV|9CDMG|aRCR
41	53532 34623	6	   	243.61	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1MBVNT|27ZMB|3LIT|4AART|57VULN|67DMG|7BPWR|8TLV|9CDMG|aRCR
42	31436 32621	10	   	243.10	DCR|2VULN|2DUR|1DMG|1TLV|1AART	1ZMB|29DUR|3LIT|4AART|58VULN|6DMG|7RCR|aTLV
43	31451 28342	4	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1ZMB|2DUR|3LIT|4DMG|5CDMG|6MBVNT|789VULN|aRCR
44	36551 34323	9	   	243.00	DCR|4VULN|1DUR|1ASPD	1ZMB|2MBVNT|3LIT|4DUR|567aVULN|8ASPD|9RCR
45	53551 34323	9	   	243.00	DCR|4VULN|1DUR|1ASPD	1MBVNT|2ZMB|3LIT|4DUR|567aVULN|8ASPD|9RCR
46	31361 64122	6	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	1ZMB|25DUR|3CGEN|467VULN|8TLV|9ASPD|aRCR
47	31361 65122	7	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	1ZMB|25DUR|3CGEN|467VULN|8TLV|9ASPD|aRCR
48	54316 33472	8	   	242.97	DCR|3VULN|1DMG|1DUR|1CDMG	1MBVNT|2LEGI|368VULN|4LIT|5DMG|7DUR|9CDMG|aRCR
49	54316 41431	10	   	242.97	DCR|3VULN|1DMG|1TLV|1CDMG	1MBVNT|2LEGI|389VULN|4LIT|5DMG|6TLV|7CDMG|aRCR
50	54316 41432	9	   	242.97	DCR|3VULN|1DMG|1TLV|1CDMG	1MBVNT|2LEGI|389VULN|4LIT|5DMG|6TLV|7CDMG|aRCR
51	54316 82242	5	   	242.97	DCR|3VULN|1DMG|1DUR|1CDMG	1MBVNT|2LEGI|389VULN|4LIT|5DMG|6CDMG|7DUR|aRCR
52	54316 82242	6	   	242.97	DCR|3VULN|1DMG|1DUR|1CDMG	1MBVNT|2LEGI|389VULN|4LIT|5DMG|6CDMG|7DUR|aRCR
53	25212 33254	1	 * 	242.86	DCR|3DUR|1VULN|2DMG|2CDMG|1TLV	1RMIN|27DMG|37CDMG|4ERES|5TLV|678DUR|7BPWR|9VULN|aRCR
54	54684 22214	1	 * 	242.36	DCR|2VULN|3DMG|2CDMG|1ASPD	1MBVNT|2RCVC|359DMG|4DMSP|69VULN|7RCR|89CDMG|9BPWR|aASPD
55	54316 34325	10	 * 	241.66	DCR|3VULN|2DMG|1ASPD	1MBVNT|2LEGI|36aVULN|4LIT|57DMG|8ASPD|9RCR
56	54134 48723	4	 * 	241.37	ACR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1MBVNT|2LEGI|38ASPD|4RCR|5DUR|689VULN|78DMG|8BPWR|aCDMG
57	31436 32622	10	   	240.50	DCR|2VULN|2DUR|1DMG|1CDMG|1AART	1ZMB|29DUR|3LIT|4AART|58VULN|6DMG|7RCR|aCDMG
58	31461 33163	7	   	240.29	DCR|3VULN|2DUR|1TLV	1ZMB|27DUR|3LIT|4BEXP|56aVULN|8TLV|9RCR
59	33441 33163	7	   	240.29	DCR|3VULN|2DUR|1TLV	1ZMB|2BEXP|3LIT|47DUR|56aVULN|8TLV|9RCR
60	54123 18723	2	 * 	240.12	ACR|3VULN|2DMG|2TLV|1DUR|1CDMG	1MBVNT|2LEGI|3RCR|489VULN|5DUR|68TLV|78DMG|8BPWR|aCDMG
61	54333 18723	4	   	240.12	ACR|3VULN|2DMG|2TLV|1DUR|1CDMG	1MBVNT|2LEGI|389VULN|4RCR|5DUR|68TLV|78DMG|8BPWR|aCDMG
62	26114 41121	8	   	239.96	DCR|3VULN|3DUR|1ASPD	1RMIN|2ASPD|357DUR|4CGEN|6RCR|89aVULN
63	22312 64235	2	   	239.94	DCR|4VULN|1TLV|1DUR	15RMIN|2DLOT|346aVULN|7DUR|8TLV|9RCR
