0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32222 23654	7	 * 	293.43	DCR|5VULN|2DMG|1TLV|1DUR	13aERES|2356aVULN|3aBPWR|4TLV|7RCR|8DUR|9aDMG
2	32262 36162	3	 * 	287.08	DCR|4VULN|3DUR|2TLV|1CDMG	138ERES|2389VULN|389BPWR|4CDMG|59TLV|6BBNT|789DUR|aRCR
3	32256 11431	6	 * 	283.59	DCR|5VULN|3DUR|1TLV	13ERES|2359aVULN|35BPWR|458DUR|6TLV|7RCR
4	32256 11431	7	   	283.59	DCR|5VULN|3DUR|1TLV	13ERES|2359aVULN|35BPWR|458DUR|6TLV|7RCR
5	32222 11454	8	   	277.18	DCR|5VULN|2DMG|1TLV	13aERES|2358aVULN|3aBPWR|4TLV|6LHND|7RCR|9aDMG
6	32222 23354	8	   	277.18	DCR|5VULN|2DMG|1TLV	13aERES|2356aVULN|3aBPWR|4TLV|7RCR|8FEWX|9aDMG
7	32222 23554	8	   	277.18	DCR|5VULN|2DMG|1TLV	13aERES|2356aVULN|3aBPWR|4TLV|7RCR|8LHND|9aDMG
8	32222 23154	8	   	277.08	DCR|5VULN|2DMG|1TLV	13aERES|2356aVULN|3aBPWR|4TLV|7RCR|8DUST|9aDMG
9	32322 23654	7	   	274.99	DCR|4VULN|2DMG|1TLV|1DUR	13aERES|256aVULN|4TLV|7RCR|8DUR|9aDMG|aBPWR
10	32256 11433	6	   	273.56	DCR|4VULN|3DUR|1TLV	13ERES|2359VULN|35BPWR|458DUR|6TLV|7RCR|aLIT
11	32256 11433	7	   	273.56	DCR|4VULN|3DUR|1TLV	13ERES|2359VULN|35BPWR|458DUR|6TLV|7RCR|aLIT
12	32256 11241	6	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	13ERES|235aVULN|35BPWR|45DUR|6TLV|7RCR|8ZMB|9DMG
13	32256 11241	7	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	13ERES|235aVULN|35BPWR|45DUR|6TLV|7RCR|8ZMB|9DMG
14	32256 11241	8	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	13ERES|235aVULN|35BPWR|45DUR|6TLV|7RCR|8MLV|9DMG
15	32222 23653	7	   	271.99	DCR|4VULN|2DUR|1TLV|1DMG	13ERES|2356VULN|3BPWR|4TLV|7RCR|8aDUR|9DMG
16	32256 11131	9	   	270.37	DCR|5VULN|2DUR|1TLV	13ERES|2359aVULN|35BPWR|45DUR|6TLV|7RCR|8FEWX
17	32256 11136	10	   	270.37	DCR|5VULN|2DUR|1TLV	13ERES|2359aVULN|35BPWR|45DUR|6TLV|7RCR|8FEWX
18	32256 11421	9	   	270.37	DCR|5VULN|2DUR|1TLV	13ERES|2358aVULN|35BPWR|45DUR|6TLV|7RCR|9LWND
19	32256 11431	8	   	270.37	DCR|5VULN|2DUR|1TLV	13ERES|2358aVULN|35BPWR|45DUR|6TLV|7RCR|9LHND
20	32256 11531	9	   	270.37	DCR|5VULN|2DUR|1TLV	13ERES|2359aVULN|35BPWR|45DUR|6TLV|7RCR|8LHND
21	32256 11631	7	   	270.37	DCR|5VULN|2DUR|1TLV	13ERES|2358aVULN|35BPWR|45DUR|6TLV|7RCR|9LHND
22	32256 11631	6	   	270.37	DCR|5VULN|2DUR|1TLV	13ERES|2358aVULN|35BPWR|45DUR|6TLV|7RCR|9LHND
23	32256 11411	8	   	270.27	DCR|5VULN|2DUR|1TLV	13ERES|2358aVULN|35BPWR|45DUR|6TLV|7RCR|9DUST
24	32256 11431	9	   	270.27	DCR|5VULN|2DUR|1TLV	13ERES|2358aVULN|35BPWR|45DUR|6TLV|7RCR|9DUST
