0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21513 63512	6	 * 	285.19	DCR|5VULN|3DUR|1CDMG	19aBEXP|2589aVULN|3CDMG|4MLV|6RCR|79aDUR|9aBPWR
2	31223 42213	8	 * 	284.18	DCR|3VULN|3DUR|2ASPD|1DMG|1CDMG	1LHND|269VULN|3DMG|4CDMG|569DUR|69BPWR|7CGEN|89ASPD|aRCR
3	11262 34342	3	   	279.85	DCR|5VULN|3DUR	178ZMB|2RPLT|3LIT|4678aVULN|578DUR|78BPWR|9RCR
4	12131 25651	4	 * 	278.60	DCR|4VULN|2DUR|2TLV|1DMG	17ZMB|24DUR|347aVULN|47BPWR|5BBNT|67TLV|8RCR|9DMG
5	15113 15531	7	 * 	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1ZMB|27aVULN|3TLV|4CGEN|5aDUR|6LIT|8RCR|9aDMG|aBPWR
6	12552 23531	6	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1ZMB|2aDUR|3ERES|4LIT|56aVULN|7TLV|8RCR|9aDMG|aBPWR
7	15123 15531	7	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1ZMB|27aVULN|3TLV|4ERES|5aDUR|6LIT|8RCR|9aDMG|aBPWR
8	21512 61512	7	 * 	274.89	DCR|4VULN|3DMG|1CDMG	19aBEXP|289aVULN|3CDMG|4MLV|5RMIN|6RCR|79aDMG|9aBPWR
9	21135 31365	7	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	1BEXP|258VULN|35DUR|4AART|5BPWR|6aDMG|7ASPD|9RCR
10	31233 41363	7	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	1LHND|248VULN|34DMG|4BPWR|5aDUR|6AART|7ASPD|9RCR
11	21523 13335	7	   	273.90	DCR|4VULN|2DMG|2LIT|1CDMG	18BEXP|2489VULN|3CDMG|56DMG|78LIT|8BPWR|aRCR
12	31232 14621	9	   	272.58	DCR|3VULN|2DMG|2AART|1TLV|1DUR	1LHND|248VULN|34DMG|4BPWR|57AART|6TLV|9RCR|aDUR
13	31232 14622	10	   	272.58	DCR|3VULN|2DMG|2AART|1TLV|1DUR	1LHND|248VULN|34DMG|4BPWR|57AART|6TLV|9RCR|aDUR
14	31232 13516	8	   	272.52	DCR|3VULN|3DMG|1TLV|1AART	1LHND|249VULN|348DMG|4BPWR|5AART|6TLV|7LIT|aRCR
15	31233 53362	8	 * 	272.13	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1LHND|24VULN|348DMG|4BPWR|57DUR|6CDMG|9TLV|aRCR
16	21513 63212	6	 * 	271.96	DCR|4VULN|3DUR|2CDMG	19aBEXP|259aVULN|38CDMG|4MLV|6RCR|79aDUR|9aBPWR
17	11262 34343	3	   	271.31	DCR|4VULN|3DUR|1ASPD	178ZMB|2RPLT|3LIT|4678VULN|578DUR|78BPWR|9RCR|aASPD
18	31232 63351	7	   	271.03	DCR|4VULN|2DMG|2AART	1LHND|247aVULN|34DMG|4BPWR|56AART|8LIT|9RCR
19	31232 63451	8	   	271.03	DCR|4VULN|2DMG|2AART	1LHND|247aVULN|34DMG|4BPWR|56AART|8LIT|9RCR
20	31232 43622	5	   	270.71	DCR|4VULN|3DMG|1AART	1aLHND|249aVULN|34aDMG|4aBPWR|5AART|6RCR|7BELT|8LEGI
21	31233 12524	6	   	270.52	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1LHND|24aVULN|34DMG|4BPWR|5DUR|6LIT|7AART|8CDMG|9RCR
22	21112 46432	6	   	269.95	DCR|4VULN|2DMG|1DUR	19BEXP|2589VULN|3DUR|4LIT|6RPLT|79DMG|9BPWR|aRCR
23	21135 31363	7	   	269.79	DCR|3VULN|3DUR|1DMG|1ASPD|1AART	1BEXP|258VULN|35aDUR|4AART|5BPWR|6DMG|7ASPD|9RCR
24	12131 25653	4	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	17ZMB|24DUR|347VULN|47BPWR|5BBNT|67TLV|8RCR|9DMG|aCDMG
25	15143 11132	5	   	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1aZMB|28aVULN|3TLV|47DMG|5aDUR|6SELL|9RCR|aBPWR
26	31233 63541	4	 * 	268.62	DCR|3VULN|2DMG|2ASPD|1TLV	1LHND|24aVULN|34DMG|4aBPWR|5LIT|6aCGEN|7TLV|8RCR|9aASPD
27	31234 23541	6	   	268.42	DCR|3VULN|2DMG|2ASPD|1TLV	1LHND|24aVULN|34DMG|4aBPWR|5LIT|6aERES|7TLV|8RCR|9aASPD
28	31233 52522	10	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	1LHND|248VULN|349DMG|4BPWR|5DUR|6CDMG|7CGEN|aRCR
29	31233 52522	9	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	1LHND|248VULN|349DMG|4BPWR|5DUR|6CDMG|7CGEN|aRCR
30	31235 62522	9	   	268.10	DCR|3VULN|3DMG|1DUR|1CDMG	1LHND|248VULN|349DMG|4BPWR|5ERES|6CDMG|7DUR|aRCR
31	31235 62522	10	   	268.10	DCR|3VULN|3DMG|1DUR|1CDMG	1LHND|248VULN|349DMG|4BPWR|5ERES|6CDMG|7DUR|aRCR
32	12133 62166	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ZMB|245DUR|3467VULN|4BPWR|8FEWX|9TLV|aRCR
33	12133 65136	10	   	267.95	DCR|4VULN|3DUR|1TLV	1ZMB|245DUR|3468VULN|4BPWR|7TLV|9BEXP|aRCR
34	31233 41362	7	   	267.87	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	1LHND|248VULN|34DMG|4BPWR|5DUR|6AART|7ASPD|9RCR|aLIT
35	21135 22421	10	   	267.67	DCR|5VULN|2DUR|1AART	1BEXP|2568aVULN|35DUR|4AART|5BPWR|7BELT|9RCR
36	21135 16421	10	   	267.67	DCR|5VULN|2DUR|1AART	1BEXP|2578aVULN|35DUR|4AART|5BPWR|6BELT|9RCR
37	46112 11361	7	 * 	267.48	ACR|3VULN|3DUR|2DMG|1CDMG|1ASPD	1RCR|258VULN|389DUR|4LIT|6CDMG|78DMG|8BPWR|aASPD
38	12135 65332	8	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1aZMB|24DUR|34aVULN|4aBPWR|57ERES|6CDMG|8aDMG|9RCR
39	15144 21111	8	   	267.00	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	1ZMB|27aVULN|3TLV|4DMG|5aLIT|6ERES|8aDUR|9RCR|aBPWR
40	31233 53315	9	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	1LHND|24VULN|348DMG|4BPWR|57DUR|6CDMG|9ASPD|aRCR
41	21135 31125	10	   	266.77	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	1BEXP|25aVULN|35DUR|4AART|5BPWR|6DMG|78ASPD|9RCR
42	43411 13112	7	 * 	266.38	ACR|3VULN|3DMG|3DUR|1TLV|1SELL	1RCR|2SELL|39aDUR|4TLV|57RMIN|69aDMG|89aVULN|9aBPWR
