0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13452 22212	10	 * 	303.76	DCR|5VULN|3DUR|1TLV|1DMG	12456VULN|359DUR|5BPWR|7DMG|8TLV|aRCR
2	16621 32211	4	 * 	303.27	DCR|4VULN|3DUR|2DMG	138aVULN|238DUR|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR
3	53621 32211	4	   	303.27	DCR|4VULN|3DUR|2DMG	138DUR|238aVULN|38BPWR|4LIT|5AART|6ASPD|78DMG|9RCR
4	13452 33352	8	   	301.76	DCR|5VULN|3DUR|1TLV	12457VULN|357DUR|57BPWR|6AART|8RCR|9TLV|aLIT
5	15111 36511	8	 * 	301.12	DCR|5VULN|3DMG|3TLV	13578VULN|279TLV|4RCVC|679DMG|79BPWR|aRCR
6	13452 22252	8	   	298.84	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8TLV|9RCR|aASPD
7	13452 22612	7	   	298.84	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8RCR|9TLV|aASPD
8	12423 11153	1	 * 	297.70	DCR|3VULN|3DMG|3DUR|1TLV	178VULN|2BBNT|3MLV|4MBVNT|578DMG|678DUR|78BPWR|9RCR|aTLV
9	12523 11153	1	   	297.60	DCR|3VULN|3DMG|3DUR|1TLV	178VULN|2BBNT|3ERES|4MBVNT|578DMG|678DUR|78BPWR|9RCR|aTLV
10	13314 14513	3	 * 	294.02	DCR|4VULN|2TLV|2DUR|1DMG|1CDMG	129aVULN|3CDMG|49DUR|5DMG|6LHND|7RCR|89TLV|9BPWR
11	13314 42513	3	   	294.02	DCR|4VULN|2TLV|2DUR|1DMG|1CDMG	129aVULN|3CDMG|49DUR|5DMG|6RCR|7BEXP|89TLV|9BPWR
12	13314 43513	3	   	293.92	DCR|4VULN|2TLV|2DUR|1DMG|1CDMG	129aVULN|3CDMG|49DUR|5DMG|6RCR|7DUST|89TLV|9BPWR
13	13363 12625	7	   	293.86	DCR|4VULN|2DMG|1TLV|2CDMG|2LIT	1248VULN|35CDMG|68LIT|78DMG|8BPWR|9TLV|aRCR
14	16613 23533	4	 * 	293.79	DCR|4VULN|3DUR|2TLV|1DMG	1369VULN|239DUR|369BPWR|4LWND|56TLV|7RCR|89CGEN|aDMG
15	16633 23533	3	   	293.79	DCR|4VULN|3DUR|2TLV|1DMG	1369VULN|239DUR|369BPWR|4LHND|56TLV|7RCR|89CGEN|aDMG
16	16633 23533	4	   	293.79	DCR|4VULN|3DUR|2TLV|1DMG	1369VULN|239DUR|369BPWR|4LHND|56TLV|7RCR|89CGEN|aDMG
17	15111 36134	9	   	293.77	DCR|5VULN|2DMG|2TLV	13579VULN|27TLV|4RCVC|67DMG|7BPWR|8LIT|aRCR
18	13452 33321	8	   	293.45	DCR|5VULN|3DUR|1TLV	12457VULN|357DUR|57BPWR|6AART|8RCR|9FEWX|aTLV
19	13452 33351	8	   	293.45	DCR|5VULN|3DUR|1TLV	12457VULN|357DUR|57BPWR|6AART|8RCR|9TLV|aLWND
20	13452 33353	8	   	293.45	DCR|5VULN|3DUR|1TLV	12457VULN|357DUR|57BPWR|6AART|8RCR|9TLV|aRCVC
21	13452 33361	8	   	293.45	DCR|5VULN|3DUR|1TLV	12457VULN|357DUR|57BPWR|6AART|8RCR|9BEXP|aTLV
22	13452 33361	9	   	293.45	DCR|5VULN|3DUR|1TLV	12457VULN|357DUR|57BPWR|6AART|8RCR|9LHND|aTLV
23	13451 11533	7	   	292.93	DCR|5VULN|2DUR|1DMG|2LIT|1CDMG	1248aVULN|3aDUR|5CDMG|6DMG|7RCR|9aLIT|aBPWR
24	13451 11433	7	   	292.18	DCR|4VULN|2DMG|2DUR|2LIT|1CDMG	124aVULN|3aDUR|5CDMG|68DMG|7RCR|9aLIT|aBPWR
25	13653 23362	2	 * 	292.07	DCR|5VULN|3DUR|3TLV	1268aVULN|3LWND|48aDUR|568TLV|68aBPWR|7RCR|9aBEXP
26	13653 23352	2	   	291.87	DCR|5VULN|3DUR|3TLV	1268aVULN|3LWND|48aDUR|568TLV|68aBPWR|7RCR|9aDUST
27	15111 36121	10	   	291.68	DCR|4VULN|2DMG|2TLV|1DUR	1357VULN|27TLV|4RCVC|67DMG|7BPWR|8LIT|9DUR|aRCR
28	15111 36211	8	   	291.08	DCR|4VULN|3DMG|2TLV	1357VULN|27TLV|4RCVC|679DMG|7BPWR|8RCR|aLIT
29	15111 36215	8	   	291.08	DCR|4VULN|3DMG|2TLV	1357VULN|27TLV|4RCVC|679DMG|7BPWR|8RCR|aASPD
30	13452 22251	8	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8TLV|9RCR|aLWND
31	13452 22253	8	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8TLV|9RCR|aRMIN
32	13452 22253	9	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8TLV|9FEWX|aRCR
33	13452 22263	8	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8TLV|9LHND|aRCR
34	13452 22313	8	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8BEXP|9TLV|aRCR
35	13452 22611	7	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8RCR|9TLV|aLWND
36	13452 22613	7	   	290.53	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8RCR|9TLV|aRMIN
37	13452 22213	7	   	290.43	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8DUST|9TLV|aRCR
38	13452 22223	8	   	290.43	DCR|5VULN|2DUR|1TLV|1DMG	12456VULN|35DUR|5BPWR|7DMG|8TLV|9DUST|aRCR
39	16621 32214	4	   	288.77	DCR|3VULN|3DUR|2DMG|2LIT	138VULN|238DUR|38BPWR|4aLIT|5AART|6ASPD|78DMG|9RCR
40	53621 32214	4	   	288.77	DCR|3VULN|3DUR|2DMG|2LIT	138DUR|238VULN|38BPWR|4aLIT|5AART|6ASPD|78DMG|9RCR
