0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12122 55432	4	 * 	298.76	DCR|3VULN|3DMG|2DUR|2ASPD	19DUR|29aDMG|34ASPD|5LIT|679VULN|8RCR|9BPWR
2	16121 42432	5	 * 	292.23	DCR|4VULN|2DMG|2DUR|1TLV|1SELL	1aDUR|2BELT|3TLV|479aVULN|5SELL|6aDMG|8RCR|aBPWR
3	15131 34332	9	 * 	291.20	DCR|5VULN|3DUR|2CDMG	156DUR|28CDMG|3DUST|4567aVULN|56BPWR|9RCR
4	15131 66332	9	 * 	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|2CDMG|3DUST|456aVULN|5BPWR|7RCR|8TLV|9DMG
5	12661 33162	7	 * 	286.81	DCR|4VULN|2DUR|2CDMG|1DMG	18DUR|2DMG|38CDMG|4LIT|5DUST|689aVULN|7RCR|8BPWR
6	12122 56431	4	 * 	285.67	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	179DUR|29DMG|34ASPD|5LIT|69VULN|8RCR|9BPWR|aTLV
7	12151 51431	5	   	285.67	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	159DUR|29DMG|37ASPD|4LIT|69VULN|8RCR|9BPWR|aTLV
8	13231 53232	9	   	284.99	DCR|5VULN|3DUR|1CDMG	156DUR|28LHND|3CDMG|4567aVULN|56BPWR|9RCR
9	13231 53632	9	   	284.99	DCR|5VULN|3DUR|1CDMG	156DUR|2LHND|3CDMG|4567aVULN|56BPWR|8DMSP|9RCR
10	15431 53232	9	   	284.99	DCR|5VULN|3DUR|1CDMG	156DUR|2CDMG|38LHND|4567aVULN|56BPWR|9RCR
11	14134 31315	4	 * 	284.26	DCR|4VULN|3ASPD|2DUR|2LIT	18DUR|236ASPD|4568VULN|68BPWR|78LIT|9FEWX|aRCR
12	14134 31335	4	   	284.26	DCR|4VULN|3ASPD|2DUR|2LIT	18DUR|236ASPD|4568VULN|68BPWR|78LIT|9BEXP|aRCR
13	12122 55433	4	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	19DUR|29DMG|34ASPD|5LIT|679VULN|8RCR|9BPWR|aLWND
14	12122 56433	4	   	283.07	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	179DUR|29DMG|34ASPD|5LIT|69VULN|8RCR|9BPWR|aCDMG
15	12151 51433	5	   	283.07	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	159DUR|29DMG|37ASPD|4LIT|69VULN|8RCR|9BPWR|aCDMG
16	12122 55431	4	   	283.00	DCR|3VULN|2DMG|2DUR|2ASPD	19DUR|29DMG|34ASPD|5LIT|679VULN|8RCR|9BPWR|aERES
17	12634 12271	10	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|249DMG|3CDMG|5MLV|6MBVNT|79aVULN|8RCR|9BPWR
18	12634 12273	9	   	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|249DMG|3CDMG|5MLV|6MBVNT|79aVULN|8RCR|9BPWR
19	12633 12271	10	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|249DMG|3CDMG|5ERES|6MBVNT|79aVULN|8RCR|9BPWR
