0	Index      	Bounty	 *	Score 	Summary	Detail	
1	38771 34233	7	 * 	308.89	DCR|5VULN|3DUR|2DMG|1CDMG	1MBVNT|27DMG|356DUR|45679VULN|567BPWR|8CDMG|aRCR
2	38771 34244	7	 * 	306.20	DCR|4VULN|3DMG|3DUR|1CDMG	1MBVNT|279DMG|356DUR|4567VULN|567BPWR|8CDMG|aRCR
3	38771 34343	7	   	303.55	DCR|5VULN|3DUR|2DMG	1MBVNT|27DMG|356DUR|45678VULN|567BPWR|9RCR|aASPD
4	38771 34344	7	   	303.55	DCR|5VULN|3DUR|2DMG	1MBVNT|27DMG|356DUR|45678VULN|567BPWR|9RCR|aLIT
5	38771 31223	10	 * 	303.00	DCR|4VULN|3DUR|2DMG|1TLV	1MBVNT|27DMG|356DUR|456aVULN|56BPWR|8TLV|9RCR
6	38771 43332	10	 * 	299.79	DCR|3VULN|3DUR|2DMG|2TLV	1MBVNT|29DMG|358DUR|459VULN|59BPWR|69TLV|7AART|aRCR
7	11461 32332	9	 * 	297.77	DCR|5VULN|3DMG|2DUR	1aBEXP|256DMG|3LEGI|4569aVULN|56aBPWR|7aDUR|8RCR
8	38771 34341	7	   	295.24	DCR|5VULN|3DUR|2DMG	1MBVNT|27DMG|356DUR|45678VULN|567BPWR|9RCR|aFEWX
9	38771 34342	7	   	295.24	DCR|5VULN|3DUR|2DMG	1MBVNT|27DMG|356DUR|45678VULN|567BPWR|9RCR|aMLV
10	11461 32342	8	   	292.65	DCR|4VULN|3DMG|3DUR	1aBEXP|256DMG|3LEGI|456aVULN|56aBPWR|79aDUR|8RCR
11	38664 23412	7	 * 	292.44	DCR|4VULN|3DMG|3TLV	1MBVNT|247DMG|3478VULN|478BPWR|578TLV|6AART|9RCR|aCGEN
12	38664 23413	7	   	292.44	DCR|4VULN|3DMG|3TLV	1MBVNT|247DMG|3478VULN|478BPWR|578TLV|6AART|9RCR|aFEWX
13	38664 23414	7	   	292.44	DCR|4VULN|3DMG|3TLV	1MBVNT|247DMG|3478VULN|478BPWR|578TLV|6AART|9RCR|aLWND
14	38664 23113	8	   	292.44	DCR|4VULN|3DMG|2TLV	1MBVNT|247DMG|3479VULN|47BPWR|57TLV|6AART|8BEXP|aRCR
15	38664 23213	8	   	292.44	DCR|4VULN|3DMG|2TLV	1MBVNT|247DMG|3479VULN|47BPWR|57TLV|6AART|8LHND|aRCR
16	38664 23313	8	   	292.44	DCR|4VULN|3DMG|2TLV	1MBVNT|247DMG|3479VULN|47BPWR|57TLV|6AART|8LWND|aRCR
17	38664 23213	7	   	292.34	DCR|4VULN|3DMG|2TLV	1MBVNT|247DMG|3479VULN|47BPWR|57TLV|6AART|8DUST|aRCR
18	38664 23411	7	   	292.34	DCR|4VULN|3DMG|3TLV	1MBVNT|247DMG|3478VULN|478BPWR|578TLV|6AART|9RCR|aERES
19	11461 32335	9	   	290.84	DCR|4VULN|3DMG|1TLV|1DUR	1BEXP|256DMG|3LEGI|4569VULN|56BPWR|7DUR|8RCR|aTLV
20	38426 23383	7	   	287.53	DCR|3VULN|3DMG|2TLV|1DUR	1MBVNT|278DMG|37TLV|457VULN|6AART|7BPWR|9DUR|aRCR
21	31358 24232	10	   	286.80	DCR|5VULN|3DMG|3LIT	1MBVNT|278LIT|35678VULN|478DMG|78BPWR|9FEWX|aRCR
22	38771 34421	9	   	286.56	DCR|4VULN|3DUR|2DMG	1MBVNT|27DMG|356DUR|4567VULN|567BPWR|8AART|9DMSP|aRCR
23	38771 33412	10	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1MBVNT|2DMG|356DUR|4568VULN|56BPWR|7CGEN|9TLV|aRCR
24	11461 32431	8	 * 	284.38	DCR|3VULN|3DMG|2DUR|1TLV	1BEXP|256DMG|3LEGI|456VULN|56BPWR|78DUR|9TLV|aRCR
25	11553 32234	10	   	282.90	DCR|4VULN|3DMG|1TLV	1BEXP|247DMG|346aVULN|4BPWR|5TLV|8RCR|9ASPD
26	38771 31221	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|27DMG|356DUR|456VULN|56BPWR|8TLV|9RCR|aFEWX
27	38771 31222	9	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|27DMG|356DUR|456VULN|56BPWR|8TLV|9RCR|aFEWX
28	38771 31222	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|27DMG|356DUR|456VULN|56BPWR|8TLV|9RCR|aMLV
29	38771 31223	9	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|27DMG|356DUR|456VULN|56BPWR|8TLV|9RCR|aCGEN
30	38771 31224	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|27DMG|356DUR|456VULN|56BPWR|8TLV|9RCR|aRPLT
31	38771 31221	9	   	281.85	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|27DMG|356DUR|456VULN|56BPWR|8TLV|9RCR|aERES
32	38771 31224	9	   	281.85	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|27DMG|356DUR|456VULN|56BPWR|8TLV|9RCR|aDUST
33	38664 23133	7	   	279.69	DCR|3VULN|3DMG|2TLV	1MBVNT|247DMG|347VULN|47BPWR|57TLV|6AART|8CGEN|9ASPD|aRCR
34	38664 23323	6	   	279.59	DCR|3VULN|3DMG|2TLV	1MBVNT|248DMG|348VULN|48BPWR|58TLV|6AART|7TBNT|9LIT|aRCR
35	38664 23333	7	   	279.59	DCR|3VULN|3DMG|2TLV	1MBVNT|247DMG|347VULN|47BPWR|57TLV|6AART|8ERES|9ASPD|aRCR
36	11461 32322	8	   	279.43	DCR|4VULN|3DMG|2DUR	19aBEXP|256DMG|3LEGI|456aVULN|56aBPWR|7aDUR|8RCR
37	11461 32342	9	   	279.43	DCR|4VULN|3DMG|2DUR	19aBEXP|256DMG|3LEGI|456aVULN|56aBPWR|7aDUR|8RCR
38	11551 31152	9	   	279.43	DCR|4VULN|3DMG|2DUR	17aBEXP|246DMG|346aVULN|46aBPWR|5MBVNT|8aDUR|9RCR
39	11551 31154	10	   	279.43	DCR|4VULN|3DMG|2DUR	17aBEXP|246DMG|346aVULN|46aBPWR|5MBVNT|8aDUR|9RCR
40	11461 32335	10	   	279.23	DCR|4VULN|3DMG|2DUR	1BEXP|256DMG|3LEGI|4569VULN|56BPWR|7aDUR|8RCR
41	38421 77233	4	   	279.21	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|29DMG|3TLV|49VULN|5ASPD|6CDMG|79aDUR|8RCR|9BPWR
42	38422 77233	5	   	279.21	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|29DMG|3TLV|49VULN|5ASPD|6CDMG|79aDUR|8RCR|9BPWR
43	38441 77233	3	   	279.21	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|29DMG|3TLV|49VULN|5ASPD|6CDMG|79aDUR|8RCR|9BPWR
44	38664 23243	8	   	279.16	DCR|3VULN|3DMG|2TLV|2AART	1MBVNT|247DMG|347VULN|47BPWR|57TLV|69AART|8LHND|aRCR
45	38664 23343	8	   	279.16	DCR|3VULN|3DMG|2TLV|2AART	1MBVNT|247DMG|347VULN|47BPWR|57TLV|69AART|8LWND|aRCR
