0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61126 33153	7	 * 	292.02	DCR|3VULN|3DMG|3DUR|1AART	168DMG|2AART|3DUST|458VULN|789DUR|8BPWR|aRCR
2	61531 21223	6	 * 	287.06	DCR|4VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|589LWND|6RCR|789aVULN|89BPWR
3	65132 33612	10	 * 	285.62	DCR|3VULN|3DMG|2TLV|1DUR|1ASPD	149DMG|2ASPD|39aVULN|5DUR|6LWND|7RCR|89TLV|9BPWR
4	61531 24364	7	 * 	284.28	DCR|3VULN|3DMG|3TLV|1DUR|1AART	19aDMG|2AART|39aTLV|4MBVNT|5LWND|6RCR|7DUR|89aVULN|9aBPWR
5	61224 21212	5	 * 	282.82	DCR|2VULN|3DMG|3ASPD|2DUR|1AART	135DMG|2AART|458ASPD|58BPWR|68DUR|78VULN|9RMIN|aRCR
6	61224 21242	5	   	282.82	DCR|2VULN|3DMG|3ASPD|2DUR|1AART	135DMG|2AART|458ASPD|58BPWR|68DUR|78VULN|9MLV|aRCR
7	61224 21252	5	   	282.72	DCR|2VULN|3DMG|3ASPD|2DUR|1AART	135DMG|2AART|458ASPD|58BPWR|68DUR|78VULN|9ERES|aRCR
8	61126 31223	2	 * 	282.67	ACR|4VULN|3DMG|3DUR|1AART	189DMG|2AART|389DUR|4CGEN|5RCR|6FEWX|789aVULN|89BPWR
9	63351 21421	5	   	282.66	DCR|3VULN|3DMG|3DUR	138DMG|2RPLT|49aMLV|58aVULN|6RCR|78aDUR|8aBPWR
10	61126 11223	2	   	282.57	ACR|4VULN|3DMG|3DUR|1AART	189DMG|2AART|389DUR|4CGEN|5RCR|6DUST|789aVULN|89BPWR
11	61426 21223	3	   	282.57	ACR|4VULN|3DMG|3DUR|1AART	189DMG|2AART|3LEGI|4CGEN|5RCR|689DUR|789aVULN|89BPWR
12	63421 21413	5	   	282.46	DCR|3VULN|3DMG|3DUR	189DMG|2RPLT|34ERES|589VULN|6RCR|789DUR|89BPWR|aLWND
13	63421 21412	5	   	282.36	DCR|3VULN|3DMG|3DUR	189DMG|2RPLT|34ERES|589VULN|6RCR|789DUR|89BPWR|aDUST
14	61511 23523	7	   	281.47	DCR|2VULN|3DMG|3DUR|1TLV|1AART	148DMG|2AART|3TLV|58VULN|6RMIN|789DUR|8BPWR|aRCR
15	21152 27511	5	 * 	280.76	DCR|3VULN|3DMG|3CDMG|1DUR	189CDMG|289DMG|3BEXP|4MLV|5MBVNT|6RCR|789VULN|89BPWR|aDUR
16	61531 21228	6	   	280.66	DCR|3VULN|3DMG|1TLV|1DUR|1AART	189DMG|2AART|3TLV|4MBVNT|589LWND|6RCR|789VULN|89BPWR|aDUR
17	21142 27511	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	189CDMG|289DMG|3BEXP|4ERES|5MBVNT|6RCR|789VULN|89BPWR|aDUR
18	25423 32533	7	 * 	280.21	DCR|4VULN|2DMG|2CDMG|2LIT	17CDMG|24LIT|367aVULN|57DMG|7BPWR|8ZMB|9RCR
19	43311 26315	4	 * 	279.89	DCR|5VULN|2DMG|2LIT	1aZMB|2RPLT|35DMG|4579aVULN|5aBPWR|6RCR|8aLIT
20	25423 32253	9	 * 	278.23	DCR|3VULN|3DMG|3LIT|2CDMG	17CDMG|248LIT|367VULN|57aDMG|7BPWR|9RCR
21	21112 53442	2	   	277.01	DCR|3VULN|2DMG|1DUR|1TLV|1CDMG	1CDMG|25DMG|3LIT|478VULN|6DUR|9RCR|aTLV
22	61533 21224	6	   	276.23	DCR|3VULN|3DMG|3TLV|1AART	189DMG|2AART|389TLV|4MBVNT|5LEGI|6RCR|789VULN|89BPWR|aLIT
23	62343 62211	5	 * 	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|3RPLT|47DUR|5BELT|6789VULN|7BPWR|aRCR
24	63143 62211	5	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2RPLT|3FEWX|47DUR|5BELT|6789VULN|7BPWR|aRCR
25	15323 12211	3	   	276.22	DCR|4VULN|2DMG|2DUR	1BELT|27DMG|3LHND|4789VULN|57DUR|6RPLT|7BPWR|aRCR
26	15523 12211	2	   	276.22	DCR|4VULN|2DMG|2DUR	1BELT|27DMG|3LWND|4789VULN|57DUR|6RPLT|7BPWR|aRCR
27	16523 12211	1	   	276.22	DCR|4VULN|2DMG|2DUR	1BELT|27DMG|3LWND|4789VULN|57DUR|6RPLT|7BPWR|aRCR
28	63243 62211	5	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2RPLT|3DUST|47DUR|5BELT|6789VULN|7BPWR|aRCR
29	66111 22412	3	   	274.07	DCR|3VULN|3DMG|3CDMG|1AART	159DMG|2CGEN|389VULN|479CDMG|6RCR|9BPWR|aAART
30	21251 24222	5	 * 	273.93	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1aCDMG|2DMG|35aVULN|4MLV|6RCR|7AART|8LIT|9aDUR|aBPWR
31	21241 24222	5	   	273.83	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1aCDMG|2DMG|35aVULN|4ERES|6RCR|7AART|8LIT|9aDUR|aBPWR
32	25423 32142	8	   	273.82	DCR|3VULN|2DMG|2CDMG|1TLV|2LIT	17CDMG|24LIT|367VULN|57DMG|7BPWR|8LWND|9RCR|aTLV
33	25423 32342	7	   	273.82	DCR|3VULN|2DMG|2CDMG|1TLV|2LIT	17CDMG|24LIT|367VULN|57DMG|7BPWR|8LHND|9RCR|aTLV
34	25423 32242	7	   	273.72	DCR|3VULN|2DMG|2CDMG|1TLV|2LIT	17CDMG|24LIT|367VULN|57DMG|7BPWR|8LEGI|9RCR|aTLV
