0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61536 23332	10	 * 	289.60	DCR|4VULN|2DUR|1DMG|2CDMG|1ASPD	1aDUR|259aVULN|3ASPD|4RPLT|6DMG|7aCDMG|8RCR|aBPWR
2	61233 11524	9	 * 	286.91	DCR|4VULN|2DUR|2TLV|1DMG	19DUR|2689VULN|3DMG|4RPLT|5LIT|79TLV|9BPWR|aRCR
3	61151 32343	5	 * 	286.23	DCR|3VULN|3DUR|3CDMG|1DMG|1ASPD	156DUR|247VULN|347CDMG|47BPWR|8ASPD|9RCR|aDMG
4	36321 23663	10	 * 	283.31	DCR|3VULN|2DMG|2DUR|3LIT|1AART	137LIT|2aDUR|4AART|57FEWX|67aVULN|7aBPWR|8aDMG|9RCR
5	61151 32322	5	   	282.42	DCR|3VULN|3DUR|3CDMG|1TLV|1ASPD	156DUR|247VULN|347CDMG|47BPWR|8ASPD|9TLV|aRCR
6	61213 51612	5	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	1aDUR|259aVULN|3DMG|4LWND|6TBNT|7aCDMG|8RCR|aBPWR
7	61213 23242	5	 * 	277.98	DCR|5VULN|2DUR|1DMG	16DUR|2579aVULN|3DMG|4LWND|8RCR
8	61536 23121	6	   	276.62	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD|1AART	18DUR|258VULN|3ASPD|4RPLT|6DMG|78CDMG|8BPWR|9RCR|aAART
9	61536 23121	7	   	276.62	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD|1AART	18DUR|258VULN|3ASPD|4RPLT|6DMG|78CDMG|8BPWR|9RCR|aAART
10	61261 34122	7	 * 	276.22	DCR|4VULN|2DMG|2DUR	18DUR|245aVULN|38DMG|689LHND|7RCR|8BPWR
11	61213 24142	7	   	276.22	DCR|4VULN|2DMG|2DUR	18DUR|259aVULN|38DMG|48LWND|6RCVC|7RCR|8BPWR
12	61213 23243	5	   	276.02	DCR|4VULN|2DMG|2DUR	16DUR|2579VULN|3aDMG|4LWND|8RCR
13	61151 32143	5	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	156DUR|247VULN|347CDMG|47BPWR|8MLV|9RCR|aDMG
14	61151 32243	5	   	275.13	DCR|3VULN|3DUR|3CDMG|1DMG	156DUR|247VULN|347CDMG|47BPWR|8ERES|9RCR|aDMG
15	62115 23243	2	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	14DUR|2TLV|3579VULN|6BEXP|8RCR|aDMG
16	63335 23242	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	16DUR|2MLV|3TLV|4DMG|579aVULN|8RCR
17	62115 13243	2	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	14DUR|2TLV|3579VULN|6DUST|8RCR|aDMG
18	62363 23243	6	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	16DUR|2TLV|3DUST|4579VULN|8RCR|aDMG
19	62363 33243	5	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	16DUR|2TLV|3DUST|4579VULN|8RCR|aDMG
20	61151 32342	5	   	274.47	DCR|3VULN|3DUR|3CDMG|1ASPD	156DUR|247VULN|347CDMG|47BPWR|8ASPD|9RCR|aLIT
21	61261 33253	6	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|2457VULN|3aDMG|6LHND|8RCR|9ASPD
22	11213 24133	5	 * 	272.06	DCR|4VULN|3DUR|1DMG	178BEXP|2578VULN|3DMG|4LWND|678DUR|78BPWR|9FEWX|aRCR
23	11213 24133	6	   	272.06	DCR|4VULN|3DUR|1DMG	178BEXP|2578VULN|3DMG|4LWND|678DUR|78BPWR|9FEWX|aRCR
24	11263 24141	5	   	272.06	DCR|4VULN|3DUR|1DMG	178BEXP|2478VULN|3DMG|5FEWX|678DUR|78BPWR|9BELT|aRCR
25	61213 14133	6	   	272.06	DCR|4VULN|3DUR|1DMG	178DUR|2578VULN|3DMG|4LWND|678FEWX|78BPWR|9BEXP|aRCR
26	61223 14141	6	   	272.06	DCR|4VULN|3DUR|1DMG	178DUR|2578VULN|3DMG|4BEXP|678FEWX|78BPWR|9BELT|aRCR
27	61123 62822	3	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	17DUR|2568VULN|3CDMG|4MBVNT|9RCR|aDMG
28	61123 67122	3	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	18DUR|2567VULN|3CDMG|4MBVNT|9RCR|aDMG
29	61223 24232	10	   	271.86	DCR|4VULN|3DUR|1DMG	16aDUR|259aVULN|3DMG|4BEXP|7RCR|8aLWND|aBPWR
30	21213 24133	6	   	271.76	DCR|4VULN|3DUR|1DMG	178DUST|2578VULN|3DMG|4LWND|678DUR|78BPWR|9FEWX|aRCR
31	21213 24133	5	   	271.76	DCR|4VULN|3DUR|1DMG	178DUST|2578VULN|3DMG|4LWND|678DUR|78BPWR|9FEWX|aRCR
32	21223 24133	5	   	271.76	DCR|4VULN|3DUR|1DMG	178DUST|2578VULN|3DMG|4BEXP|678DUR|78BPWR|9FEWX|aRCR
33	21223 24141	5	   	271.76	DCR|4VULN|3DUR|1DMG	178DUST|2578VULN|3DMG|4BEXP|678DUR|78BPWR|9BELT|aRCR
34	21263 24141	5	   	271.76	DCR|4VULN|3DUR|1DMG	178DUST|2478VULN|3DMG|5FEWX|678DUR|78BPWR|9BELT|aRCR
35	61215 23241	3	   	271.66	DCR|4VULN|3DUR|1DMG	14aDUR|2579VULN|3DMG|6BEXP|8RCR
36	61223 23241	5	   	271.66	DCR|4VULN|3DUR|1DMG	16aDUR|2579VULN|3DMG|4BEXP|8RCR
37	61223 23241	6	   	271.66	DCR|4VULN|3DUR|1DMG	16aDUR|2579VULN|3DMG|4BEXP|8RCR
38	61261 23241	4	   	271.66	DCR|4VULN|3DUR|1DMG	16aDUR|2479VULN|3DMG|5FEWX|8RCR
39	61263 23241	5	   	271.66	DCR|4VULN|3DUR|1DMG	16aDUR|2479VULN|3DMG|5FEWX|8RCR
40	61215 13241	3	   	271.56	DCR|4VULN|3DUR|1DMG	14aDUR|2579VULN|3DMG|6DUST|8RCR
41	11234 14153	2	 * 	271.54	DCR|5VULN|3DUR	178BEXP|2789aVULN|3RCVC|478DUR|5RMIN|6RCR|78BPWR
42	11634 14123	3	   	271.54	DCR|5VULN|3DUR	178BEXP|2378aVULN|478DUR|59RMIN|6RCR|78BPWR
43	21234 14153	2	   	271.24	DCR|5VULN|3DUR	178DUST|2789aVULN|3RCVC|478DUR|5RMIN|6RCR|78BPWR
44	21634 14123	3	   	271.24	DCR|5VULN|3DUR	178DUST|2378aVULN|478DUR|59RMIN|6RCR|78BPWR
45	61633 15332	4	   	271.02	DCR|3VULN|2DMG|2DUR|2AART	1aDUR|23aVULN|4FEWX|5CGEN|6RCR|79AART|8aDMG|aBPWR
46	41221 15622	9	 * 	270.61	DCR|4VULN|3DMG|1AART	18aERES|289aVULN|38aDMG|4RCVC|5AART|6RPLT|7RCR|8aBPWR
47	41231 15622	9	   	270.61	DCR|4VULN|3DMG|1AART	18aERES|289aVULN|38aDMG|4DMSP|5AART|6RPLT|7RCR|8aBPWR
48	61213 51142	10	 * 	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	18aDUR|25aVULN|3DMG|4LWND|6aASPD|7RCR|9RMIN|aBPWR
49	61223 51142	10	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	18aDUR|25aVULN|3DMG|4BEXP|6aASPD|7RCR|9RMIN|aBPWR
50	61223 24142	10	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	16aDUR|25aVULN|3DMG|4BEXP|7RCR|8aASPD|9RMIN|aBPWR
51	63335 23243	1	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	16DUR|2MLV|3TLV|4aDMG|579VULN|8RCR
52	61213 23254	5	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	16DUR|257aVULN|3DMG|4LWND|8RCR|9ASPD
53	61223 23254	6	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	16DUR|257aVULN|3DMG|4BEXP|8RCR|9ASPD
54	61223 23254	5	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	16DUR|257aVULN|3DMG|4BEXP|8RCR|9ASPD
55	61513 23243	5	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	16DUR|2579VULN|3ASPD|4LWND|8RCR|aDMG
56	61261 34123	7	 * 	269.24	DCR|3VULN|3DMG|2DUR	18DUR|245VULN|38aDMG|689LHND|7RCR|8BPWR
57	61213 24143	7	   	269.24	DCR|3VULN|3DMG|2DUR	18DUR|259VULN|38aDMG|48LWND|6RCVC|7RCR|8BPWR
58	61223 24112	7	 * 	269.21	DCR|2VULN|3DMG|3DUR|1CDMG	168DUR|25VULN|389DMG|48BEXP|7RCR|8BPWR|aCDMG
59	66221 24112	7	   	269.21	DCR|2VULN|3DMG|3DUR|1CDMG	168DUR|24BEXP|389DMG|58VULN|7RCR|8BPWR|aCDMG
60	61232 63411	6	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	18aDUR|289VULN|3DMG|4RPLT|5CGEN|6RCR|78CDMG|8BPWR
61	61513 23242	5	   	268.92	DCR|5VULN|2DUR|1ASPD	16DUR|2579aVULN|3ASPD|4LWND|8RCR
62	61221 51122	3	   	268.89	DCR|3VULN|3DMG|2DUR|1SELL	18DUR|256VULN|36aDMG|4SELL|6BPWR|7ZMB|9RCR
63	61221 52122	3	   	268.89	DCR|3VULN|3DMG|2DUR|1SELL	18DUR|256VULN|36aDMG|4SELL|6BPWR|7RMIN|9RCR
64	61242 21521	10	 * 	268.59	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	19DUR|28VULN|39DMG|4LIT|5CDMG|6RCR|79TLV|9BPWR|aFEWX
65	61242 21522	10	   	268.59	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	19DUR|28VULN|39DMG|4LIT|5CDMG|6RCR|79TLV|9BPWR|aBEXP
66	61242 21522	9	   	268.59	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	19DUR|28VULN|39DMG|4LIT|5CDMG|6RCR|79TLV|9BPWR|aBELT
67	61242 21523	10	   	268.59	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	19DUR|28VULN|39DMG|4LIT|5CDMG|6RCR|79TLV|9BPWR|aLHND
68	61242 21521	9	   	268.49	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	19DUR|28VULN|39DMG|4LIT|5CDMG|6RCR|79TLV|9BPWR|aMBVNT
69	61242 21523	9	   	268.49	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	19DUR|28VULN|39DMG|4LIT|5CDMG|6RCR|79TLV|9BPWR|aDUST
70	61215 23242	3	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	14DUR|2579VULN|3DMG|6BEXP|8RCR|aAART
71	61223 23242	5	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	16DUR|2579VULN|3DMG|4BEXP|8RCR|aAART
72	61223 23242	6	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	16DUR|2579VULN|3DMG|4BEXP|8RCR|aAART
73	61261 23242	4	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	16DUR|2479VULN|3DMG|5FEWX|8RCR|aAART
74	61263 23242	5	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	16DUR|2479VULN|3DMG|5FEWX|8RCR|aAART
75	61215 13242	3	   	268.00	DCR|4VULN|2DUR|1DMG|1AART	14DUR|2579VULN|3DMG|6DUST|8RCR|aAART
76	62115 23241	2	   	267.85	DCR|4VULN|3DUR|1TLV	14aDUR|2TLV|3579VULN|6BEXP|8RCR
77	62363 43221	6	   	267.85	DCR|4VULN|3DUR|1TLV	16aDUR|2TLV|3DUST|4567VULN|6BPWR|8RCR|9LHND
78	62363 43211	6	   	267.75	DCR|4VULN|3DUR|1TLV	16aDUR|2TLV|3DUST|4567VULN|6BPWR|8RCR|9MBVNT
79	62363 43231	6	   	267.75	DCR|4VULN|3DUR|1TLV	16aDUR|2TLV|3DUST|4567VULN|6BPWR|8RCR|9LEGI
80	62115 13241	2	   	267.75	DCR|4VULN|3DUR|1TLV	14aDUR|2TLV|3579VULN|6DUST|8RCR
81	62363 23241	6	   	267.75	DCR|4VULN|3DUR|1TLV	16aDUR|2TLV|3DUST|4579VULN|8RCR
82	62363 33241	5	   	267.75	DCR|4VULN|3DUR|1TLV	16aDUR|2TLV|3DUST|4579VULN|8RCR
83	61261 31122	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|245VULN|3aDMG|6CDMG|7ZMB|9RCR
84	61261 32122	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|245VULN|3aDMG|6CDMG|7RMIN|9RCR
85	61265 31122	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|245VULN|3aDMG|6CDMG|7ZMB|9RCR
86	61265 32122	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|245VULN|3aDMG|6CDMG|7RMIN|9RCR
87	61536 23122	6	   	266.96	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	18DUR|258VULN|3ASPD|4RPLT|6DMG|78CDMG|8BPWR|9RCR|aRCVC
88	61536 23122	7	   	266.96	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	18DUR|258VULN|3ASPD|4RPLT|6DMG|78CDMG|8BPWR|9RCR|aRCVC
89	61531 23332	10	   	266.96	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	1aDUR|29aVULN|3ASPD|4RPLT|5DMSP|6DMG|7aCDMG|8RCR|aBPWR
90	61233 12524	9	   	266.94	DCR|4VULN|2DUR|1DMG	19DUR|2689VULN|3DMG|4RPLT|5LIT|79MLV|9BPWR|aRCR
91	61221 51123	3	   	266.89	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	18DUR|256VULN|36DMG|4SELL|6BPWR|7ZMB|9RCR|aCDMG
92	61221 52123	3	   	266.89	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	18DUR|256VULN|36DMG|4SELL|6BPWR|7RMIN|9RCR|aCDMG
93	61536 23123	7	   	266.86	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	18DUR|258VULN|3ASPD|4RPLT|6DMG|78CDMG|8BPWR|9RCR|aERES
94	61536 23123	6	   	266.86	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	18DUR|258VULN|3ASPD|4RPLT|6DMG|78CDMG|8BPWR|9RCR|aERES
95	61261 34111	7	 * 	266.71	DCR|3VULN|3DUR|2DMG	18aDUR|245VULN|38DMG|68LHND|7RCR|8BPWR|9MBVNT
96	61216 23241	3	   	266.61	DCR|3VULN|3DUR|2DMG	14aDUR|279VULN|35DMG|6BEXP|8RCR
97	61216 13241	3	   	266.51	DCR|3VULN|3DUR|2DMG	14aDUR|279VULN|35DMG|6DUST|8RCR
98	34226 24321	3	 * 	266.50	DCR|2VULN|2DMG|2DUR|3LIT|2TLV	147LIT|23TLV|57DUR|67VULN|7BPWR|8aDMG|9RCR
99	64221 13612	3	   	266.47	DCR|3VULN|3DUR|2DMG|1SELL	16aDUR|2LHND|3aDMG|4SELL|59aVULN|7BBNT|8RCR|aBPWR
100	61151 33612	5	   	265.17	DCR|3VULN|3DUR|2CDMG|1TLV|1NUKE	156DUR|249VULN|34CDMG|4BPWR|7NUKE|8RCR|aTLV
101	61213 23253	5	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	16DUR|257VULN|3aDMG|4LWND|8RCR|9ASPD
102	12521 43243	6	   	263.92	DCR|4VULN|2TLV|1DMG|1DUR	16BEXP|23TLV|4DUR|5679VULN|6BPWR|8RCR|aDMG
103	22521 43243	6	   	263.72	DCR|4VULN|2TLV|1DMG|1DUR	16DUST|23TLV|4DUR|5679VULN|6BPWR|8RCR|aDMG
104	61123 63822	3	   	263.72	DCR|4VULN|1DMG|2CDMG|1DUR	1DUR|2568VULN|37CDMG|4MBVNT|9RCR|aDMG
105	61123 67322	3	   	263.72	DCR|4VULN|1DMG|2CDMG|1DUR	1DUR|2567VULN|38CDMG|4MBVNT|9RCR|aDMG
106	61151 32142	5	   	263.47	DCR|3VULN|3DUR|3CDMG	156DUR|247VULN|347CDMG|47BPWR|8MLV|9RCR|aLIT
107	61213 23242	6	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|2579aVULN|3DMG|4LWND|6RCVC|8RCR
108	61261 23243	5	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|24579VULN|3DMG|6BEXP|8RCR|aBELT
109	61261 33222	6	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|2457aVULN|3DMG|69LHND|8RCR
110	61261 33243	6	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|24579VULN|3DMG|6LHND|8RCR|aFEWX
111	61261 63232	5	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|2457aVULN|3DMG|6LWND|8RCR|9DMSP
112	61151 32242	5	   	263.37	DCR|3VULN|3DUR|3CDMG	156DUR|247VULN|347CDMG|47BPWR|8ERES|9RCR|aLIT
113	21261 34243	5	   	263.29	DCR|5VULN|1DMG|1DUR	1DUST|24569VULN|3DMG|7DUR|8RCR|aBELT
114	61261 13243	5	   	263.29	DCR|5VULN|1DMG|1DUR	1DUR|24579VULN|3DMG|6DUST|8RCR|aBELT
115	61261 23241	5	   	263.29	DCR|5VULN|1DMG|1DUR	1DUR|24579VULN|3DMG|6BEXP|8RCR|aBBNT
116	61261 33241	6	   	263.29	DCR|5VULN|1DMG|1DUR	1DUR|24579VULN|3DMG|6LHND|8RCR|aBBNT
117	62363 15131	5	   	263.25	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1DUR|2TLV|3DUST|458aVULN|6RCR|7AART|9CDMG
118	61462 31223	10	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDUR|26aVULN|3LWND|4FEWX|5AART|7BELT|8RCR|9aDMG|aBPWR
119	61633 15322	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDUR|23aVULN|49FEWX|5CGEN|6RCR|7AART|8aDMG|aBPWR
120	21261 31156	5	   	263.19	DCR|5VULN|1DMG|1DUR	1DUST|24569VULN|3DMG|7ERES|8DUR|aRCR
121	21261 34241	5	   	263.19	DCR|5VULN|1DMG|1DUR	1DUST|24569VULN|3DMG|7DUR|8RCR|aBBNT
122	61261 13241	5	   	263.19	DCR|5VULN|1DMG|1DUR	1DUR|24579VULN|3DMG|6DUST|8RCR|aBBNT
123	61261 23242	5	   	263.15	DCR|5VULN|1DMG|1DUR|1SELL	1DUR|24579VULN|3DMG|6BEXP|8RCR|aSELL
124	61261 33242	6	   	263.15	DCR|5VULN|1DMG|1DUR|1SELL	1DUR|24579VULN|3DMG|6LHND|8RCR|aSELL
125	61452 31223	10	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDUR|26aVULN|3LWND|4DUST|5AART|7BELT|8RCR|9aDMG|aBPWR
126	61261 34111	8	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1aDUR|245VULN|3DMG|6LHND|7RCR|8ASPD|9TLV
127	21261 34242	5	   	263.05	DCR|5VULN|1DMG|1DUR|1SELL	1DUST|24569VULN|3DMG|7DUR|8RCR|aSELL
128	61261 13242	5	   	263.05	DCR|5VULN|1DMG|1DUR|1SELL	1DUR|24579VULN|3DMG|6DUST|8RCR|aSELL
129	61216 23242	3	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	14DUR|279VULN|35DMG|6BEXP|8RCR|aAART
130	11513 24133	6	   	263.00	DCR|4VULN|3DUR|1ASPD	178BEXP|2578VULN|3ASPD|4LWND|678DUR|78BPWR|9FEWX|aRCR
131	11513 24133	5	   	263.00	DCR|4VULN|3DUR|1ASPD	178BEXP|2578VULN|3ASPD|4LWND|678DUR|78BPWR|9FEWX|aRCR
132	11633 24141	5	   	263.00	DCR|4VULN|3DUR|1ASPD	178BEXP|2378VULN|4FEWX|5ASPD|678DUR|78BPWR|9BELT|aRCR
133	11653 24133	6	   	263.00	DCR|4VULN|3DUR|1ASPD	178BEXP|2378VULN|4LHND|5ASPD|678DUR|78BPWR|9FEWX|aRCR
134	11653 24133	5	   	263.00	DCR|4VULN|3DUR|1ASPD	178BEXP|2378VULN|4LHND|5ASPD|678DUR|78BPWR|9FEWX|aRCR
135	61513 14133	6	   	263.00	DCR|4VULN|3DUR|1ASPD	178DUR|2578VULN|3ASPD|4LWND|678FEWX|78BPWR|9BEXP|aRCR
136	61216 13242	3	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	14DUR|279VULN|35DMG|6DUST|8RCR|aAART
137	12263 44113	10	 * 	262.89	DCR|2VULN|2DMG|3ASPD|2TLV|1DUR	19BEXP|26TLV|39DMG|49VULN|568ASPD|69BPWR|7RCR|aDUR
138	62231 63613	10	 * 	262.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	19DUR|2TLV|39DMG|4FEWX|5RPLT|6RCR|7aVULN|89CDMG|9BPWR
139	61261 12361	9	   	262.76	DCR|3VULN|3DMG|1DUR	1DUR|245VULN|379DMG|6LIT|8BELT|aRCR
140	21463 24133	5	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2478VULN|3LWND|5ASPD|678DUR|78BPWR|9FEWX|aRCR
141	21463 24133	6	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2478VULN|3LWND|5ASPD|678DUR|78BPWR|9FEWX|aRCR
142	21513 24133	5	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2578VULN|3ASPD|4LWND|678DUR|78BPWR|9FEWX|aRCR
143	21513 24133	6	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2578VULN|3ASPD|4LWND|678DUR|78BPWR|9FEWX|aRCR
144	21523 24133	5	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2578VULN|3ASPD|4BEXP|678DUR|78BPWR|9FEWX|aRCR
145	21523 24141	5	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2578VULN|3ASPD|4BEXP|678DUR|78BPWR|9BELT|aRCR
146	21633 24141	5	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2378VULN|4FEWX|5ASPD|678DUR|78BPWR|9BELT|aRCR
147	21653 24133	6	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2378VULN|4LHND|5ASPD|678DUR|78BPWR|9FEWX|aRCR
148	21653 24133	5	   	262.70	DCR|4VULN|3DUR|1ASPD	178DUST|2378VULN|4LHND|5ASPD|678DUR|78BPWR|9FEWX|aRCR
149	22263 44113	10	   	262.69	DCR|2VULN|2DMG|3ASPD|2TLV|1DUR	19DUST|26TLV|39DMG|49VULN|568ASPD|69BPWR|7RCR|aDUR
150	61116 12622	8	 * 	262.67	DCR|3VULN|3DUR|3LIT|1CDMG	19aDUR|29aVULN|3CDMG|4DUST|5DLOT|69aLIT|7RMIN|8RCR|9aBPWR
151	41221 33563	5	   	262.62	DCR|4VULN|2DMG|2AART	18ERES|2678VULN|38DMG|4RCVC|5aAART|8BPWR|9RCR
152	41231 33563	5	   	262.62	DCR|4VULN|2DMG|2AART	18ERES|2678VULN|38DMG|4DMSP|5aAART|8BPWR|9RCR
153	41233 33563	3	   	262.62	DCR|4VULN|2DMG|2AART	18ERES|2678VULN|38DMG|4aAART|5RCVC|8BPWR|9RCR
154	61221 52213	3	   	262.62	DCR|3VULN|3DMG|1DUR|1SELL	1DUR|256VULN|36aDMG|4SELL|6BPWR|7RMIN|8LIT|9RCR
155	11643 23241	6	   	262.60	DCR|4VULN|3DUR|1ASPD	1BEXP|2379VULN|46aDUR|5ASPD|8RCR
156	11643 23241	5	   	262.60	DCR|4VULN|3DUR|1ASPD	1BEXP|2379VULN|46aDUR|5ASPD|8RCR
157	61523 23241	6	   	262.60	DCR|4VULN|3DUR|1ASPD	16aDUR|2579VULN|3ASPD|4BEXP|8RCR
158	61523 23241	5	   	262.60	DCR|4VULN|3DUR|1ASPD	16aDUR|2579VULN|3ASPD|4BEXP|8RCR
159	61633 23241	5	   	262.60	DCR|4VULN|3DUR|1ASPD	16aDUR|2379VULN|4FEWX|5ASPD|8RCR
160	21643 23241	5	   	262.50	DCR|4VULN|3DUR|1ASPD	1DUST|2379VULN|46aDUR|5ASPD|8RCR
161	21643 23241	6	   	262.50	DCR|4VULN|3DUR|1ASPD	1DUST|2379VULN|46aDUR|5ASPD|8RCR
162	56411 22112	8	 * 	262.24	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR|1SELL	1SELL|289VULN|39ASPD|4DMG|5DUR|6RCR|79TLV|9BPWR|aDUST
163	56411 22113	8	 * 	262.24	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR|1SELL	1SELL|289VULN|39ASPD|4DMG|5DUR|6RCR|79TLV|9BPWR|aBBNT
164	34226 24323	3	 * 	262.14	DCR|2VULN|3DUR|3LIT|2TLV|1DMG	147LIT|23TLV|57aDUR|67VULN|7BPWR|8DMG|9RCR
165	61536 23331	8	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUR|25aVULN|3ASPD|4RPLT|6DMG|7CDMG|8RCR|9TLV
166	22121 26162	2	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUST|2TLV|357VULN|4CDMG|6ASPD|8DUR|9RCR|aDMG
167	22121 36162	2	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUST|2TLV|357VULN|4CDMG|6DUR|8ASPD|9RCR|aDMG
168	61643 11122	8	   	261.81	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	17DUR|237VULN|4RCVC|57CDMG|6BELT|7BPWR|8AART|9RCR|aTLV
169	11261 34141	7	   	261.64	DCR|4VULN|2DMG|1DUR	18BEXP|2459VULN|38DMG|68LHND|7RCR|8BPWR|aDUR
170	61151 22531	6	   	261.61	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	15DUR|247VULN|34CDMG|4BPWR|6AART|8BBNT|9TLV|aRCR
171	11634 14112	3	   	261.56	DCR|4VULN|3DUR|1AART	178BEXP|2378VULN|478DUR|5RMIN|6RCR|78BPWR|9TBNT|aAART
172	21261 34141	7	   	261.44	DCR|4VULN|2DMG|1DUR	18DUST|2459VULN|38DMG|68LHND|7RCR|8BPWR|aDUR
173	61213 23243	6	   	261.44	DCR|4VULN|2DMG|1DUR	1DUR|2579VULN|3aDMG|4LWND|6RCVC|8RCR
174	61261 33223	6	   	261.44	DCR|4VULN|2DMG|1DUR	1DUR|2457VULN|3aDMG|69LHND|8RCR
175	61261 33263	6	   	261.44	DCR|4VULN|2DMG|1DUR	1DUR|2457VULN|3aDMG|6LHND|8RCR|9ZMB
176	61261 63233	5	   	261.44	DCR|4VULN|2DMG|1DUR	1DUR|2457VULN|3aDMG|6LWND|8RCR|9DMSP
177	11261 16241	5	   	261.34	DCR|4VULN|2DMG|1DUR	1BEXP|2459VULN|37DMG|6DUST|8RCR|aDUR
178	11266 13241	4	   	261.34	DCR|4VULN|2DMG|1DUR	1BEXP|2479VULN|35DMG|6DUST|8RCR|aDUR
179	21261 36241	6	   	261.34	DCR|4VULN|2DMG|1DUR	1DUST|2459VULN|37DMG|6LHND|8RCR|aDUR
180	21266 33241	4	   	261.34	DCR|4VULN|2DMG|1DUR	1DUST|2469VULN|35DMG|7FEWX|8RCR|aDUR
