0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31513 14521	3	 * 	276.36	DCR|4VULN|2DMG|2TLV|1ASPD	1RMIN|27TLV|3789VULN|4RCVC|57DMG|6RCR|7BPWR|aASPD
2	33552 26121	8	 * 	271.76	DCR|4VULN|3DUR|2TLV	1RMIN|2RCVC|379aVULN|457DUR|67TLV|7BPWR|8RCR
3	62311 22166	9	 * 	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	167DUR|2LHND|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9DMG
4	65311 22126	9	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	167DUR|2BEXP|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9DMG
5	61311 22126	9	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	167DUR|2DUST|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9DMG
6	61311 22126	10	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	167DUR|2DUST|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9DMG
7	62432 23521	6	 * 	268.44	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|2LHND|38LIT|4LWND|5aDMG|6RCR|789VULN|8BPWR
8	62432 23521	7	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|2LHND|38LIT|4LWND|5aDMG|6RCR|789VULN|8BPWR
9	62432 23521	8	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|2LHND|38LIT|4LWND|5aDMG|6RCR|789VULN|8BPWR
10	61432 23521	6	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|2DUST|38LIT|4LWND|5aDMG|6RCR|789VULN|8BPWR
11	61432 23521	7	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|2DUST|38LIT|4LWND|5aDMG|6RCR|789VULN|8BPWR
12	61432 23521	8	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|2DUST|38LIT|4LWND|5aDMG|6RCR|789VULN|8BPWR
13	62311 22126	8	   	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	167DUR|2LHND|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9TLV
14	65311 22126	8	   	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	167DUR|2BEXP|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9TLV
15	31513 14523	3	   	265.35	DCR|4VULN|2DMG|2TLV	1RMIN|27TLV|3789VULN|4RCVC|57DMG|6RCR|7BPWR|aZMB
16	61215 31423	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	148DUR|28DUST|3BEXP|5TLV|68aVULN|7RCR|8BPWR|9DMG
17	61311 22126	8	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	167DUR|2DUST|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9TLV
18	64311 22126	8	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	167DUR|2LEGI|3RMIN|47aVULN|57CDMG|7BPWR|8RCR|9TLV
19	31513 14522	3	   	265.25	DCR|4VULN|2DMG|2TLV	1RMIN|27TLV|3789VULN|4RCVC|57DMG|6RCR|7BPWR|aERES
20	31513 14115	3	   	265.11	DCR|4VULN|2DMG|2TLV|1SELL	1RMIN|27TLV|379aVULN|4RCVC|57DMG|6RCR|7BPWR|8SELL
21	62611 42133	1	   	264.43	DCR|4VULN|2DUR|2LIT|1ASPD	1aDUR|2FEWX|348aVULN|5LHND|6RCR|7ASPD|9aLIT|aBPWR
