0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51132 24511	1	 * 	287.16	DCR|4VULN|3DMG|1DUR|1AART	178DMG|2BELT|3AART|4578VULN|678BEXP|78BPWR|9RCR|aDUR
2	35412 53211	2	   	284.45	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1BEXP|26aVULN|3CDMG|4DUR|569DMG|6BPWR|7TLV|8RCR
3	23525 31522	7	 * 	280.98	DCR|5VULN|2DMG|1DUR	1DUR|2CGEN|3469aVULN|57DMG|8RCR
4	23525 33522	6	 * 	277.98	DCR|5VULN|2DUR|1DMG	17DUR|2CGEN|3469aVULN|5DMG|8RCR
5	61522 13732	7	 * 	277.98	DCR|5VULN|2DUR|2TLV	17TLV|2LWND|3479aVULN|57DUR|6MBVNT|7BPWR|8RCR
6	62522 13732	7	   	277.98	DCR|5VULN|2DUR|2TLV	17TLV|2FEWX|3479aVULN|57DUR|6MBVNT|7BPWR|8RCR
7	35215 31132	5	 * 	276.12	DCR|4VULN|2DMG|2DUR	1BEXP|269aVULN|38DUR|4LWND|56DMG|6BPWR|7RCR
8	23525 34321	6	   	274.40	DCR|5VULN|1DMG|1DUR|1ASPD	1DUR|2CGEN|34689VULN|5DMG|7RCR|aASPD
9	51132 24512	1	   	270.91	DCR|4VULN|3DMG|1AART	178DMG|2BELT|3AART|4578VULN|678BEXP|78BPWR|9RCR|aZMB
10	51132 24513	1	   	270.91	DCR|4VULN|3DMG|1AART	178DMG|2BELT|3AART|4578VULN|678BEXP|78BPWR|9RCR|aLWND
11	52521 22262	9	 * 	269.77	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	19DMG|2FEWX|349VULN|5DUST|6AART|7TLV|89ASPD|9BPWR|aRCR
12	25542 13124	8	 * 	269.43	ACR|3VULN|3DUR|2DMG|2TLV|2LIT	147DUR|27aVULN|3RCR|57TLV|6MBVNT|7aBPWR|8aDMG|9aLIT
13	25542 13124	9	   	269.43	ACR|3VULN|3DUR|2DMG|2TLV|2LIT	147DUR|27aVULN|3RCR|57TLV|6MBVNT|7aBPWR|8aDMG|9aLIT
14	23522 64322	5	   	268.92	DCR|5VULN|2DUR|1ASPD	15DUR|2CGEN|3489aVULN|6ASPD|7RCR
15	21525 31253	7	   	268.10	DCR|3VULN|3DMG|1DUR|1CDMG	1DUR|2MLV|346VULN|579DMG|8CDMG|aRCR
16	23525 31253	7	   	268.10	DCR|3VULN|3DMG|1DUR|1CDMG	1DUR|2CGEN|346VULN|579DMG|8CDMG|aRCR
17	52352 16133	1	   	268.10	DCR|3VULN|3DMG|1TLV|1CDMG	157DMG|278VULN|3CDMG|4TLV|67ERES|7BPWR|9DMSP|aRCR
18	35412 53212	2	   	267.21	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG|1AART	1BEXP|26VULN|3CDMG|4DUR|569DMG|6BPWR|7TLV|8RCR|aAART
19	25342 34212	7	 * 	266.71	DCR|3VULN|3DUR|2DMG	15aDUR|24aVULN|3ERES|6MLV|7RPLT|8RCR|9aDMG|aBPWR
20	25222 43112	10	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	137DUR|279VULN|4DUST|5TLV|67BEXP|7BPWR|8DMG|aRCR
21	52522 22262	9	   	264.91	DCR|3VULN|2DMG|1TLV|1DUR|1AART	19DMG|2FEWX|349VULN|5DUR|6AART|7TLV|89ZMB|9BPWR|aRCR
22	51522 31612	8	   	264.86	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	18DMG|2LWND|348VULN|5DUR|6FEWX|78LIT|8BPWR|9ASPD|aRCR
23	52522 31612	8	   	264.86	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	18DMG|2FEWX|348VULN|5DUR|6LHND|78LIT|8BPWR|9ASPD|aRCR
24	52523 21612	8	   	264.86	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	18DMG|2FEWX|348VULN|5LWND|6DUR|78LIT|8BPWR|9ASPD|aRCR
25	51521 21612	8	   	264.76	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	18DMG|2LWND|348VULN|5DUST|6DUR|78LIT|8BPWR|9ASPD|aRCR
26	61522 13462	9	 * 	264.17	DCR|3VULN|2DUR|2TLV|1DMG	17TLV|2LWND|347VULN|57DUR|6MBVNT|7BPWR|8DMG|9LIT|aRCR
27	61522 13472	8	   	264.17	DCR|3VULN|2DUR|2TLV|1DMG	17TLV|2LWND|347VULN|57DUR|6MBVNT|7BPWR|8DMG|9LIT|aRCR
28	23525 32522	6	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|27CGEN|3469aVULN|5DMG|8RCR
29	23525 33522	7	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|27CGEN|3469aVULN|5DMG|8RCR
30	23525 34323	6	   	263.39	DCR|5VULN|1DMG|1DUR	1DUR|2CGEN|34689VULN|5DMG|7RCR|aMLV
31	23525 34322	6	   	263.29	DCR|5VULN|1DMG|1DUR	1DUR|2CGEN|34689VULN|5DMG|7RCR|aERES
32	62322 12215	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|27aVULN|3CDMG|4LHND|5DUR|6ASPD|8RCR|9DMG
33	25432 22215	2	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DUR|27aVULN|3CDMG|4ASPD|5TLV|6LHND|8RCR|9DMG
34	22341 65444	1	   	261.79	DCR|3VULN|2DMG|2DUR	1aDUR|2FEWX|3MBVNT|48aVULN|5LWND|6LIT|7aDMG|9RCR|aBPWR
35	12263 53212	1	   	261.74	DCR|4VULN|2DMG|1TLV	1aMLV|256aVULN|36BEXP|4RPLT|6aBPWR|7TLV|8RCR|9aDMG
36	51521 26344	5	   	261.69	DCR|3VULN|2DMG|2DUR	1aDMG|2LWND|34aVULN|5DUST|6LIT|7MBVNT|8aDUR|9RCR|aBPWR
37	35215 31532	5	   	261.54	DCR|4VULN|2DMG|1DUR	1BEXP|269aVULN|3DUR|48LWND|56DMG|6BPWR|7RCR
38	42263 53212	1	   	261.54	DCR|4VULN|2DMG|1TLV	1aERES|256aVULN|36BEXP|4RPLT|6aBPWR|7TLV|8RCR|9aDMG
39	23525 31521	7	   	261.44	DCR|4VULN|2DMG|1DUR	1DUR|2CGEN|3469VULN|57DMG|8RCR|aLWND
40	23525 31523	7	   	261.34	DCR|4VULN|2DMG|1DUR	1DUR|2CGEN|3469VULN|57DMG|8RCR|aBBNT
41	21632 43363	9	 * 	261.11	DCR|2VULN|3DUR|2DMG|2ASPD	178DUR|2MLV|37DMG|4FEWX|5aVULN|67ASPD|7BPWR|9RCR
42	21622 43363	9	   	261.01	DCR|2VULN|3DUR|2DMG|2ASPD	178DUR|2MLV|37DMG|4DUST|5aVULN|67ASPD|7BPWR|9RCR
43	22441 15831	9	   	260.36	DCR|3VULN|3DUR|1TLV|2LIT	19aDUR|29aLWND|3MBVNT|4TLV|57LIT|69aVULN|8RCR|9aBPWR
44	25262 31142	8	   	260.23	DCR|3VULN|3DUR|1DMG|1ASPD	135DUR|267VULN|467ZMB|67BPWR|8DMG|9ASPD|aRCR
45	25242 11831	9	   	260.16	DCR|3VULN|3DUR|1TLV|2LIT	139DUR|29aVULN|4LHND|5TLV|6MBVNT|79LIT|8RCR|9BPWR
46	25242 11834	10	   	260.16	DCR|3VULN|3DUR|1TLV|2LIT	139DUR|29aVULN|4LHND|5TLV|6MBVNT|79LIT|8RCR|9BPWR
47	21525 34323	6	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2MLV|3468VULN|5DMG|7RCR|9CGEN|aTLV
48	61522 13722	7	 * 	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	17TLV|2LWND|347VULN|57aDUR|6MBVNT|7BPWR|8RCR|9ASPD
49	62522 13371	9	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	17TLV|2FEWX|347VULN|578DUR|6MBVNT|7BPWR|9RCR|aASPD
50	62522 13374	10	   	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	17TLV|2FEWX|347VULN|578DUR|6MBVNT|7BPWR|9RCR|aASPD
