0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13344 61112	8	 * 	305.45	DCR|3VULN|3DMG|3ASPD|3TLV|1DUR	157ASPD|248VULN|347TLV|478BPWR|678DMG|9RCR|aDUR
2	25315 24331	3	 * 	289.60	DCR|4VULN|2DUR|2TLV|1DMG|1ASPD	18DUR|2348VULN|5ASPD|6CGEN|78TLV|8BPWR|9RCR|aDMG
3	13344 61111	8	   	289.20	DCR|3VULN|3DMG|3ASPD|3TLV	157ASPD|248VULN|347TLV|478BPWR|678DMG|9RCR|aRPLT
4	13344 61113	8	   	289.20	DCR|3VULN|3DMG|3ASPD|3TLV	157ASPD|248VULN|347TLV|478BPWR|678DMG|9RCR|aDMSP
5	25341 43331	7	 * 	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	18DUR|2368VULN|4MLV|5CGEN|78DMG|8BPWR|9RCR|aASPD
6	25331 43331	7	   	287.13	DCR|4VULN|2DMG|2DUR|1ASPD	18DUR|2368VULN|4ERES|5CGEN|78DMG|8BPWR|9RCR|aASPD
7	25342 43331	7	   	287.13	DCR|4VULN|2DMG|2DUR|1ASPD	18DUR|2368VULN|4MLV|5ERES|78DMG|8BPWR|9RCR|aASPD
8	21315 64333	1	 * 	286.62	DCR|2VULN|3DMG|3DUR|2TLV|1ASPD	168DUR|258DMG|3CGEN|46VULN|68BPWR|78TLV|9RCR|aASPD
9	13113 36535	10	 * 	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	189ASPD|27aVULN|39DMG|49DUR|5MBVNT|6RCR|9BPWR
10	26152 36332	2	   	281.85	DCR|4VULN|2DUR|2TLV|1CDMG	1aDUR|2CDMG|359aVULN|4AART|6BELT|7aTLV|8RCR|aBPWR
11	13341 22543	4	 * 	278.74	DCR|3VULN|3DUR|2ASPD|2TLV	19ASPD|249VULN|34TLV|49BPWR|5LIT|6RCVC|789DUR|aRCR
12	13346 25331	4	   	277.27	DCR|3VULN|2DUR|2ASPD|2TLV|1DMG	18ASPD|248VULN|34TLV|48BPWR|56CGEN|78DUR|9RCR|aDMG
13	25314 22422	10	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	14DUR|23aVULN|5ASPD|6CDMG|7TLV|8DMG|9RCR
14	25313 63312	10	 * 	276.47	DCR|3VULN|3DUR|2DMG	148DUR|238VULN|5LWND|6FEWX|78DMG|8BPWR|9AART|aRCR
15	13311 24236	6	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	19ASPD|29aVULN|3TLV|4DUR|5LEGI|6RCR|79DMG|8TBNT|9BPWR
16	13315 33237	4	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	19ASPD|29aVULN|3TLV|4DUR|59DMG|6MBVNT|7RCR|8TBNT|9BPWR
17	13315 33437	4	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	19ASPD|29aVULN|3TLV|4DUR|59DMG|6MBVNT|7RCR|8BBNT|9BPWR
18	25341 43332	7	   	276.22	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4MLV|5aCGEN|78DMG|8BPWR|9RCR
19	25331 43332	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4ERES|5aCGEN|78DMG|8BPWR|9RCR
20	25331 43334	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4ERES|5CGEN|78DMG|8BPWR|9RCR|aLHND
21	25331 43335	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4ERES|5CGEN|78DMG|8BPWR|9RCR|aBELT
22	25341 43333	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4MLV|5CGEN|78DMG|8BPWR|9RCR|aDUST
23	25342 43332	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4MLV|5ERES|78DMG|8BPWR|9RCR|aCGEN
24	25342 43333	7	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4MLV|5ERES|78DMG|8BPWR|9RCR|aLHND
25	25331 43333	7	   	276.02	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4ERES|5CGEN|78DMG|8BPWR|9RCR|aDUST
26	25331 43336	7	   	276.02	DCR|4VULN|2DMG|2DUR	18DUR|2368VULN|4aERES|5CGEN|78DMG|8BPWR|9RCR
27	21315 64331	1	   	275.62	DCR|2VULN|3DMG|3DUR|2TLV	168DUR|258DMG|3aCGEN|46VULN|68BPWR|78TLV|9RCR
28	21315 64332	1	   	275.52	DCR|2VULN|3DMG|3DUR|2TLV	168DUR|258DMG|3CGEN|46VULN|68BPWR|78TLV|9RCR|aBBNT
