0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15143 12251	10	 * 	310.09	DCR|4VULN|2TLV|2DUR|3LIT|1DMG	145LIT|2459VULN|3AART|459BPWR|69DUR|7RCR|89TLV|aDMG
2	54323 33336	10	 * 	296.87	DCR|5VULN|2DMG|2DUR|2LIT	12458VULN|39LIT|68DUR|78DMG|8BPWR|aRCR
3	53422 81321	5	 * 	295.06	ACR|4VULN|3DMG|2TLV|2DUR|1CDMG	1379VULN|2RCR|379BPWR|4MBVNT|57DUR|679DMG|89TLV|aCDMG
4	64411 31221	5	 * 	293.69	DCR|4VULN|3DUR|2TLV|1DMG	137DUR|2349VULN|37BPWR|57FEWX|67TLV|8RCR|aDMG
5	54232 31221	5	   	293.49	DCR|4VULN|3DUR|2TLV|1DMG	1279VULN|3DUST|457DUR|67TLV|7BPWR|8RCR|aDMG
6	54514 12322	4	   	293.49	DCR|4VULN|3DUR|2TLV|1DMG	1249VULN|3MBVNT|5DMG|69aDUR|7RCR|89TLV|9BPWR
7	54232 31226	5	 * 	291.77	DCR|5VULN|3DUR|2TLV	1279aVULN|3DUST|457DUR|67TLV|7BPWR|8RCR
8	15143 12251	9	   	290.03	DCR|4VULN|2TLV|2DUR|3LIT	145LIT|2459VULN|3AART|459BPWR|69DUR|7RCR|89TLV|aDMSP
9	15143 12252	9	   	290.03	DCR|4VULN|2TLV|2DUR|3LIT	145LIT|2459VULN|3AART|459BPWR|69DUR|7RCR|89TLV|aLHND
10	15143 12252	10	   	290.03	DCR|4VULN|2TLV|2DUR|3LIT	145LIT|2459VULN|3AART|459BPWR|69DUR|7RCR|89TLV|aZMB
11	15143 12253	9	   	290.03	DCR|4VULN|2TLV|2DUR|3LIT	145LIT|2459VULN|3AART|459BPWR|69DUR|7RCR|89TLV|aRCVC
12	15143 12253	10	   	290.03	DCR|4VULN|2TLV|2DUR|3LIT	145LIT|2459VULN|3AART|459BPWR|69DUR|7RCR|89TLV|aDMSP
13	53422 81322	5	   	289.72	ACR|4VULN|3DMG|2TLV|2DUR	1379VULN|2RCR|379BPWR|4MBVNT|57DUR|679DMG|89TLV|aASPD
14	15143 23226	7	   	289.32	DCR|5VULN|1TLV|3LIT|1DMG	145LIT|24569VULN|3AART|456BPWR|7TLV|8DMG|aRCR
15	54232 31234	5	   	287.08	DCR|4VULN|3DUR|2TLV|1CDMG	127aVULN|3DUST|457DUR|67TLV|7BPWR|8RCR|9CDMG
16	52421 41221	1	   	285.61	DCR|4VULN|3DUR|1TLV|1DMG	1679VULN|2TLV|37LWND|4RCVC|567DUR|67BPWR|8RCR|aDMG
17	52521 41221	1	   	285.61	DCR|4VULN|3DUR|1TLV|1DMG	1679VULN|2TLV|37BEXP|4RCVC|567DUR|67BPWR|8RCR|aDMG
18	52411 43221	10	   	282.11	DCR|5VULN|2DMG|2DUR	1349aVULN|23DUR|3aBPWR|57aFEWX|6RCR|8aDMG
19	52411 43331	10	   	282.11	DCR|5VULN|2DMG|2DUR	1348aVULN|23DUR|3aBPWR|57aFEWX|6RCR|9aDMG
20	54232 31243	5	   	282.10	DCR|3VULN|3DUR|2TLV|1DMG	127VULN|3DUST|457DUR|67TLV|7BPWR|8RCR|9AART|aDMG
21	53422 81323	5	   	281.41	ACR|4VULN|3DMG|2TLV|2DUR	1379VULN|2RCR|379BPWR|4MBVNT|57DUR|679DMG|89TLV|aRCVC
22	53422 81324	5	   	281.31	ACR|4VULN|3DMG|2TLV|2DUR	1379VULN|2RCR|379BPWR|4MBVNT|57DUR|679DMG|89TLV|aERES
23	54514 12321	4	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|3MBVNT|5DMG|69DUR|7RCR|89TLV|9BPWR|aZMB
24	54514 12323	4	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|3MBVNT|5DMG|69DUR|7RCR|89TLV|9BPWR|aBELT
25	34412 31221	5	   	280.17	DCR|4VULN|2TLV|2DUR|1DMG	137DUST|2349VULN|37BPWR|57DUR|67TLV|8RCR|aDMG
26	54514 12324	4	   	280.17	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|3MBVNT|5DMG|69DUR|7RCR|89TLV|9BPWR|aDUST
