0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34336 24734	9	 * 	305.00	DCR|4VULN|3DMG|3DUR	138aVULN|245DUR|6MBVNT|78aDMG|8aBPWR|9RCR
2	33353 33531	10	 * 	300.95	DCR|5VULN|2ASPD|1DMG|1TLV|1DUR	1589aVULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR
3	33353 33641	7	 * 	299.91	DCR|4VULN|2DUR|2ASPD|2TLV|1DMG	159aVULN|29TLV|3DMG|45ASPD|59BPWR|6RCR|79DUR|8BELT
4	33353 33511	10	 * 	299.00	DCR|4VULN|2DMG|2ASPD|1TLV|1DUR	158aVULN|2TLV|39DMG|45ASPD|5BPWR|6RCR|7DUR
5	33353 33231	10	   	299.00	DCR|4VULN|2DMG|2ASPD|1TLV|1DUR	159aVULN|2TLV|38DMG|45ASPD|5BPWR|6RCR|7DUR
6	31124 22435	6	   	294.98	DCR|4VULN|2DMG|3LIT|2CDMG	146aVULN|2AART|34CDMG|4aBPWR|58aLIT|7RCR|9aDMG
7	31236 21325	9	 * 	294.45	DCR|5VULN|2DMG|2CDMG	1459aVULN|2AART|34DUST|49BPWR|6RCR|79CDMG|89DMG
8	31236 21323	10	   	291.16	DCR|4VULN|2DMG|2CDMG|1TLV	1459VULN|2AART|34DUST|49BPWR|6RCR|79CDMG|89DMG|aTLV
9	33353 33421	9	 * 	291.15	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	159VULN|2TLV|39DMG|45ASPD|59BPWR|6RCR|7aDUR|89LWND
10	33353 33531	9	   	291.08	DCR|4VULN|2ASPD|1DMG|1TLV|1DUR	1589VULN|2TLV|3DMG|45ASPD|5BPWR|6RCR|7DUR|aAART
11	33353 33643	7	   	290.92	DCR|3VULN|2DUR|2ASPD|2TLV|1DMG|1CDMG	159VULN|29TLV|3DMG|45ASPD|59BPWR|6RCR|79DUR|8BELT|aCDMG
12	31124 22635	7	   	289.97	DCR|4VULN|2DMG|2CDMG|2LIT	146aVULN|2AART|34CDMG|4aBPWR|5aLIT|7RCVC|8RCR|9aDMG
13	31124 23635	6	   	289.97	DCR|4VULN|2DMG|2CDMG|2LIT	146aVULN|2AART|34CDMG|4aBPWR|5aLIT|7DMSP|8RCR|9aDMG
