0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32124 34343	1	 * 	281.11	DCR|4VULN|3DMG|2CDMG	1BELT|28aDMG|38LHND|478aVULN|5LEGI|6RCR|8aBPWR|9aCDMG
2	32523 32226	1	 * 	280.48	DCR|5VULN|3DMG	1BELT|289DMG|3LWND|4589aVULN|6RCR|789ERES|89BPWR
3	52121 66133	2	 * 	280.20	DCR|3VULN|3DUR|2ASPD|2CDMG|1AART	1RCVC|2AART|37aVULN|47ASPD|5RMIN|67aDUR|7aBPWR|8RCR|9aCDMG
4	52126 36133	1	   	280.20	DCR|3VULN|3DUR|2ASPD|2CDMG|1AART	1RCVC|27aDUR|3AART|47ASPD|57aVULN|6RMIN|7aBPWR|8RCR|9aCDMG
5	52123 36133	2	   	280.20	DCR|3VULN|3DUR|2ASPD|2CDMG|1AART	1RCVC|2AART|37aVULN|47ASPD|57aDUR|6RMIN|7aBPWR|8RCR|9aCDMG
6	52623 36133	3	   	280.20	DCR|3VULN|3DUR|2ASPD|2CDMG|1AART	1RCVC|2AART|37aVULN|47ASPD|57aDUR|6RMIN|7aBPWR|8RCR|9aCDMG
7	54633 22323	6	 * 	275.33	DCR|3VULN|3DUR|3CDMG|1DMG	1RCVC|247CDMG|3RMIN|479BPWR|579DUR|679VULN|8RCR|aDMG
8	32523 31223	1	   	274.89	DCR|4VULN|3DMG|1CDMG	1BELT|289DMG|3LWND|4589VULN|6RCR|789MLV|89BPWR|aCDMG
9	53123 21332	2	 * 	272.91	DCR|4VULN|3DUR|2ASPD	1RCVC|279aVULN|36aDUR|4TBNT|5aASPD|8RCR|aBPWR
10	53153 21332	2	   	272.91	DCR|4VULN|3DUR|2ASPD	1RCVC|279aVULN|36aDUR|4BBNT|5aASPD|8RCR|aBPWR
11	26233 21332	1	 * 	271.42	DCR|4VULN|3DUR|2CDMG|1SELL	1SELL|26aDUR|3BBNT|4aCDMG|579aVULN|8RCR|aBPWR
12	21521 15261	2	 * 	269.92	DCR|3VULN|2DMG|3CDMG|2ASPD|1SELL	1SELL|27aVULN|3aDMG|47ASPD|57ZMB|6RCR|7aBPWR|89aCDMG
13	23521 15261	1	 * 	269.92	DCR|3VULN|2DMG|3CDMG|2ASPD|1SELL	1SELL|27aVULN|3aDMG|47ASPD|57ZMB|6RCR|7aBPWR|89aCDMG
14	13133 66613	7	   	269.75	DCR|4VULN|2DMG|1DUR	1aDUST|2BEXP|369aVULN|4LIT|5DUR|7aDMG|8RCR|aBPWR
15	35121 34341	2	 * 	269.73	DCR|3VULN|2DMG|3ASPD|1DUR	1BELT|258ASPD|3LHND|468VULN|78DMG|8BPWR|9RCR|aDUR
16	32523 31221	1	   	269.55	DCR|4VULN|3DMG	1BELT|289DMG|3LWND|4589VULN|6RCR|789MLV|89BPWR|aLIT
17	21263 12233	5	 * 	269.34	DCR|3VULN|2DMG|2DUR|1TLV|2SELL	18SELL|259VULN|39DUR|4TLV|6ZMB|79DMG|9BPWR|aRCR
18	21543 13422	2	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|29aVULN|359DMG|4MBVNT|6RCR|79DUR|8RPLT|9BPWR
19	21543 21322	2	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|29aVULN|359DMG|4MBVNT|6RPLT|79DUR|8RCR|9BPWR
20	23543 13422	1	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|29aVULN|359DMG|4MBVNT|6RCR|79DUR|8RPLT|9BPWR
21	23543 21322	1	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|29aVULN|359DMG|4MBVNT|6RPLT|79DUR|8RCR|9BPWR
22	43132 52336	4	 * 	267.31	DCR|5VULN|1DMG|2CDMG	139CGEN|23569VULN|39BPWR|49CDMG|7RCR|8DLOT|aDMG
23	53124 11111	2	 * 	266.61	DCR|3VULN|3DUR|2DMG	1RCVC|268VULN|356DUR|4TBNT|6BPWR|7RCR|9aDMG
24	53154 11111	2	   	266.61	DCR|3VULN|3DUR|2DMG	1RCVC|268VULN|356DUR|4BBNT|6BPWR|7RCR|9aDMG
25	33631 23246	9	   	265.02	DCR|3VULN|3DUR|3CDMG|1AART	1BELT|2RCVC|3AART|49aDUR|59aVULN|69aCDMG|7RPLT|8RCR|9aBPWR
26	33632 13246	9	   	265.02	DCR|3VULN|3DUR|3CDMG|1AART	1BELT|2RCVC|3AART|49aDUR|59aCDMG|69aVULN|7RPLT|8RCR|9aBPWR
27	21231 11641	5	 * 	264.96	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR|1SELL	1SELL|29VULN|3DUR|49ASPD|5TLV|6LHND|7RCR|89aDMG|9BPWR
28	61226 21162	5	   	264.86	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	1aLIT|2ASPD|34aVULN|5DUR|6RPLT|7RCR|8FEWX|9aDMG|aBPWR
29	64232 22113	7	   	264.76	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	1aLIT|2RMIN|39aVULN|4ASPD|5DUR|6MBVNT|7RCR|8aDMG|aBPWR
30	61216 32613	5	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	1aLIT|2ASPD|379aVULN|4DUST|5BEXP|6aDUR|8RCR|aBPWR
31	64225 21322	9	   	263.98	DCR|3VULN|3DUR|2CDMG|2LIT	1aLIT|2RMIN|348VULN|5aCDMG|67aDUR|9RCR|aBPWR
32	21521 15231	2	 * 	263.88	DCR|3VULN|2DMG|2ASPD|2CDMG|1SELL	1SELL|27aVULN|3aDMG|47ASPD|57ZMB|6RCR|7aBPWR|8aCDMG|9DMSP
33	23521 15231	1	 * 	263.88	DCR|3VULN|2DMG|2ASPD|2CDMG|1SELL	1SELL|27aVULN|3aDMG|47ASPD|57ZMB|6RCR|7aBPWR|8aCDMG|9DMSP
