0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35241 33433	10	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2569VULN|3DMG|4NUKE|79TLV|89DUR|9BPWR|aRCR
2	35261 12142	7	 * 	277.09	DCR|4VULN|3DMG|1DUR	1RCVC|2568VULN|39aDMG|4DUR|7RCR
3	35261 12342	8	   	277.09	DCR|4VULN|3DMG|1DUR	1RCVC|2568VULN|39aDMG|4DUR|7RCR
4	52342 33211	9	   	276.07	DCR|4VULN|2DUR|1DMG|2AART	17AART|28FEWX|358aVULN|48DUR|6RCR|8BPWR|9DMG
5	52342 33216	10	   	276.07	DCR|4VULN|2DUR|1DMG|2AART	17AART|28FEWX|358aVULN|48DUR|6RCR|8BPWR|9DMG
6	35261 12112	7	 * 	276.02	DCR|4VULN|2DMG|2DUR	1RCVC|2568VULN|3aDMG|49DUR|7RCR
7	35261 12162	8	   	276.02	DCR|4VULN|2DMG|2DUR	1RCVC|2569VULN|3aDMG|48DUR|7RCR
8	35261 12312	8	   	276.02	DCR|4VULN|2DMG|2DUR	1RCVC|2568VULN|3aDMG|49DUR|7RCR
9	35243 33433	10	 * 	273.45	DCR|3VULN|2DMG|2DUR|2TLV|1NUKE	1RCVC|269VULN|35DMG|4NUKE|79TLV|89DUR|9BPWR|aRCR
10	26161 62232	7	 * 	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	19LWND|23ASPD|49DUR|5689VULN|7RCR|9BPWR|aCDMG
11	31231 12135	7	 * 	273.24	DCR|5VULN|2DMG	1RCVC|29FEWX|39DMG|45689VULN|7RCR|9BPWR|aLIT
12	35221 12135	7	   	273.24	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49FEWX|7RCR|9BPWR|aLIT
13	35211 12135	7	   	273.04	DCR|5VULN|2DMG	1RCVC|25689VULN|39DMG|49DUST|7RCR|9BPWR|aLIT
14	31231 12132	8	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|29FEWX|3DMG|4569VULN|7RCR|89DUR|9BPWR|aCDMG
15	35221 12132	8	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|2569VULN|3DMG|49FEWX|7RCR|89DUR|9BPWR|aCDMG
16	35261 12432	8	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89LWND|9BPWR|aCDMG
17	35261 12532	7	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89LWND|9BPWR|aCDMG
18	35261 12632	8	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89FEWX|9BPWR|aCDMG
19	35261 42232	7	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|2589VULN|3DMG|49DUR|69LWND|7RCR|9BPWR|aCDMG
20	35211 12132	8	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|2569VULN|3DMG|49DUST|7RCR|89DUR|9BPWR|aCDMG
21	35261 12532	8	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1RCVC|2569VULN|3DMG|49DUR|7RCR|89DUST|9BPWR|aCDMG
22	35221 32136	8	 * 	269.24	DCR|3VULN|3DMG|2DUR	1RCVC|259VULN|379DMG|4FEWX|6BEXP|89DUR|9BPWR|aRCR
23	35211 32136	8	   	269.14	DCR|3VULN|3DMG|2DUR	1RCVC|259VULN|379DMG|4DUST|6BEXP|89DUR|9BPWR|aRCR
24	35212 26236	7	   	269.14	DCR|3VULN|3DMG|2DUR	1RCVC|289VULN|369DMG|4DUST|5FEWX|79DUR|9BPWR|aRCR
25	35212 32136	8	   	269.14	DCR|3VULN|3DMG|2DUR	1RCVC|269VULN|379DMG|4DUST|5FEWX|89DUR|9BPWR|aRCR
26	35221 22136	8	   	269.14	DCR|3VULN|3DMG|2DUR	1RCVC|259VULN|379DMG|4FEWX|6DUST|89DUR|9BPWR|aRCR
27	35225 32136	8	   	269.14	DCR|3VULN|3DMG|2DUR	1RCVC|269VULN|379DMG|4FEWX|5DUST|89DUR|9BPWR|aRCR
28	35261 12142	8	   	269.04	DCR|3VULN|3DMG|2DUR	1RCVC|256VULN|39aDMG|48DUR|7RCR
29	54262 21232	7	   	268.57	DCR|4VULN|2TLV|1DUR|2LIT|1AART	1AART|29TLV|35LIT|4579VULN|59BPWR|69FEWX|8RCR|aDUR
30	52212 35621	1	   	268.42	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1AART|267VULN|3TBNT|47DMG|57TLV|7BPWR|8DUST|9RCR|aDUR
31	35245 12132	8	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	1RCVC|269VULN|39DMG|4NUKE|5RMIN|7RCR|89DUR|9BPWR|aCDMG
32	45123 33342	2	 * 	266.81	DCR|3VULN|3DUR|2DMG	19aLHND|29ERES|3aDMG|45aVULN|689DUR|7RCR|9aBPWR
