0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12215 26512	5	 * 	296.01	DCR|3VULN|3DMG|3DUR|1CDMG	1ERES|245DUR|345DMG|45BPWR|6RCR|79aVULN|8CDMG
2	52213 43133	1	 * 	295.08	DCR|3VULN|3DUR|2DMG|2TLV	178DUR|28TLV|3LIT|46aVULN|58DMG|8BPWR|9RCR
3	62213 43133	2	   	295.08	DCR|3VULN|3DUR|2DMG|2TLV	18TLV|278DUR|3LIT|46aVULN|58DMG|8BPWR|9RCR
4	62232 15123	7	 * 	288.27	DCR|3VULN|3DMG|2TLV|1DUR|1CDMG	19TLV|2DUR|39aDMG|4CDMG|5LHND|689VULN|7RCR|9BPWR
5	62216 25122	7	   	286.87	DCR|3VULN|3DUR|2DMG|2TLV	19TLV|249DUR|34DMG|49BPWR|5LWND|6RCR|7RPLT|89aVULN
6	62216 25322	8	   	286.87	DCR|3VULN|3DUR|2DMG|2TLV	19TLV|249DUR|34DMG|49BPWR|5LWND|6RCR|7RPLT|89aVULN
7	62211 36321	5	 * 	285.97	DCR|2VULN|3DUR|2DMG|3CDMG|3TLV	19aTLV|249DUR|34DMG|49aBPWR|5MBVNT|6aVULN|7RCR|89aCDMG
8	53232 15126	7	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5LHND|689VULN|7RCR|9BPWR|aTLV
9	53234 33126	5	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|2CGEN|39DMG|4CDMG|5DUST|6RCR|789VULN|9BPWR|aTLV
10	52213 43343	1	 * 	282.99	DCR|4VULN|2DUR|1DMG|1TLV	17DUR|2TLV|3LIT|468aVULN|5DMG|9RCR
11	62213 43343	2	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1TLV|27DUR|3LIT|468aVULN|5DMG|9RCR
12	53232 15623	8	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|2CGEN|389DMG|4CDMG|5LHND|69aVULN|7RCR|9BPWR
13	53232 15123	7	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	19DUR|2CGEN|39aDMG|4CDMG|5LHND|689VULN|7RCR|9BPWR
14	22212 35653	10	   	282.56	DCR|3VULN|3DMG|3DUR	19CGEN|247DUR|349DMG|49BPWR|5RCVC|6RCR|89aVULN
15	12215 26412	5	   	282.12	DCR|3VULN|3DMG|3DUR|1SELL	1ERES|245DUR|345DMG|45BPWR|6RCR|79aVULN|8SELL
