0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13553 32235	7	 * 	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	13DUR|267aVULN|4ASPD|5TLV|8RCR|9DMG
2	13554 32322	10	   	283.09	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	13DUR|267aVULN|4ASPD|5DMG|8RCR|9CDMG
3	13256 22521	4	 * 	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	178DUR|2578VULN|3RCVC|457ASPD|578BPWR|6SELL|9RCR|aRPLT
4	13256 22522	4	 * 	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	178DUR|2578VULN|3RCVC|457ASPD|578BPWR|6SELL|9RCR|aCGEN
5	13256 22523	4	 * 	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	178DUR|2578VULN|3RCVC|457ASPD|578BPWR|6SELL|9RCR|aLHND
6	13346 22521	3	 * 	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	178DUR|2578VULN|357ASPD|4RCVC|578BPWR|6SELL|9RCR|aRPLT
7	13346 22522	3	 * 	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	178DUR|2578VULN|357ASPD|4RCVC|578BPWR|6SELL|9RCR|aCGEN
8	13346 22523	3	 * 	282.49	DCR|4VULN|3DUR|3ASPD|1SELL	178DUR|2578VULN|357ASPD|4RCVC|578BPWR|6SELL|9RCR|aLHND
9	14232 26131	9	 * 	279.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19DUR|2AART|3CGEN|479VULN|5LWND|6TLV|89DMG|9BPWR|aRCR
10	13336 36235	7	 * 	279.33	DCR|5VULN|2DUR|2ASPD	17DUR|2569aVULN|37ASPD|47MLV|7BPWR|8RCR
11	11323 13444	5	 * 	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	17DUR|2ERES|3578VULN|47CDMG|6DMSP|7BPWR|9RCR|aDMG
12	13233 36235	7	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG|1NUKE	17DUR|267aVULN|3RCVC|4NUKE|57TLV|7BPWR|8RCR|9DMG
13	13554 32231	7	 * 	277.61	DCR|3VULN|3DUR|2DMG|1ASPD	13aDUR|267VULN|4ASPD|59DMG|8RCR
14	13554 32331	8	   	277.61	DCR|3VULN|3DUR|2DMG|1ASPD	13aDUR|267VULN|4ASPD|59DMG|8RCR
15	13253 36235	7	 * 	277.17	DCR|3VULN|2DUR|2ASPD|2TLV|1DMG	17DUR|26aVULN|3RCVC|47ASPD|57TLV|7BPWR|8RCR|9DMG
16	13554 32321	9	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	13DUR|267VULN|4ASPD|5DMG|8RCR|9CDMG|aTLV
17	13553 32231	7	   	276.28	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	13aDUR|267VULN|4ASPD|5TLV|8RCR|9DMG
