0	Index      	 *	Score 	Summary	Detail	
1	62132 13543	 * 	310.32	DCR|3LIT|3VULN|1FLTARM|1DMG	138LIT|23aVULN|3BPWR|4LHND|5CANARM|6RCR|7DMG|9FLTARM
2	62132 13432	 * 	307.31	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	13LIT|23VULN|3BPWR|4LHND|5CANARM|6RCR|7DMG|89MLV|aCDMG
3	62134 13432	   	307.31	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	13LIT|23VULN|3BPWR|4LHND|5MULHEA|6RCR|7DMG|89MLV|aCDMG
4	62123 22423	 * 	305.40	DCR|3LIT|3VULN|1MLV|3CDMG	138LIT|238VULN|38BPWR|4DUST|5BEXP|678CDMG|9RCR|aMLV
5	62112 16511	   	304.66	DCR|3LIT|3VULN|1MLV|1DMG	137LIT|239VULN|3BPWR|4FEWX|5CANARM|6RCR|8MLV|aDMG
6	62132 13411	   	304.66	DCR|3LIT|3VULN|1MLV|1DMG	139LIT|23aVULN|3BPWR|4LHND|5CANARM|6RCR|7DMG|8MLV
7	62132 13516	   	304.66	DCR|3LIT|3VULN|1MLV|1DMG	138LIT|239VULN|3BPWR|4LHND|5CANARM|6RCR|7DMG|aMLV
8	62132 16511	   	304.66	DCR|3LIT|3VULN|1MLV|1DMG	137LIT|239VULN|3BPWR|4LHND|5CANARM|6RCR|8MLV|aDMG
9	62134 13411	   	304.66	DCR|3LIT|3VULN|1MLV|1DMG	139LIT|23aVULN|3BPWR|4LHND|5MULHEA|6RCR|7DMG|8MLV
10	62122 16511	   	304.56	DCR|3LIT|3VULN|1MLV|1DMG	137LIT|239VULN|3BPWR|4DUST|5CANARM|6RCR|8MLV|aDMG
11	62132 12543	   	303.91	DCR|3LIT|3VULN|1FLTARM|1ASPD	138LIT|23aVULN|3BPWR|4LHND|5CANARM|6RCR|7ASPD|9FLTARM
12	62425 21333	   	301.78	DCR|2LIT|2MLV|1VULN|1DMG|2CDMG|1ASPD	18LIT|2VULN|38CDMG|4GSSTOX|5DMG|6RCR|78MLV|8BPWR|9ZMB|aASPD
13	62143 32633	 * 	301.63	DCR|3LIT|5VULN|1DMG	135LIT|23459VULN|35BPWR|6DMG|7AART|8TLV|aRCR
14	62323 23344	 * 	301.50	DCR|2LIT|2VULN|1FLTARM|1MLV|2ASPD|1SELL	1aLIT|29VULN|37ASPD|4SELL|5FLTARM|6RCR|8MLV
15	62163 36313	 * 	301.11	DCR|3LIT|4VULN|2ASPD|2ZMB	139LIT|2368VULN|39BPWR|49ZMB|59ASPD|7BELT|aRCR
16	62132 12434	   	300.43	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	13LIT|23VULN|3BPWR|4LHND|5CANARM|6RCR|7ASPD|89MLV|aDMG
17	62132 13434	   	300.43	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	13LIT|23VULN|3BPWR|4LHND|5CANARM|6RCR|7DMG|89MLV|aASPD
18	62144 23323	 * 	299.72	DCR|2LIT|2MLV|3VULN|1CDMG	13LIT|234VULN|3BPWR|5LWND|6CDMG|79MLV|8AART|aRCR
19	62122 33226	 * 	299.23	DCR|2LIT|4VULN|1MLV|1DMG	13LIT|2369VULN|3BPWR|4DUST|5CANARM|7DMG|8MLV|aRCR
20	62124 33226	   	299.23	DCR|2LIT|4VULN|1MLV|1DMG	13LIT|2369VULN|3BPWR|4DUST|5MULHEA|7DMG|8MLV|aRCR
21	12823 24522	 * 	299.01	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG|1SELL	1MBVNT|24MLV|34DMG|4BPWR|5SELL|6RCR|7aVULN|8CDMG|9LIT
22	62132 12411	   	298.25	DCR|3LIT|3VULN|1MLV|1ASPD	139LIT|23aVULN|3BPWR|4LHND|5CANARM|6RCR|7ASPD|8MLV
23	62132 12516	   	298.25	DCR|3LIT|3VULN|1MLV|1ASPD	138LIT|239VULN|3BPWR|4LHND|5CANARM|6RCR|7ASPD|aMLV
24	62132 16531	   	298.25	DCR|3LIT|3VULN|1MLV|1ASPD	137LIT|23aVULN|3BPWR|4LHND|5CANARM|6RCR|8MLV|9ASPD
25	62132 16612	   	298.25	DCR|3LIT|3VULN|1MLV|1CDMG	137LIT|23aVULN|3BPWR|4LHND|5CANARM|6RCR|8CDMG|9MLV
26	62134 12411	   	298.25	DCR|3LIT|3VULN|1MLV|1ASPD	139LIT|23aVULN|3BPWR|4LHND|5MULHEA|6RCR|7ASPD|8MLV
27	61612 21513	 * 	297.46	DCR|3LIT|3VULN|1MLV|3DUR|1DMG	138LIT|238DUR|38BPWR|4FEWX|5MLV|678VULN|9DMG|aRCR
28	61632 21513	   	297.46	DCR|3LIT|3VULN|1MLV|3DUR|1DMG	138LIT|238DUR|38BPWR|4LHND|5MLV|678VULN|9DMG|aRCR
29	62132 13416	   	296.17	DCR|3LIT|2VULN|1MLV|1DMG|1ASPD	139LIT|23VULN|3BPWR|4LHND|5CANARM|6RCR|7DMG|8MLV|aASPD
30	62353 22111	   	295.42	DCR|3LIT|2VULN|1FLTARM|1ASPD|1CDMG	189LIT|2aVULN|3ASPD|4CDMG|5FLTARM|6RCR|7RPLT
31	62323 26251	 * 	294.60	DCR|2LIT|2DMG|1FLTARM|1VULN|2ASPD|1CDMG|1SELL	19LIT|2VULN|39ASPD|4SELL|5FLTARM|6RCR|7DUST|89DMG|9BPWR|aCDMG
32	62133 22426	   	293.47	DCR|3LIT|3VULN|3CDMG|1NUKE	138LIT|238VULN|38BPWR|4LHND|5BEXP|678CDMG|9RCR|aNUKE
33	62425 21322	 * 	293.45	DCR|2LIT|3MLV|1VULN|1DMG|2CDMG	18LIT|2VULN|38CDMG|4GSSTOX|5DMG|6RCR|789MLV|8BPWR|aZMB
34	62323 24142	 * 	293.40	DCR|1LIT|2VULN|2DMG|1FLTARM|1MLV|1ASPD|1SELL	1LIT|29VULN|3ASPD|4SELL|5FLTARM|6RCR|78DMG|aMLV
35	62122 32226	   	292.82	DCR|2LIT|4VULN|1MLV|1ASPD	13LIT|2369VULN|3BPWR|4DUST|5CANARM|7ASPD|8MLV|aRCR
