0	Index      	 *	Score 	Summary	Detail	
1	51333 13641	 * 	316.14	DCR|2LIT|4VULN|2MLV	189aVULN|2CGEN|3MBVNT|4BELT|58MLV|68LIT|7RCR|8BPWR
2	51333 13635	 * 	310.23	DCR|3LIT|2MLV|2VULN|1DMG	18VULN|2CGEN|3MBVNT|4BELT|58MLV|689LIT|7RCR|8BPWR|aDMG
3	51333 13644	   	303.60	DCR|2LIT|2MLV|3VULN|1AART	189VULN|2CGEN|3MBVNT|4BELT|58MLV|68LIT|7RCR|8BPWR|aAART
4	51333 13673	   	294.69	DCR|2LIT|2MLV|2VULN|1DMG	18VULN|2CGEN|3MBVNT|4BELT|58MLV|68LIT|7RCR|8BPWR|9ZMB|aDMG
5	24636 12333	   	290.97	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	17FEWX|247LIT|3DMG|5CDMG|67VULN|7BPWR|8BELT|9RCR|aMLV
6	34636 12333	   	290.97	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	17BEXP|247LIT|3DMG|5CDMG|67VULN|7BPWR|8BELT|9RCR|aMLV
7	24616 12131	 * 	289.47	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	17FEWX|27LIT|34DMG|5CDMG|67VULN|7BPWR|8MLV|9BELT|aRCR
8	34616 12131	   	289.47	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	17BEXP|27LIT|34DMG|5CDMG|67VULN|7BPWR|8MLV|9BELT|aRCR
9	61112 42321	   	289.45	DCR|2LIT|2VULN|2DMG|1MLV|2ZMB	1aLIT|29ZMB|3MLV|4TSLARM|59VULN|6DUR|79DMG|8RCR|9BPWR
10	61151 22321	   	289.45	DCR|2LIT|2VULN|2DMG|1MLV|2ZMB	1aLIT|29ZMB|3MLV|4DUST|59VULN|6BLASTR|79DMG|8RCR|9BPWR
11	51333 13621	   	287.40	DCR|2LIT|2MLV|3VULN	18aVULN|2CGEN|3MBVNT|4BELT|58MLV|68LIT|7RCR|8BPWR|9RCVC
12	51333 13642	   	287.40	DCR|2LIT|2MLV|3VULN	189VULN|2aCGEN|3MBVNT|4BELT|58MLV|68LIT|7RCR|8BPWR
13	51333 13646	   	287.40	DCR|2LIT|2MLV|3VULN	189VULN|2CGEN|3MBVNT|4BELT|58MLV|68LIT|7RCR|8BPWR|aLWND
14	51333 13643	   	287.25	DCR|2LIT|2MLV|3VULN	189VULN|2CGEN|3MBVNT|4BELT|58MLV|68LIT|7RCR|8BPWR|aSPLARM
15	51333 13645	   	287.25	DCR|2LIT|2MLV|3VULN	189VULN|2CGEN|3MBVNT|4BELT|58MLV|68LIT|7RCR|8BPWR|aERES
