0	Index      	 *	Score 	Summary	Detail	
1	65363 42222	 * 	271.88	DCR|3LIT|2MLV|2VULN	17BEXP|27VULN|3DUST|4MBVNT|589LIT|67MLV|7BPWR|aRCR
2	43112 12524	   	265.75	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|27LIT|3LHND|4aVULN|5CDMG|6RCR|8ZMB|9MLV
3	43212 12524	   	265.75	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|27LIT|3BEXP|4aVULN|5CDMG|6RCR|8ZMB|9MLV
4	43312 12524	   	265.75	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|27LIT|3LWND|4aVULN|5CDMG|6RCR|8ZMB|9MLV
5	41312 12524	   	265.65	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|2aVULN|3DUST|47LIT|5CDMG|6RCR|8ZMB|9MLV
6	63112 33334	 * 	262.95	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1BEXP|2ASPD|3ZMB|4LHND|5DMG|6RCR|7LIT|89VULN|aMLV
7	23112 33362	 * 	259.51	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1DUST|2ASPD|3ZMB|4LHND|5DMG|6RCR|79LIT|8MLV|aVULN
8	62116 41213	 * 	258.96	DCR|3LIT|1VULN|1MLV|2ASPD	17BEXP|2FEWX|3RMIN|457LIT|67ASPD|7BPWR|8RCR|9MLV|aVULN
9	22116 41213	   	258.76	DCR|3LIT|1VULN|1MLV|2ASPD	17DUST|2FEWX|3RMIN|457LIT|67ASPD|7BPWR|8RCR|9MLV|aVULN
10	24116 41213	   	258.76	DCR|3LIT|1VULN|1MLV|2ASPD	17DUST|2BEXP|3RMIN|457LIT|67ASPD|7BPWR|8RCR|9MLV|aVULN
11	22433 61622	   	258.71	DCR|2LIT|1VULN|1MLV|2ASPD|1CDMG|1DUR	1DUST|29FEWX|3CDMG|4DUR|59LIT|6RCR|7MLV|89ASPD|9BPWR|aVULN
12	52213 63331	 * 	256.55	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG	1AART|2CDMG|35ASPD|45BASHEA|5BPWR|6LIT|7MLV|8aVULN|9RCR
13	62112 15311	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BEXP|2FEWX|3RMIN|4LIT|5CDMG|6RCR|7DMG|8MLV|9aVULN
14	22413 62532	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DUST|24FEWX|3CDMG|5LIT|6RCR|7aVULN|8MLV|9DMG
15	24112 15311	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DUST|2BEXP|3RMIN|4LIT|5CDMG|6RCR|7DMG|8MLV|9aVULN
16	22334 62532	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	13DUST|2FEWX|4LIT|5CDMG|6RCR|7aVULN|8MLV|9DMG
