0	Index      	 *	Score 	Summary	Detail	
1	26531 13234	 * 	323.57	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD|1AART	18LIT|2CGEN|38DMG|49ASPD|5MLV|68VULN|7RCR|8BPWR|aAART
2	26531 13226	 * 	317.01	DCR|2LIT|3VULN|2DMG|1MLV|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68aVULN|7RCR|8BPWR|9AART
3	22231 53226	 * 	314.36	DCR|3LIT|2MLV|2VULN|1CDMG|1ASPD	138LIT|28VULN|4ASPD|5aMLV|68LWND|7RCR|8BPWR|9CDMG
4	22231 33226	   	314.06	DCR|3LIT|2MLV|2VULN|2DUR|1CDMG|1ASPD	138LIT|28VULN|4ASPD|5aMLV|68DUR|7RCR|8BPWR|9CDMG
5	24236 13226	   	314.06	DCR|3LIT|2MLV|2VULN|2DUR|1CDMG|1ASPD	138LIT|28DUR|4ASPD|5aMLV|68VULN|7RCR|8BPWR|9CDMG
6	22532 23226	 * 	312.30	DCR|3LIT|3VULN|1MLV|1CDMG|1ASPD	178LIT|278VULN|3LWND|4ASPD|578CGEN|6RCR|78BPWR|9CDMG|aMLV
7	26531 13222	 * 	312.16	DCR|3LIT|2VULN|2DMG|1MLV|1ASPD	18aLIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9AART
8	22222 63226	   	312.16	DCR|3LIT|2VULN|2DMG|1MLV|1CDMG	138LIT|28VULN|4LWND|5CGEN|68DMG|7RCR|8BPWR|9CDMG|aMLV
9	22252 33226	   	312.06	DCR|3LIT|2VULN|2DMG|1MLV|1CDMG	138LIT|28VULN|4DUR|5CGEN|68DMG|7RCR|8BPWR|9CDMG|aMLV
10	26531 13262	   	311.12	DCR|2LIT|2VULN|2DMG|1MLV|1AART|1ASPD	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9FEWX|aAART
11	22231 23222	   	310.30	DCR|3LIT|3VULN|1MLV|1CDMG|1ASPD	138LIT|28aVULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|9CDMG
12	22231 53222	   	310.30	DCR|3LIT|3VULN|1MLV|1CDMG|1ASPD	138LIT|28aVULN|4ASPD|5MLV|68LWND|7RCR|8BPWR|9CDMG
13	22231 33222	   	310.10	DCR|3LIT|3VULN|1MLV|2DUR|1CDMG|1ASPD	138LIT|28aVULN|4ASPD|5MLV|68DUR|7RCR|8BPWR|9CDMG
14	22231 43222	   	310.10	DCR|3LIT|3VULN|1MLV|1CDMG|1ASPD	138LIT|28aVULN|4ASPD|5MLV|68DUST|7RCR|8BPWR|9CDMG
15	24236 13222	   	310.10	DCR|3LIT|3VULN|1MLV|2DUR|1CDMG|1ASPD	138LIT|28DUR|4ASPD|5MLV|68aVULN|7RCR|8BPWR|9CDMG
16	26531 13252	   	308.42	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD|1CDMG	18LIT|2CGEN|38DMG|4ASPD|5MLV|68VULN|7RCR|8BPWR|9CANSTR|aCDMG
17	26531 13231	   	307.32	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	18LIT|2CGEN|38DMG|49ASPD|5MLV|68VULN|7RCR|8BPWR|aBELT
18	26531 13233	   	307.32	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	18LIT|2CGEN|38DMG|49ASPD|5MLV|68VULN|7RCR|8BPWR|aRMIN
19	26531 13235	   	307.32	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	18LIT|2CGEN|38DMG|49ASPD|5MLV|68VULN|7RCR|8BPWR|aLHND
20	26531 13236	   	307.22	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	18LIT|2CGEN|38DMG|49ASPD|5MLV|68VULN|7RCR|8BPWR|aDUR
21	22231 23223	   	304.41	DCR|3LIT|2VULN|1MLV|1AART|1CDMG|1ASPD	138LIT|28VULN|4ASPD|5MLV|68FEWX|7RCR|8BPWR|9CDMG|aAART
