0	Index      	 *	Score 	Summary	Detail	
1	14231 26236	 * 	268.55	DCR|DCR|1VULN|2DUR|1TLV|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|6DUST|78RCR|9VULN|aTLV
2	13241 61236	 * 	256.20	DCR|DCR|1VULN|1TLV|1DUR|1AART|1SELL	1RCVC|24FEWX|3SELL|5AART|68RCR|7DUR|9VULN|aTLV
3	43231 61236	 * 	256.10	DCR|DCR|1VULN|1TLV|1DUR|1AART|1SELL	1RMIN|2CGEN|3SELL|4AEBURN|5AART|68RCR|7DUR|9VULN|aTLV
4	11333 52652	 * 	249.63	DCR|DCR|1VULN|1TLV|1AART	1RCVC|2FRZFST|3AART|4TLV|5RPLT|69RCR|7VULN|8ASPD|aFEWX
5	11333 52651	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1RCVC|2FRZFST|3AART|4TLV|5RPLT|69RCR|7VULN|8ASPD|aAEBURN
6	11333 52653	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1RCVC|2FRZFST|3AART|4TLV|5RPLT|69RCR|7VULN|8ASPD|aAME
7	22241 61231	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	14FEWX|2CDMG|3AEFBLL|5AART|68RCR|7DUR|9VULN|aCGEN
8	22241 61232	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	14FEWX|2CDMG|3AEFBLL|5AART|68RCR|7DUR|9VULN|aZMB
9	22241 61235	   	243.79	DCR|DCR|1VULN|1DUR|1AART|1CDMG	14FEWX|2CDMG|3AEFBLL|5AART|68RCR|7DUR|9VULN|aBEXP
10	22241 61233	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	14FEWX|2CDMG|3AEFBLL|5AART|68RCR|7DUR|9VULN|aAETHUN
11	22241 61234	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG|1SELL	14FEWX|2CDMG|3AEFBLL|5AART|68RCR|7DUR|9VULN|aSELL
12	22241 61236	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	14FEWX|2CDMG|3AEFBLL|5AART|68RCR|7DUR|9VULN|aAEPOI
13	22241 61262	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	14FEWX|2CDMG|3AEFBLL|5AART|68RCR|7DUR|9TBNT|aVULN
14	31123 31415	 * 	242.69	DCR|DCR|2VULN|1CDMG|1AAC	1RAT|2RPLT|38VULN|4RCVC|5AAC|6FLTFST|7CDMG|9aRCR
15	14231 66231	 * 	242.45	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|68RCR|7LHND|9VULN|aCGEN
16	14231 66232	 * 	242.45	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|68RCR|7LHND|9VULN|aZMB
17	13241 26236	   	242.45	DCR|DCR|1VULN|1TLV|1AART|1SELL	1RCVC|24FEWX|3SELL|5AART|6DUST|78RCR|9VULN|aTLV
18	13223 66236	   	242.35	DCR|DCR|1VULN|1TLV|1AART|1SELL	1RCVC|2FEWX|3SELL|4AART|56DUST|78RCR|9VULN|aTLV
19	14231 26231	 * 	242.35	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|6DUST|78RCR|9VULN|aCGEN
20	14231 26232	 * 	242.35	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|6DUST|78RCR|9VULN|aZMB
21	14231 26235	 * 	242.35	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|6DUST|78RCR|9VULN|aLWND
22	14231 66233	 * 	242.35	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|68RCR|7LHND|9VULN|aAETHUN
23	43231 26236	   	242.35	DCR|DCR|1VULN|1TLV|1AART|1SELL	1RMIN|2CGEN|3SELL|4AEBURN|5AART|6DUST|78RCR|9VULN|aTLV
24	14231 26215	 * 	242.25	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|6DUST|78RCR|9SPLREG|aVULN
25	14231 26233	 * 	242.25	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|6DUST|78RCR|9VULN|aAETHUN
26	14231 26234	 * 	242.25	DCR|DCR|1VULN|2DUR|1AART|2SELL	1RCVC|24DUR|3aSELL|5AART|6DUST|78RCR|9VULN
27	14231 26262	 * 	242.25	DCR|DCR|1VULN|2DUR|1AART|1SELL	1RCVC|24DUR|3SELL|5AART|6DUST|78RCR|9TBNT|aVULN
28	22425 31351	   	239.13	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2CDMG|3RPLT|4ASPD|5VULN|6BELT|79RCR|8MLV|aLWND
29	22425 31353	   	239.13	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2CDMG|3RPLT|4ASPD|5VULN|6BELT|79RCR|8MLV|aBEXP
30	22425 31352	   	239.03	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2CDMG|3RPLT|4ASPD|5VULN|6BELT|79RCR|8MLV|aERES
