0	Index      	 *	Score 	Summary	Detail	
1	33342 53213	 * 	283.17	ACR|DCR|3VULN|1FLTARM|1TLV|1AART|1SELL	1LHND|2SELL|39RCR|4FLTARM|57aVULN|6AART|8TLV
2	33341 21213	 * 	272.57	ACR|DCR|3VULN|1FLTARM|1MLV|1AART|1SELL	1LHND|2SELL|39RCR|4FLTARM|5MLV|67aVULN|8AART
3	33342 11213	 * 	272.57	ACR|DCR|3VULN|1FLTARM|1MLV|1AART|1SELL	1LHND|2SELL|39RCR|4FLTARM|57aVULN|6MLV|8AART
4	31121 16424	 * 	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1LHND|2CGEN|3TLV|4MDPS|5CDMG|6DUR|7VULN|8MLV|9aRCR
5	22631 33524	 * 	264.63	DCR|DCR|3VULN|1CDMG	1AEPOI|2CGEN|3MDPS|468VULN|5CDMG|7BBNT|9aRCR
6	23631 33524	   	264.53	DCR|DCR|3VULN|1CDMG	1AEPOI|2ERES|3MDPS|468VULN|5CDMG|7BBNT|9aRCR
7	33342 53212	 * 	261.03	ACR|DCR|2VULN|1FLTARM|1TLV|1AART|1SELL	1LHND|2SELL|39RCR|4FLTARM|57VULN|6AART|8TLV|aBOSS
8	33342 53216	 * 	261.03	ACR|DCR|2VULN|1FLTARM|1TLV|1AART|1SELL	1aLHND|2SELL|39RCR|4FLTARM|57VULN|6AART|8TLV
9	33342 53211	 * 	260.93	ACR|DCR|2VULN|1FLTARM|1TLV|1AART|1SELL	1LHND|2SELL|39RCR|4FLTARM|57VULN|6AART|8TLV|aAEFRZ
10	33342 53214	 * 	260.93	ACR|DCR|2VULN|1FLTARM|1TLV|1AART|1SELL	1LHND|2SELL|39RCR|4FLTARM|57VULN|6AART|8TLV|aAEFBLL
11	33342 53215	 * 	260.93	ACR|DCR|2VULN|1FLTARM|1TLV|1AART|1SELL	1LHND|2SELL|39RCR|4FLTARM|57VULN|6AART|8TLV|aDUST
12	33132 51424	   	258.25	DCR|DCR|2VULN|1MLV|1DUR|1SELL	17LHND|2SELL|3DUR|4MDPS|57VULN|67BEXP|7BPWR|8MLV|9aRCR
13	33345 21213	 * 	256.97	ACR|DCR|3VULN|1FLTARM|1AART|1SELL	1LHND|2SELL|39RCR|4FLTARM|5CGEN|67aVULN|8AART
14	33352 53213	 * 	256.87	ACR|DCR|3VULN|1TLV|1AART|1SELL	1LHND|2SELL|39RCR|4CANARM|57aVULN|6AART|8TLV
15	25221 15124	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1AEPOI|24LHND|3TBNT|5CDMG|6DUR|7TLV|8VULN|9aRCR
16	26211 15124	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1AEPOI|24LWND|3TBNT|5CDMG|6DUR|7TLV|8VULN|9aRCR
17	31121 14124	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1LHND|2CGEN|3TLV|4MDPS|5CDMG|6DUR|7AME|8VULN|9aRCR
18	31123 64124	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1LHND|2CGEN|3TLV|4MDPS|5DUR|6CDMG|7AME|8VULN|9aRCR
19	21261 15124	   	256.04	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	14AEPOI|24DUST|3TBNT|4BPWR|5CDMG|6DUR|7TLV|8VULN|9aRCR
20	33625 21224	 * 	255.00	DCR|DCR|2VULN|1TLV|1SELL	13LHND|2SELL|46VULN|5TBNT|7LWND|8TLV|9aRCR
21	33222 23524	 * 	254.90	DCR|DCR|2VULN|1TLV|1SELL	16LHND|2SELL|38VULN|4DUST|5TLV|7BBNT|9aRCR
22	33222 33524	 * 	254.90	DCR|DCR|2VULN|1TLV|1SELL	1LHND|2SELL|38VULN|4DUST|5TLV|6RCVC|7BBNT|9aRCR
23	21231 32524	 * 	254.80	DCR|DCR|2VULN|1TLV|1SELL	1AEPOI|2DUST|3TBNT|4TLV|5SELL|68VULN|7BEXP|9aRCR
24	21231 34324	 * 	254.80	DCR|DCR|2VULN|1TLV|1SELL	1AEPOI|2DUST|3TBNT|4TLV|5SELL|68VULN|7LWND|9aRCR
