0	Index      	 *	Score 	Summary	Detail	
1	31621 31262	 * 	270.64	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5DMG|6RAT|7TLV|9MLV
2	33465 11333	 * 	264.43	DCR|3VULN|2DMG|1TLV|1DUR|1AART	15aVULN|2DUR|3aDMG|4AART|6TLV|7ASPD|8aRAT|9RCR|aBPWR
3	31432 11534	 * 	259.39	DCR|3VULN|3DMG|1TLV|2ASPD|1AAC	149VULN|2AETHUN|349DMG|49BPWR|5RCVC|69ASPD|7RCR|8AAC|aTLV
4	33112 11245	 * 	256.89	DCR|3VULN|3DUR|1TLV|1DMG	139VULN|238DUR|3BPWR|4AEPOI|5DMG|6ASPD|7RCR|aTLV
5	31521 52262	   	256.89	ACR|DCR|2VULN|1TLV|1DMG|1MLV	18VULN|2AETHUN|3DUST|4aRCR|5DMG|6MLV|7RAT|9TLV
6	43124 26131	 * 	256.44	DCR|DCR|1VULN|1TLV|1DUR|1AART	15FEWX|2AART|3RCVC|4TLV|6MGNSTR|7DUR|8VULN|9aRCR
7	43224 26131	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1AART	15FEWX|2AART|3DMSP|4TLV|6MGNSTR|7DUR|8VULN|9aRCR
8	53321 34316	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1LIT|2VULN|3CDMG|4LWND|5LHND|69RCR|7DUR|8BEXP|aTLV
9	43324 26131	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	15FEWX|2AART|3AEPOI|4TLV|6MGNSTR|7DUR|8VULN|9aRCR
10	23563 22531	 * 	255.04	DCR|DCR|1VULN|2AART|1FLTARM	1RMIN|2VULN|3DUST|48AART|5FLTARM|6BEXP|7AEWIND|9aRCR
11	23563 23531	   	255.04	DCR|DCR|1VULN|2AART|1FLTARM	1RMIN|2VULN|37DUST|48AART|5FLTARM|6BEXP|9aRCR
12	31621 31252	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5DMG|6RAT|7TLV|9CGEN
13	33163 11162	 * 	254.98	DCR|4VULN|2TLV|2DUR	135aVULN|23DUR|3aBPWR|4aERES|6ASPD|7RCR|8LHND|9aTLV
14	33163 11662	   	254.98	DCR|4VULN|2TLV|2DUR	135aVULN|23DUR|3aBPWR|4aERES|6ASPD|7RCR|8FEWX|9aTLV
15	32352 26235	 * 	254.90	DCR|DCR|2VULN|1TLV|1AART|1AAC|1SELL	17VULN|2ERES|3AART|4TLV|5SELL|6aRCR|8BELT|9AAC
16	31621 31462	 * 	254.77	ACR|DCR|2TLV|1VULN|1DMG|1MLV|1DUR	1VULN|2AETHUN|3DUR|4aRCR|5DMG|6RAT|78TLV|9MLV
17	23642 11262	 * 	254.58	DCR|2VULN|2DMG|2TLV|1MLV|1DUR	1RMIN|2aVULN|3RCVC|4MLV|5aDMG|6ASPD|7RCR|8DUR|9aTLV|aBPWR
18	31432 11331	 * 	254.07	DCR|3VULN|2DMG|2TLV|2ASPD	149VULN|2AETHUN|34DMG|49BPWR|5RCVC|69ASPD|7RCR|89TLV|aCGEN
19	31432 11333	   	254.07	DCR|3VULN|2DMG|2TLV|2ASPD	149VULN|2AETHUN|34DMG|49BPWR|5RCVC|69ASPD|7RCR|89TLV|aLHND
20	31432 11335	   	254.07	DCR|3VULN|2DMG|2TLV|2ASPD	149VULN|2AETHUN|34DMG|49BPWR|5RCVC|69ASPD|7RCR|89TLV|aRAT
21	31432 11336	   	254.07	DCR|3VULN|2DMG|2TLV|2ASPD	149VULN|2AETHUN|34DMG|49BPWR|5RCVC|69ASPD|7RCR|89TLV|aBEXP
22	31432 11332	   	253.97	DCR|3VULN|2DMG|2TLV|2ASPD	149VULN|2AETHUN|34DMG|49BPWR|5RCVC|69ASPD|7RCR|89TLV|aBBNT
23	31432 11334	   	253.97	DCR|3VULN|2DMG|2TLV|2ASPD	149VULN|2AETHUN|34DMG|49BPWR|5RCVC|69ASPD|7RCR|89TLV|aERES
24	33465 21333	   	253.83	DCR|3VULN|2DMG|1MLV|1DUR|1AART	15aVULN|2DUR|3aDMG|4AART|6MLV|7ASPD|8aRAT|9RCR|aBPWR
25	31434 12316	   	250.76	DCR|2VULN|2DMG|1TLV|1MLV|1DUR|1AART	14VULN|2AETHUN|34DMG|4BPWR|5MLV|6TLV|7DUR|8LIT|9RCR|aAART
26	23254 32134	 * 	249.10	DCR|DCR|2VULN|1DMG	1RMIN|24VULN|3RAT|5RCVC|6AEFBLL|7DMG|8aRCR|9VENTOX
27	23251 32134	   	249.00	DCR|DCR|2VULN|1DMG	1RMIN|24VULN|3RAT|5AEWIND|6AEFBLL|7DMG|8aRCR|9VENTOX
28	32254 32134	   	248.90	DCR|DCR|2VULN|1DMG	14VULN|2ERES|3RAT|5RCVC|6AEFBLL|7DMG|8aRCR|9SPLARM
29	31262 14353	 * 	248.90	DCR|DCR|1VULN|1FLTARM|1DMG	1VULN|2AETHUN|3VENFST|4FLTARM|5DMG|6AME|79RCR|8LIT|aBEXP
30	31262 14351	   	248.80	DCR|DCR|1VULN|1FLTARM|1DMG	1VULN|2AETHUN|3VENFST|4FLTARM|5DMG|6AME|79RCR|8LIT|aSPLJET
31	31262 14352	   	248.80	DCR|DCR|1VULN|1FLTARM|1DMG	1VULN|2AETHUN|3VENFST|4FLTARM|5DMG|6AME|79RCR|8LIT|aMBVNT
32	33523 23431	 * 	248.52	ACR|DCR|2VULN|1FLTARM|1DUR|1AART	19VULN|2DUR|3DUST|4aRCR|5DMSP|6AART|7ERES|8FLTARM
33	33163 11335	 * 	246.68	DCR|5VULN|3DUR	1359aVULN|239DUR|39BPWR|4ERES|6ASPD|7RCR|89AME
34	16621 35232	 * 	246.52	ACR|DCR|2VULN|2DMG|1DUR	1LHND|29VULN|3DUR|4aRCR|58DMG|6RAT|7LWND
35	33112 11215	   	246.29	DCR|3VULN|3DUR|1DMG|1MLV	13aVULN|238DUR|3BPWR|4AEPOI|5DMG|6ASPD|7RCR|9MLV
36	31432 21534	   	245.84	DCR|3VULN|3DMG|1TLV|1AAC	149VULN|2AETHUN|349DMG|49BPWR|5RCVC|69CGEN|7RCR|8AAC|aTLV
37	31433 33123	   	245.64	DCR|3VULN|3DMG|1TLV	14aVULN|2AETHUN|34aDMG|4aBPWR|5RAT|6RCVC|7TLV|8aDUST|9RCR
38	33163 11415	   	245.39	DCR|4VULN|3DUR|1MLV	135aVULN|238DUR|3BPWR|4ERES|6ASPD|7RCR|9MLV
39	13133 11531	 * 	244.56	ACR|DCR|3VULN|1DUR|1AART	1LHND|2DUR|3LSRHEA|4aRCR|569VULN|7AART|8CGEN
40	13133 11431	   	244.46	ACR|DCR|3VULN|1DUR|1AART	1LHND|2DUR|3LSRHEA|4aRCR|569VULN|7AART|8ERES
41	31621 33252	   	244.44	ACR|DCR|2VULN|1DMG|1MLV|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5DMG|6RAT|7MLV|9CGEN
42	31621 52252	   	244.44	ACR|DCR|2VULN|1DMG|1MLV|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5DMG|6MLV|7RAT|9CGEN
43	31621 31562	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1VULN|2AETHUN|3DUR|4aRCR|5DMG|68RAT|7TLV|9MLV
44	31621 33432	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1VULN|2AETHUN|3DUR|4aRCR|5DMG|6RAT|7MLV|8TLV|9DMSP
45	31621 52432	   	244.44	ACR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1VULN|2AETHUN|3DUR|4aRCR|5DMG|6MLV|7RAT|8TLV|9DMSP
46	33112 11241	   	244.34	DCR|3VULN|3DUR|1DMG|1AART	139VULN|238DUR|3BPWR|4AEPOI|5DMG|6ASPD|7RCR|aAART
47	31621 33262	   	244.34	ACR|DCR|2VULN|1DMG|1MLV|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5DMG|6RAT|7MLV|9AME
48	31621 52262	   	244.34	ACR|DCR|2VULN|1DMG|1MLV|1DUR	18VULN|2AETHUN|3DUR|4aRCR|5DMG|6MLV|7RAT|9AME
49	31432 11261	   	244.04	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	14VULN|2AETHUN|34DMG|4BPWR|5RCVC|6ASPD|7RCR|8DUR|9TLV|aMLV
50	33163 11441	   	243.44	DCR|4VULN|3DUR|1AART	1359VULN|238DUR|3BPWR|4ERES|6ASPD|7RCR|aAART
