0	Index      	 *	Score 	Summary	Detail	
1	21216 32434	 * 	288.25	ACR|DCR|3VULN|2DMG|2DUR	1aDMG|25aVULN|3RMIN|48RCR|6ASPD|7CGEN|9aDUR|aBPWR
2	21216 33434	   	288.15	ACR|DCR|3VULN|2DMG|2DUR	1aDMG|25aVULN|3RMIN|48RCR|6ASPD|7AME|9aDUR|aBPWR
3	21126 34413	 * 	287.38	DCR|DCR|2VULN|2DMG|1AAC	13DMG|23VULN|3BPWR|4LHND|5ZMB|68RCR|7AEFRZ|9ASPD|aAAC
4	21136 34413	   	287.38	DCR|DCR|2VULN|2DMG|1AAC	13DMG|23VULN|3BPWR|4BEXP|5ZMB|68RCR|7AEFRZ|9ASPD|aAAC
5	21126 34421	 * 	282.35	DCR|DCR|2VULN|3DMG	13aDMG|23VULN|3BPWR|4LHND|5ZMB|68RCR|7AEFRZ|9LSRICY
6	21136 34421	   	282.35	DCR|DCR|2VULN|3DMG	13aDMG|23VULN|3BPWR|4BEXP|5ZMB|68RCR|7AEFRZ|9LSRICY
7	21126 34411	   	273.73	DCR|DCR|2VULN|2DMG	13DMG|23VULN|3BPWR|4LHND|5ZMB|68RCR|7AEFRZ|9ASPD|aBOSS
8	21126 34412	   	273.73	DCR|DCR|2VULN|2DMG	13DMG|23VULN|3BPWR|4LHND|5ZMB|68RCR|7AEFRZ|9ASPD|aFRZICY
9	21136 34411	   	273.73	DCR|DCR|2VULN|2DMG	13DMG|23VULN|3BPWR|4BEXP|5ZMB|68RCR|7AEFRZ|9ASPD|aBOSS
10	21136 34412	   	273.73	DCR|DCR|2VULN|2DMG	13DMG|23VULN|3BPWR|4BEXP|5ZMB|68RCR|7AEFRZ|9ASPD|aFRZICY
11	21512 34411	 * 	270.54	ACR|DCR|2VULN|1TLV|1DMG|1MLV|2ASPD	1DMG|2aVULN|39ASPD|48RCR|5TLV|6MLV|7AEFRZ
12	21431 34413	   	269.69	DCR|DCR|2VULN|1DMG|1AAC	1DMG|24VULN|3ZMB|5BEXP|68RCR|7AEFRZ|9ASPD|aAAC
13	21256 33421	   	266.99	DCR|DCR|2VULN|2DMG	19DMG|2aVULN|3RMIN|479CGEN|59ZMB|68RCR|9BPWR
14	21112 56125	 * 	266.80	DCR|4VULN|3DMG|2MLV	13aDMG|236aVULN|3aBPWR|4RPLT|5ZMB|7RCR|8FEWX|9aMLV
15	21126 34423	   	266.69	DCR|DCR|2VULN|2DMG	13DMG|23VULN|3BPWR|4LHND|5ZMB|68RCR|7AEFRZ|9LSRICY|aFEWX
16	21136 34423	   	266.69	DCR|DCR|2VULN|2DMG	13DMG|23VULN|3BPWR|4BEXP|5ZMB|68RCR|7AEFRZ|9LSRICY|aFEWX
17	21126 34422	   	266.59	DCR|DCR|2VULN|2DMG	13DMG|23VULN|3BPWR|4LHND|5ZMB|68RCR|7AEFRZ|9LSRICY|aERES
18	21126 34431	   	266.59	DCR|DCR|2VULN|2DMG|1MSE	13DMG|23VULN|3BPWR|4LHND|5ZMB|68RCR|7AEFRZ|9MSE|aBBNT
19	21126 34432	   	266.59	DCR|DCR|2VULN|2DMG|1MLV|1MSE	13DMG|23VULN|3BPWR|4LHND|5ZMB|68RCR|7AEFRZ|9MSE|aMLV
