0	Index      	 *	Score 	Summary	Detail	
1	22163 15612	 * 	280.24	DCR|DCR|2VULN|2DMG|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7aVULN|9ERES
2	22133 15652	   	262.75	DCR|DCR|2VULN|1DMG|1CDMG	1DUST|24LIT|3DMG|5CDMG|68RCR|7aVULN|9RPLT
3	22133 15662	   	262.75	DCR|DCR|2VULN|1DMG|1CDMG	1DUST|24LIT|3DMG|5CDMG|68RCR|7aVULN|9ZMB
4	22133 14652	 * 	262.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1DUST|24LIT|3DMG|5CDMG|68RCR|7LWND|9TLV|aVULN
5	22133 15612	   	262.65	DCR|DCR|2VULN|1DMG|1CDMG	1DUST|24LIT|3DMG|5CDMG|68RCR|7aVULN|9ERES
6	23363 15612	   	262.55	DCR|DCR|2VULN|1DMG|1CDMG	13DUST|2DMG|4LIT|5CDMG|68RCR|7aVULN|9ERES
7	53112 12352	 * 	255.14	DCR|DCR|2VULN|2DUR	1aAME|2aDUR|39VULN|4BELT|5BLASTR|6aCGEN|78RCR|aBPWR
8	22163 13652	   	254.14	DCR|DCR|2DMG|1VULN|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7BEXP|9RPLT|aVULN
9	22163 13614	   	254.04	DCR|DCR|2DMG|1VULN|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7BEXP|9ERES|aVULN
10	22163 14612	   	254.04	DCR|DCR|2DMG|1VULN|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7LWND|9ERES|aVULN
11	22163 15611	   	254.04	DCR|DCR|2DMG|1VULN|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7VULN|9ERES|aBEXP
12	22163 15613	   	254.04	DCR|DCR|2DMG|1VULN|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7VULN|9ERES|aZMB
13	22163 15623	   	254.04	DCR|DCR|2DMG|1VULN|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7VULN|9AEBURN|aLWND
14	22163 15621	   	253.94	DCR|DCR|2DMG|1VULN|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7VULN|9AEBURN|aAETHUN
15	22163 15622	   	253.94	DCR|DCR|2DMG|1VULN|1CDMG	1DUST|2LIT|34DMG|5CDMG|68RCR|7VULN|9AEBURN|aLEGI
16	22163 15631	   	253.94	DCR|DCR|2DMG|1VULN|1CDMG|1MSE	1aDUST|2LIT|34DMG|5CDMG|68RCR|7VULN|9MSE
17	22163 15632	   	253.94	DCR|DCR|2DMG|1VULN|1CDMG|1MSE	1DUST|2LIT|34DMG|5CDMG|68RCR|7VULN|9MSE|aRCVC
18	22163 15633	   	253.94	DCR|DCR|2DMG|1VULN|1CDMG|1MSE	1DUST|2LIT|34DMG|5CDMG|68RCR|7VULN|9MSE|aDLOT
