0	Index      	 *	Score 	Summary	Detail	
1	21332 13461	 * 	324.48	DCR|DCR|2VULN|1TLV|2ASPD|1AAC	1LWND|25ASPD|35VULN|4AAC|5BPWR|6aRCR|7FEWX|8RMIN|9TLV
2	21332 31341	 * 	318.49	DCR|DCR|2VULN|2ASPD|1MLV|1AAC	1LWND|25ASPD|35VULN|4AAC|5BPWR|6RMIN|7MLV|8aRCR|9LEGI
3	21243 14161	 * 	316.23	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1ASPD	16LWND|2ASPD|3DUR|4MLV|5VULN|7aRCR|8AAC|9TLV
4	21332 14341	 * 	315.75	DCR|DCR|3VULN|2ASPD|1AAC	1LWND|25ASPD|357VULN|4AAC|5BPWR|6aRCR|8DUST|9LHND
5	21212 24161	   	311.16	DCR|DCR|1VULN|1TLV|2ASPD|1AAC|2DUR	1LWND|24ASPD|34DUR|4BPWR|5VULN|6ERES|7aRCR|8AAC|9TLV
6	21333 13461	   	309.80	DCR|DCR|2VULN|1TLV|1AAC|1ASPD	1LWND|2ASPD|35VULN|4AAC|6aRCR|7FEWX|8RMIN|9TLV
7	21345 24121	   	307.82	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1ASPD	1LWND|2ASPD|3VULN|4MLV|5TLV|6ERES|7aRCR|8AAC|9CGEN
8	21332 13141	 * 	307.49	DCR|DCR|2VULN|2AAC|2ASPD	1LWND|25ASPD|35VULN|48AAC|5BPWR|6aRCR|7FEWX|9LHND
9	13233 14551	   	305.55	DCR|DCR|2VULN|1TLV|1CDMG	1RCVC|2CDMG|3TLV|4RPLT|5DUR|69RCR|7aVULN|8RAT
10	21335 24331	 * 	305.03	DCR|DCR|1VULN|2AAC|1TLV|1ASPD	1LWND|2ASPD|3VULN|49AAC|5TLV|6ERES|7aRCR|8DUR
11	21335 24361	 * 	304.10	DCR|DCR|2TLV|1VULN|1AAC|1ASPD	1LWND|2ASPD|3VULN|4AAC|59TLV|6ERES|7aRCR|8DUR
12	21333 31341	   	303.81	DCR|DCR|2VULN|1MLV|1AAC|1ASPD	1LWND|2ASPD|35VULN|4AAC|6RMIN|7MLV|8aRCR|9LEGI
13	21333 14341	   	301.07	DCR|DCR|3VULN|1AAC|1ASPD	1LWND|2ASPD|357VULN|4AAC|6aRCR|8DUST|9LHND
14	13233 14161	   	298.61	DCR|DCR|2VULN|1TLV|1CDMG	1RCVC|2CDMG|3TLV|4RPLT|5DUR|68RCR|7aVULN|9LHND
15	53233 14161	   	298.61	DCR|DCR|2VULN|1TLV|1CDMG	1DMSP|2CDMG|3TLV|4RPLT|5DUR|68RCR|7aVULN|9LHND
16	13232 14151	   	298.51	DCR|DCR|2VULN|1TLV|1CDMG	1RCVC|2CDMG|3TLV|4RPLT|5BEXP|68RCR|7aVULN|9DUR
17	13233 14141	   	298.51	DCR|DCR|2VULN|1TLV|1CDMG	1RCVC|2CDMG|3TLV|4RPLT|5DUR|68RCR|7aVULN|9BEXP
18	53232 14151	   	298.51	DCR|DCR|2VULN|1TLV|1CDMG	1DMSP|2CDMG|3TLV|4RPLT|5BEXP|68RCR|7aVULN|9DUR
19	53233 14141	   	298.51	DCR|DCR|2VULN|1TLV|1CDMG	1DMSP|2CDMG|3TLV|4RPLT|5DUR|68RCR|7aVULN|9BEXP
20	42325 43113	   	298.51	DCR|DCR|2VULN|1TLV|1CDMG	18VULN|2DUR|3FEWX|4CDMG|5DUST|6LHND|7TLV|9aRCR
21	42325 53113	   	298.51	DCR|DCR|2VULN|1TLV|1CDMG	18VULN|2DUR|3FEWX|4CDMG|5DUST|6LWND|7TLV|9aRCR
22	42326 32113	   	298.51	DCR|DCR|2VULN|1TLV|1CDMG	18VULN|2DUR|3FEWX|4CDMG|5BEXP|6TLV|7LWND|9aRCR
23	42241 35111	 * 	298.10	ACR|DCR|1VULN|2AAC|1TLV|1MLV|1DMG	1VULN|2DUR|39AAC|4MLV|58RCR|6DMG|7ZMB|aTLV
24	13232 14551	   	297.14	DCR|DCR|2VULN|1TLV|1CDMG	1RCVC|2CDMG|3TLV|4RPLT|5BEXP|69RCR|7aVULN|8RAT
25	21335 24141	   	296.62	DCR|DCR|1VULN|1TLV|2AAC|1ASPD	1LWND|2ASPD|3VULN|48AAC|5TLV|6ERES|7aRCR|9LEGI
26	13243 43423	   	296.54	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1RCVC|2CDMG|3TLV|4DUR|5VULN|6ERES|7MLV|8aRCR|9MDPS
27	13361 52323	   	296.54	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1RCVC|2CDMG|3VULN|4MDPS|5MLV|6TLV|7aRCR|8ERES|9DUR
28	13361 53413	   	296.54	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1RCVC|2CDMG|3VULN|4MDPS|5MLV|6TLV|7DUR|8ERES|9aRCR
29	42321 26413	   	296.54	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1VULN|2DUR|3FEWX|4CDMG|5MLV|6BEXP|7TLV|8ERES|9aRCR
30	53361 52323	   	296.54	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1DMSP|2CDMG|3VULN|4MDPS|5MLV|6TLV|7aRCR|8ERES|9DUR
31	42421 32141	   	296.47	DCR|DCR|2VULN|1DMG|1AAC|2DUR	13VULN|23DUR|3BPWR|46FEWX|5AAC|7aRCR|8DMG|9LHND
32	13232 14112	   	295.27	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1RCVC|2CDMG|3TLV|4RPLT|5BEXP|68RCR|7VULN|9AAC|aASPD
33	53232 14112	   	295.27	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1DMSP|2CDMG|3TLV|4RPLT|5BEXP|68RCR|7VULN|9AAC|aASPD
