0	Index      	 *	Score 	Summary	Detail	
1	24353 53122	 * 	320.38	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1CGEN|2DMG|3MLV|47VULN|5ERES|6TLV|8MDPS|9aRCR
2	24353 52122	 * 	311.76	DCR|DCR|2DMG|1VULN|1TLV|1MLV	1CGEN|27DMG|3MLV|4VULN|5ERES|6TLV|8MDPS|9aRCR
3	24431 53322	 * 	305.85	DCR|DCR|2TLV|2DMG|1VULN	1CGEN|24DMG|34TLV|4BPWR|5DUST|6DUR|7VULN|8FEWX|9aRCR
4	24433 53322	   	305.85	DCR|DCR|2TLV|2DMG|1VULN	1CGEN|24DMG|34TLV|4BPWR|5FEWX|6DUR|7VULN|8BEXP|9aRCR
5	24333 25314	 * 	299.78	DCR|3MLV|2VULN|2DMG|1TLV	169CGEN|24DMG|349MLV|49BPWR|5FEWX|7TLV|89VULN|aRCR
6	24331 25314	   	299.68	DCR|3MLV|2VULN|2DMG|1TLV	169CGEN|24DMG|349MLV|49BPWR|5DUST|7TLV|89VULN|aRCR
7	26123 14522	   	299.41	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2LWND|3AAC|4TLV|5ERES|6DUR|7VULN|8MLV|9aRCR
8	22123 14522	   	299.31	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2BEXP|3AAC|4TLV|5ERES|6DUR|7VULN|8MLV|9aRCR
9	22123 46522	   	299.31	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2BEXP|3AAC|4TLV|5ERES|6VULN|7DUR|8MLV|9aRCR
10	22423 14422	   	299.31	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2BEXP|3MLV|4TLV|5ERES|6DUR|7VULN|8AAC|9aRCR
11	24431 63322	   	297.55	DCR|DCR|2TLV|2DMG|1VULN	1CGEN|24DMG|34TLV|4BPWR|5DUST|6LHND|7VULN|8FEWX|9aRCR
12	24433 23122	   	297.55	DCR|DCR|2TLV|2DMG|1VULN	16CGEN|24DMG|34TLV|4BPWR|5FEWX|7VULN|8MDPS|9aRCR
13	24433 63322	   	297.55	DCR|DCR|2TLV|2DMG|1VULN	1CGEN|24DMG|34TLV|4BPWR|5FEWX|6LHND|7VULN|8BEXP|9aRCR
14	24431 23122	   	297.45	DCR|DCR|2TLV|2DMG|1VULN	16CGEN|24DMG|34TLV|4BPWR|5DUST|7VULN|8MDPS|9aRCR
15	24433 43122	   	297.45	DCR|DCR|2TLV|2DMG|1VULN	1CGEN|24DMG|34TLV|4BPWR|5FEWX|6AEFRZ|7VULN|8MDPS|9aRCR
16	24435 33122	   	297.45	DCR|DCR|2TLV|2DMG|1VULN	1CGEN|24DMG|34TLV|4BPWR|5AEWIND|6LHND|7VULN|8MDPS|9aRCR
17	24431 43122	   	297.35	DCR|DCR|2TLV|2DMG|1VULN	1CGEN|24DMG|34TLV|4BPWR|5DUST|6AEFRZ|7VULN|8MDPS|9aRCR
18	24435 23122	   	297.35	DCR|DCR|2TLV|2DMG|1VULN	1CGEN|24DMG|34TLV|4BPWR|5AEWIND|6DUST|7VULN|8MDPS|9aRCR
19	22423 42622	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1CGEN|2BEXP|3MLV|4TLV|5ERES|6VULN|7DMG|8LHND|9aRCR
20	22423 42222	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1CGEN|2BEXP|3MLV|4TLV|5ERES|6VULN|7DMG|8DUST|9aRCR
21	21234 35314	 * 	292.96	DCR|3MLV|2VULN|1TLV|2ASPD	129CGEN|35ASPD|459MLV|59BPWR|6LHND|7TLV|89VULN|aRCR
22	21234 11314	   	292.86	DCR|3MLV|2VULN|1TLV|2ASPD	129CGEN|35ASPD|459MLV|59BPWR|6TLV|7BEXP|89VULN|aRCR
23	22162 52622	 * 	291.69	DCR|DCR|2TLV|1VULN|2AAC	1CGEN|2BEXP|36AAC|4MDPS|57TLV|8VULN|9aRCR
24	26123 34522	   	291.10	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2LWND|3AAC|4TLV|5ERES|6FEWX|7VULN|8MLV|9aRCR
25	26123 43522	   	291.10	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2LWND|3AAC|4TLV|5ERES|6VULN|7FEWX|8MLV|9aRCR
26	22123 34522	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2BEXP|3AAC|4TLV|5ERES|6FEWX|7VULN|8MLV|9aRCR
27	22123 45522	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2BEXP|3AAC|4TLV|5ERES|6VULN|7FEWX|8MLV|9aRCR
28	22423 34422	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1CGEN|2BEXP|3MLV|4TLV|5ERES|6FEWX|7VULN|8AAC|9aRCR
