0	Index      	 *	Score 	Summary	Detail	
1	22633 12323	 * 	284.19	ACR|DCR|3VULN|2TLV	13CGEN|268VULN|4aRCR|5RAT|79TLV
2	14113 11534	 * 	270.83	DCR|DCR|2DMG|1VULN|1AAC|1NUKE	1LWND|29DMG|3AAC|4BBNT|5MDPS|6NUKE|78RCR|aVULN
3	22633 12343	   	269.92	ACR|DCR|3VULN|1TLV	13CGEN|268VULN|4aRCR|5RAT|7TLV|9DUST
4	26233 12323	   	268.51	ACR|DCR|2VULN|1TLV|1CDMG	1CGEN|2ZMB|3TLV|48RCR|5RAT|6aVULN|7CDMG|9DUR
5	46233 12323	   	268.41	ACR|DCR|2VULN|1TLV|1CDMG	1ERES|2ZMB|3TLV|48RCR|5RAT|6aVULN|7CDMG|9DUR
6	22633 52323	   	267.34	ACR|DCR|2VULN|2TLV|2RAT	13CGEN|28VULN|4aRCR|56RAT|79TLV
7	14113 31526	 * 	266.73	DCR|DCR|1TLV|1DMG|1AAC|1ASPD	1LWND|2DMG|3AAC|4BBNT|5MDPS|6ASPD|78RCR|9ZMB|aTLV
8	14113 31562	   	266.73	DCR|DCR|1TLV|1DMG|1AAC|1ASPD	1LWND|2DMG|3AAC|4BBNT|5MDPS|6ASPD|78RCR|9RPLT|aTLV
9	14113 31536	   	266.63	DCR|DCR|1TLV|1DMG|1AAC|1ASPD|1NUKE	1LWND|2DMG|3AAC|4BBNT|5MDPS|6ASPD|78RCR|9NUKE|aTLV
10	46233 12363	 * 	266.54	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1ERES|2ZMB|3TLV|48RCR|5RAT|6VULN|7CDMG|9MLV|aDUR
11	64332 33324	 * 	264.90	DCR|DCR|1MLV|1DMG|1CDMG	1DUST|2DMG|3RCVC|4DUR|5RAT|6CDMG|78RCR|9AART|aMLV
12	65132 33324	   	264.90	DCR|DCR|1MLV|1DMG|1CDMG	1DUST|2RCVC|3DMG|4DUR|5RAT|6CDMG|78RCR|9AART|aMLV
13	62132 33324	   	264.80	DCR|DCR|1MLV|1DMG|1CDMG	12DUST|3DMG|4DUR|5RAT|6CDMG|78RCR|9AART|aMLV
14	22225 21552	 * 	263.57	DCR|2VULN|2MLV|1TLV|1ASPD	1CGEN|28VULN|3TLV|4RPLT|57MLV|6ASPD|9AART|aRCR
15	64332 33321	 * 	262.70	DCR|DCR|2DMG|2CDMG	1aDUST|2aDMG|3RCVC|4DUR|5RAT|6aCDMG|78RCR|9AART|aBPWR
16	65132 33321	   	262.70	DCR|DCR|2DMG|2CDMG	1aDUST|2RCVC|3aDMG|4DUR|5RAT|6aCDMG|78RCR|9AART|aBPWR
17	62132 33321	   	262.60	DCR|DCR|2DMG|2CDMG	12aDUST|3aDMG|4DUR|5RAT|6aCDMG|78RCR|9AART|aBPWR
