0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34245 23113	4	 * 	276.80	DCR|4VULN|3DUR|2DMG	1MLV|24aDUR|3456VULN|4BPWR|78DMG|9RCR
2	34243 51133	6	 * 	273.66	DCR|4VULN|3DUR|1TLV	1MLV|245DUR|3479VULN|4BPWR|6TLV|8RCR|aLIT
3	34242 61222	8	   	265.45	DCR|4VULN|3DUR|1TLV	15MLV|246DUR|3468VULN|46BPWR|7BEXP|9RCR|aTLV
4	34243 51132	6	   	265.35	DCR|4VULN|3DUR|1TLV	1MLV|245DUR|3479VULN|4BPWR|6TLV|8RCR|aCGEN
5	34263 61222	8	   	265.35	DCR|4VULN|3DUR|1TLV	1MLV|256DUR|3468VULN|6BPWR|7BEXP|9RCR|aTLV
6	34243 51131	6	   	265.25	DCR|4VULN|3DUR|1TLV	1MLV|245DUR|3479VULN|4BPWR|6TLV|8RCR|aERES
7	34243 21412	9	 * 	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1MLV|245DUR|349VULN|4BPWR|6ZMB|7DMG|8RCR|aTLV
8	34243 31512	9	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1MLV|245DUR|349VULN|4BPWR|6CGEN|7DMG|8RCR|aTLV
9	34243 31152	6	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1MLV|245DUR|347VULN|4BPWR|6CGEN|8RCR|9DMG|aTLV
10	34243 51113	9	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1MLV|245DUR|349VULN|4BPWR|6TLV|7DMG|8DUST|aRCR
11	34245 23111	4	   	263.57	DCR|4VULN|2DMG|2DUR	1MLV|24DUR|3456VULN|4BPWR|78DMG|9RCR|aFEWX
12	34245 23112	4	   	263.57	DCR|4VULN|2DMG|2DUR	1MLV|24DUR|3456VULN|4BPWR|78DMG|9RCR|aRPLT
13	34265 23113	4	   	263.47	DCR|4VULN|2DMG|2DUR	1MLV|2aDUR|3456VULN|78DMG|9RCR
14	14243 23613	4	   	259.21	DCR|4VULN|3DUR|1DMG	15CGEN|24aDUR|3468VULN|4BPWR|7DMG|9RCR
15	34242 23613	5	   	259.21	DCR|4VULN|3DUR|1DMG	15MLV|24aDUR|3468VULN|4BPWR|7DMG|9RCR
16	34263 23613	5	   	259.11	DCR|4VULN|3DUR|1DMG	1MLV|25aDUR|3468VULN|7DMG|9RCR
17	34265 23213	4	   	259.11	DCR|4VULN|3DUR|1DMG	1MLV|28aDUR|3456VULN|7DMG|9RCR
