0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13611 54147	6	 * 	286.04	DCR|5VULN|2DMG|2ASPD	1RPLT|2479aVULN|3MBVNT|57ASPD|67DMG|7BPWR|8RCR
2	66328 33413	6	 * 	282.12	DCR|3VULN|3DMG|3DUR|1SELL	127DUR|379VULN|4MBVNT|579DMG|6SELL|79BPWR|8LEGI|aRCR
3	13311 11545	10	 * 	278.50	DCR|4VULN|2DUR|2TLV|2CDMG	1RPLT|2378VULN|38BPWR|49CDMG|58TLV|68DUR|aRCR
4	13611 54144	6	   	276.16	DCR|4VULN|2DMG|2ASPD|1AART	1RPLT|2479VULN|3MBVNT|57ASPD|67DMG|7BPWR|8RCR|aAART
5	13611 54146	6	   	274.81	DCR|4VULN|2DMG|2ASPD	1RPLT|2479VULN|3MBVNT|57ASPD|67DMG|7BPWR|8RCR|aLIT
6	13311 31144	10	   	274.79	DCR|4VULN|2DUR|2CDMG|1TLV	1RPLT|2379VULN|39BPWR|49CDMG|5TLV|6LHND|89DUR|aRCR
7	13311 41144	10	   	274.79	DCR|4VULN|2DUR|2CDMG|1TLV	1RPLT|2379VULN|39BPWR|49CDMG|5TLV|6BEXP|89DUR|aRCR
8	61111 63433	2	 * 	274.69	DCR|4VULN|2DUR|1DMG|1TLV|1NUKE	16DUR|2NUKE|3456VULN|6BPWR|7RCR|8TLV|9CGEN|aDMG
9	13311 11515	10	   	272.19	DCR|4VULN|2DUR|2TLV|1CDMG	19RPLT|2378VULN|38BPWR|4CDMG|58TLV|68DUR|aRCR
10	13311 11524	10	   	272.19	DCR|4VULN|2DUR|2TLV|1CDMG	1RPLT|2378VULN|38BPWR|4CDMG|58TLV|68DUR|9FEWX|aRCR
11	13311 11534	10	   	272.09	DCR|4VULN|2DUR|2TLV|1CDMG	1RPLT|2378VULN|38BPWR|4CDMG|58TLV|68DUR|9DUST|aRCR
12	61111 63411	2	 * 	271.76	DCR|4VULN|3DUR|2TLV|1NUKE	16aDUR|2NUKE|3456VULN|6aBPWR|7RCR|8aTLV|9aBEXP
13	64111 63132	1	 * 	271.66	DCR|5VULN|2DUR|1CDMG	16DUR|2RMIN|3456aVULN|6BPWR|7RCR|8LHND|9CDMG
14	64111 63332	1	   	271.66	DCR|5VULN|2DUR|1CDMG	16DUR|2RMIN|3456aVULN|6BPWR|7RCR|8LWND|9CDMG
15	61111 63132	2	   	271.56	DCR|5VULN|2DUR|1CDMG|1NUKE	16DUR|2NUKE|3456aVULN|6BPWR|7RCR|8LHND|9CDMG
16	61111 63332	2	   	271.56	DCR|5VULN|2DUR|1CDMG|1NUKE	16DUR|2NUKE|3456aVULN|6BPWR|7RCR|8LWND|9CDMG
17	61111 63632	2	   	271.46	DCR|5VULN|2DUR|1CDMG|1NUKE	16DUR|2NUKE|3456aVULN|6BPWR|7RCR|8DUST|9CDMG
18	61111 63253	2	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD|1NUKE	16DUR|2NUKE|3456VULN|6BPWR|7RCR|8ERES|9ASPD|aDMG
19	13614 64147	4	 * 	268.35	DCR|5VULN|2ASPD|2TLV	1RPLT|2479aVULN|3MBVNT|57TLV|67ASPD|7BPWR|8RCR
20	13644 64147	3	   	268.35	DCR|5VULN|2ASPD|2TLV	1RPLT|2479aVULN|3MBVNT|57TLV|67ASPD|7BPWR|8RCR
21	13321 66243	3	 * 	267.11	DCR|5VULN|2TLV|1DMG	1RPLT|23578VULN|3BPWR|46TLV|9RCR|aDMG
22	13332 66243	3	   	267.11	DCR|5VULN|2TLV|1DMG	1RPLT|23478VULN|3BPWR|56TLV|9RCR|aDMG
23	64321 33162	3	   	266.74	DCR|4VULN|2DUR|2CDMG	15DUR|2LIT|38CDMG|457aVULN|5BPWR|6CGEN|9RCR
24	13618 17343	5	 * 	266.61	DCR|3VULN|3DUR|2DMG	1RPLT|24aVULN|3MBVNT|568DUR|7aDMG|9RCR|aBPWR
25	13611 54141	6	   	266.50	DCR|4VULN|2DMG|2ASPD	1RPLT|2479VULN|3MBVNT|57ASPD|67DMG|7BPWR|8RCR|aCGEN
26	13611 54143	6	   	266.50	DCR|4VULN|2DMG|2ASPD	1RPLT|2479VULN|3MBVNT|57ASPD|67DMG|7BPWR|8RCR|aLWND
27	13611 54145	6	   	266.50	DCR|4VULN|2DMG|2ASPD	1RPLT|2479VULN|3MBVNT|57ASPD|67DMG|7BPWR|8RCR|aBEXP
28	13611 54152	6	   	266.50	DCR|4VULN|2DMG|2ASPD	1RPLT|247aVULN|3MBVNT|57ASPD|67DMG|7BPWR|8RCR|9RMIN
29	64314 23332	8	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2LIT|3CDMG|4MLV|579aVULN|6DMG|8RCR
30	13655 22122	2	 * 	265.41	DCR|3VULN|2DUR|2ASPD|2CDMG	1RPLT|259VULN|35ASPD|4TBNT|59BPWR|69DUR|79CDMG|8RCR|aLIT
31	13612 54147	6	   	264.83	DCR|5VULN|2DMG	1RPLT|2479aVULN|3MBVNT|57CGEN|67DMG|7BPWR|8RCR
32	13651 33328	8	   	264.36	DCR|2VULN|3DUR|2DMG|1TLV	1RPLT|27VULN|3MBVNT|4LIT|57DMG|678DUR|7BPWR|9RCR|aTLV
33	13611 54174	6	 * 	263.82	DCR|3VULN|2DMG|2ASPD|2CDMG	1RPLT|247VULN|3MBVNT|57ASPD|67DMG|7BPWR|8RCR|9aCDMG
34	13321 66242	3	   	263.29	DCR|5VULN|2TLV|1DUR	1RPLT|23578VULN|3BPWR|46TLV|9RCR|aDUR
35	13332 66242	3	   	263.29	DCR|5VULN|2TLV|1DUR	1RPLT|23478VULN|3BPWR|56TLV|9RCR|aDUR
36	64111 63133	1	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	16DUR|2RMIN|3456VULN|6BPWR|7RCR|8LHND|9CDMG|aASPD
37	64111 63333	1	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	16DUR|2RMIN|3456VULN|6BPWR|7RCR|8LWND|9CDMG|aASPD
38	61111 63133	2	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD|1NUKE	16DUR|2NUKE|3456VULN|6BPWR|7RCR|8LHND|9CDMG|aASPD
39	61111 63333	2	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD|1NUKE	16DUR|2NUKE|3456VULN|6BPWR|7RCR|8LWND|9CDMG|aASPD
40	61111 63633	2	   	262.93	DCR|4VULN|2DUR|1CDMG|1ASPD|1NUKE	16DUR|2NUKE|3456VULN|6BPWR|7RCR|8DUST|9CDMG|aASPD
41	66324 14435	6	   	262.60	DCR|4VULN|3DUR|1ASPD	127DUR|3578VULN|4MBVNT|6RCVC|78BPWR|9RCR|aASPD
42	66324 44435	5	   	262.60	DCR|4VULN|3DUR|1ASPD	127DUR|3578VULN|4MBVNT|6DMSP|78BPWR|9RCR|aASPD
43	64111 63131	1	   	261.78	DCR|4VULN|2DUR|1CDMG|1AART	16DUR|2RMIN|3456VULN|6BPWR|7RCR|8LHND|9CDMG|aAART
