0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33164 53221	9	 * 	278.85	DCR|5VULN|2TLV|2DUR	1579aVULN|27TLV|3RMIN|47aZMB|6RCR|7aBPWR|8aDUR
2	33153 23614	6	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17aVULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8RCR|9AART
3	33523 31615	7	 * 	278.11	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	178VULN|2TLV|38LHND|4CDMG|5DMG|689DUR|8BPWR|aRCR
4	32161 41211	6	 * 	276.69	DCR|5VULN|3DMG|1AART	1378aVULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR
5	32161 42211	7	   	276.69	DCR|5VULN|3DMG|1AART	1378aVULN|2LWND|478ZMB|578DMG|6AART|78BPWR|9RCR
6	33253 32512	4	 * 	276.23	DCR|3VULN|2DMG|2TLV|1CDMG	158VULN|29TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|aCDMG
7	33253 32542	4	   	276.00	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	158VULN|2TLV|3LIT|45DMG|5BPWR|69ASPD|7RCR|aCDMG
8	34432 63312	4	 * 	275.64	DCR|4VULN|3TLV|3CDMG|1DMG	1478VULN|2RCVC|3DMG|578TLV|678CDMG|78BPWR|9LWND|aRCR
9	34432 63322	4	   	275.54	DCR|4VULN|3TLV|3CDMG|1DMG	1478VULN|2RCVC|3DMG|578TLV|678CDMG|78BPWR|9DUST|aRCR
10	33253 32532	4	 * 	275.45	DCR|4VULN|2DMG|1TLV	158aVULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9TBNT
11	44332 53121	5	 * 	274.44	DCR|3VULN|2DMG|2TLV|2CDMG	1RCVC|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9CGEN|aASPD
12	64332 53121	5	   	274.44	DCR|3VULN|2DMG|2TLV|2CDMG	1DMSP|27CDMG|35TLV|457VULN|57BPWR|67DMG|8RCR|9CGEN|aASPD
13	44332 53132	5	 * 	274.34	DCR|3VULN|2DMG|3TLV|2CDMG	1RCVC|27CDMG|359TLV|457VULN|57BPWR|67DMG|8RCR|aLIT
14	64332 53132	5	   	274.34	DCR|3VULN|2DMG|3TLV|2CDMG	1DMSP|27CDMG|359TLV|457VULN|57BPWR|67DMG|8RCR|aLIT
15	32322 52436	4	   	274.20	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	18aVULN|2LWND|3RMIN|4aCDMG|5TLV|6DUR|7RCR|9aDMG|aBPWR
16	33237 82524	3	   	273.80	DCR|4VULN|2DMG|1TLV|2LIT	169aVULN|2TLV|39LIT|4MBVNT|5RPLT|7RCR|89DMG|9BPWR
17	33153 61612	7	 * 	273.53	DCR|4VULN|3DUR|2TLV	1678VULN|28TLV|3RMIN|489DUR|5RPLT|8BPWR|aRCR
18	34423 23612	4	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	168VULN|2RCVC|3DMG|4RPLT|589DUR|78TLV|8BPWR|aRCR
19	34432 13612	6	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	148VULN|2RCVC|3DMG|5RPLT|689DUR|78TLV|8BPWR|aRCR
20	34432 13612	5	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	148VULN|2RCVC|3DMG|5RPLT|689DUR|78TLV|8BPWR|aRCR
21	34433 13612	4	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	148VULN|2RCVC|3DMG|5RPLT|689DUR|78TLV|8BPWR|aRCR
22	33253 32534	4	 * 	270.06	DCR|3VULN|3DMG|1TLV	158VULN|2TLV|3LIT|45aDMG|5BPWR|6ASPD|7RCR|9TBNT
23	34635 12311	10	   	269.43	DCR|5VULN|1TLV|1DUR|1CDMG	14679VULN|2RCVC|3CDMG|5DUR|8RCR|aTLV
24	33261 24432	3	   	269.19	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	149VULN|29TLV|3LIT|5DUR|6BELT|7RCR|89ASPD|9BPWR|aDMG
25	33237 82522	3	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	169VULN|2TLV|39LIT|4MBVNT|5RPLT|7RCR|89DMG|9BPWR|aDUR
26	33235 17814	3	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18aVULN|2TLV|38LIT|4MBVNT|5LWND|6DUR|78DMG|8BPWR|9RCR
27	33153 23641	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8RCR|aBEXP
28	33153 23643	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8RCR|aLHND
29	33153 23316	6	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8TBNT|9RCR
30	33153 23642	6	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8RCR|aTBNT
31	35643 22222	1	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	145VULN|25DMG|3BELT|5BPWR|6aDUR|7BEXP|8TLV|9RCR
32	35643 23222	1	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	145VULN|25DMG|3BELT|5BPWR|6aDUR|7DUST|8TLV|9RCR
33	33232 12446	3	   	268.51	DCR|4VULN|2TLV|2DUR	1789VULN|28TLV|3LIT|4MBVNT|5BEXP|68DUR|8BPWR|aRCR
34	33253 13425	4	   	267.25	DCR|4VULN|2DMG|1TLV	1579VULN|2TLV|3LIT|45DMG|5BPWR|6BEXP|8RPLT|aRCR
35	33253 13583	4	   	267.15	DCR|4VULN|2DMG|1TLV	1579VULN|2TLV|3LIT|45DMG|5BPWR|6BEXP|8MBVNT|aRCR
