0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65133 48432	4	 * 	318.57	DCR|4VULN|3DMG|2ASPD|2TLV|1DUR	1479VULN|27TLV|3MBVNT|579DMG|6RCR|79BPWR|89ASPD|aDUR
2	62123 11235	1	   	308.26	DCR|4VULN|3DMG|2TLV|1DUR|1ASPD	1249VULN|349DMG|49BPWR|5DUR|6LEGI|7ASPD|89TLV|aRCR
3	31133 42371	3	 * 	305.30	DCR|4VULN|3DMG|3DUR	19aDUR|25aZMB|3MBVNT|459DMG|59aBPWR|6RCR|789aVULN
4	32133 42871	3	   	305.30	DCR|4VULN|3DMG|3DUR	19aDUR|25aMLV|3MBVNT|459DMG|59aBPWR|6RCR|789aVULN
5	35333 62224	6	   	305.30	DCR|4VULN|3DMG|3DUR	134DUR|2479VULN|479BPWR|579BEXP|679DMG|8TBNT|aRCR
6	35333 62224	7	   	305.30	DCR|4VULN|3DMG|3DUR	134DUR|2479VULN|479BPWR|579BEXP|679DMG|8TBNT|aRCR
7	52233 42371	2	   	305.30	DCR|4VULN|3DMG|3DUR	1MBVNT|29aZMB|35aDUR|459DMG|59aBPWR|6RCR|789aVULN
8	56333 42271	1	   	302.53	DCR|3VULN|3DMG|3DUR|3TLV	1MBVNT|29aDUR|35aTLV|459DMG|59aBPWR|6RCR|79aVULN|8RCVC
9	58333 42271	2	   	302.53	DCR|3VULN|3DMG|3DUR|3TLV	1MBVNT|29aDUR|35aTLV|459DMG|59aBPWR|6RCR|79aVULN|8RCVC
10	65133 48431	4	   	302.32	DCR|4VULN|3DMG|2ASPD|2TLV	1479VULN|27TLV|3MBVNT|579DMG|6RCR|79BPWR|89ASPD|aCGEN
11	65133 48434	4	   	302.32	DCR|4VULN|3DMG|2ASPD|2TLV	1479VULN|27TLV|3MBVNT|579DMG|6RCR|79BPWR|89ASPD|aZMB
12	65133 48433	4	   	302.22	DCR|4VULN|3DMG|2ASPD|2TLV	1479VULN|27TLV|3MBVNT|579DMG|6RCR|79BPWR|89ASPD|aDUST
13	62121 23641	2	   	301.54	DCR|4VULN|3DMG|2DUR	124aVULN|24aBPWR|34aDMG|5LWND|6DUST|7RCR|8aDUR|9AART
14	62121 23641	1	   	301.54	DCR|4VULN|3DMG|2DUR	124aVULN|34aDMG|4aBPWR|5LWND|6DUST|7RCR|8aDUR|9AART
15	32243 63523	1	   	298.66	DCR|4VULN|2DUR|2TLV|1DMG|2CDMG	18DUR|248aVULN|34CDMG|48BPWR|5BEXP|68TLV|7RCR|9DMG
16	53513 42321	2	 * 	297.54	DCR|3VULN|3DUR|2DMG|3ASPD	1MBVNT|2aDMG|359ASPD|45aDUR|5aBPWR|6RCR|78aVULN
17	62123 14235	1	   	297.26	DCR|4VULN|3DMG|2TLV|1DUR	1249VULN|349DMG|49BPWR|5DUR|6LEGI|7ZMB|89TLV|aRCR
18	53436 21425	10	 * 	295.94	DCR|5VULN|2DMG|1TLV|2LIT	1MBVNT|27DMG|34578VULN|67LIT|7BPWR|9TLV|aRCR
19	33226 42223	5	   	295.87	DCR|3VULN|3DMG|3DUR|1CDMG|1SELL	137DUR|2SELL|467DMG|57aVULN|7BPWR|8RCR|9CDMG
20	53438 48432	5	   	295.83	DCR|3VULN|3DMG|2ASPD|3TLV|1DUR	1MBVNT|279DMG|347VULN|579TLV|6RCR|79BPWR|89ASPD|aDUR
21	53453 24382	8	   	294.39	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1MBVNT|28DMG|358VULN|4ASPD|6TLV|78DUR|8BPWR|9CDMG|aRCR
22	56313 12273	1	 * 	292.87	ACR|4VULN|3DMG|3DUR|2TLV	1MBVNT|29aDUR|37TLV|4RCR|569aVULN|89aDMG|9aBPWR
23	58313 12273	2	   	292.87	ACR|4VULN|3DMG|3DUR|2TLV	1MBVNT|29aDUR|37TLV|4RCR|569aVULN|89aDMG|9aBPWR
24	65134 44353	4	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1479VULN|2TLV|3MBVNT|5BELT|69DMG|89DUR|9BPWR|aRCR
25	53462 21413	10	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	1MBVNT|247DMG|3479VULN|47BPWR|57LIT|6RCVC|8DUR|aRCR
26	53462 21417	9	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	1MBVNT|247DMG|3479VULN|47BPWR|57LIT|6RCVC|8DUR|aRCR
27	53466 21423	10	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	1MBVNT|247DMG|3457VULN|47BPWR|67LIT|8DUR|9DMSP|aRCR
28	53256 21413	10	   	292.05	DCR|4VULN|3DMG|1DUR|2LIT	1MBVNT|237DMG|4579VULN|67LIT|7BPWR|8DUR|aRCR
29	53436 21273	10	   	292.05	DCR|4VULN|3DMG|1DUR|2LIT	1MBVNT|278DMG|3457VULN|67LIT|7BPWR|9DUR|aRCR
30	62124 11235	1	   	292.01	DCR|4VULN|3DMG|2TLV|1ASPD	1249VULN|349DMG|49BPWR|5BEXP|6LEGI|7ASPD|89TLV|aRCR
31	31133 42375	3	   	291.88	DCR|4VULN|3DMG|2DUR	19DUR|25ZMB|3MBVNT|459DMG|59BPWR|6RCR|789aVULN
32	32133 42875	3	   	291.88	DCR|4VULN|3DMG|2DUR	19DUR|25MLV|3MBVNT|459DMG|59BPWR|6RCR|789aVULN
33	52233 42375	2	   	291.88	DCR|4VULN|3DMG|2DUR	1MBVNT|29ZMB|35DUR|459DMG|59BPWR|6RCR|789aVULN
34	53211 24784	5	   	291.78	DCR|4VULN|3DMG|2DUR	1MBVNT|23aDMG|4BELT|5aDUR|679aVULN|8RCR|aBPWR
35	53223 42873	2	   	291.68	DCR|4VULN|3DMG|2DUR	1MBVNT|29aDMG|34DUR|59aERES|6RCR|789aVULN|9aBPWR
36	62123 13232	2	   	291.68	DCR|4VULN|3DMG|2DUR	124aVULN|24aBPWR|348DMG|5aDUR|6LEGI|7RCR|9aDUST
37	62123 13232	1	   	291.68	DCR|4VULN|3DMG|2DUR	124aVULN|348DMG|4aBPWR|5aDUR|6LEGI|7RCR|9aDUST
38	62122 43332	2	   	290.84	DCR|4VULN|3DMG|1TLV|1CDMG	1248VULN|24BPWR|347DMG|5MLV|6CDMG|9TLV|aRCR
39	62122 43332	1	   	290.84	DCR|4VULN|3DMG|1TLV|1CDMG	1248VULN|347DMG|4BPWR|5MLV|6CDMG|9TLV|aRCR
40	53233 42374	2	   	290.67	DCR|3VULN|3DMG|3DUR|1NUKE	1MBVNT|259DMG|359DUR|4NUKE|59BPWR|6RCR|789VULN|aLIT
41	35331 61214	4	   	290.03	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG|1ASPD	134DUR|245VULN|45BPWR|6DMG|7ASPD|8CDMG|9TLV|aRCR
42	35331 62125	4	   	289.45	DCR|4VULN|3DUR|2DMG	134DUR|2459VULN|459BPWR|69DMG|7BBNT|89LWND|aRCR
43	35331 62225	4	   	289.45	DCR|4VULN|3DUR|2DMG	134DUR|2459VULN|459BPWR|69DMG|7BBNT|89LHND|aRCR
44	52213 42377	3	   	289.45	DCR|4VULN|3DUR|2DMG	1MBVNT|29ZMB|35DMG|459DUR|59BPWR|6RCR|789aVULN
45	52243 42377	4	   	289.45	DCR|4VULN|3DUR|2DMG	1MBVNT|29ZMB|35DMG|459DUR|59BPWR|6RCR|789aVULN
46	62123 13633	2	   	289.45	DCR|4VULN|3DUR|2DMG	124aVULN|24aBPWR|34DMG|58aDUR|6LEGI|7RCR|9aMLV
47	62123 13633	1	   	289.45	DCR|4VULN|3DUR|2DMG	124aVULN|34DMG|4aBPWR|58aDUR|6LEGI|7RCR|9aMLV
48	31117 42377	5	   	289.35	DCR|4VULN|3DUR|2DMG	149DUR|2ZMB|3MBVNT|59DMG|6RCR|789aVULN|9BPWR
49	53436 21437	8	   	289.35	DCR|5VULN|2DMG|2LIT	1MBVNT|27DMG|34578VULN|67LIT|7BPWR|9AART|aRCR
