0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32356 51133	1	 * 	287.39	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG|1AART	13aVULN|23aDUR|3aBPWR|4DMG|5AART|6CDMG|7RCR|8aLIT|9BBNT
2	31346 54721	2	 * 	287.15	DCR|4VULN|3DMG|3CDMG	1379VULN|2MBVNT|379BPWR|479CDMG|5RPLT|679DMG|8RCR|aRCVC
3	31346 54722	2	   	287.05	DCR|4VULN|3DMG|3CDMG	1379VULN|2MBVNT|379BPWR|479CDMG|5RPLT|679DMG|8RCR|aLEGI
4	31346 54723	2	   	286.90	DCR|4VULN|3DMG|3CDMG|1SELL	1379VULN|2MBVNT|379BPWR|479CDMG|5RPLT|679DMG|8RCR|aSELL
5	32336 31642	1	   	286.04	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD|1AART	136VULN|239DUR|3BPWR|4ASPD|5AART|7DMG|8TLV|aRCR
6	32336 32542	1	   	286.04	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD|1AART	136VULN|237DUR|3BPWR|4ASPD|5AART|8TLV|9DMG|aRCR
7	33336 36112	7	 * 	282.56	DCR|3VULN|3DMG|3DUR	167VULN|27LHND|378DMG|456DUR|67BPWR|9LWND|aRCR
8	33336 36162	7	   	282.56	DCR|3VULN|3DMG|3DUR	167VULN|27LHND|378DMG|456DUR|67BPWR|9BEXP|aRCR
9	32356 52222	1	 * 	281.85	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	1378VULN|23DUR|3BPWR|4DMG|5AART|6CDMG|9BEXP|aRCR
10	31346 54733	2	   	281.50	DCR|4VULN|2DMG|2CDMG|1TLV	1379VULN|2MBVNT|37BPWR|47CDMG|5RPLT|67DMG|8RCR|aTLV
11	31346 54121	2	   	281.11	DCR|4VULN|3DMG|2CDMG	1379VULN|2MBVNT|379BPWR|47CDMG|5RPLT|679DMG|89LHND|aRCR
12	31346 54221	2	   	281.11	DCR|4VULN|3DMG|2CDMG	1379VULN|2MBVNT|379BPWR|47CDMG|5RPLT|679DMG|89FEWX|aRCR
13	31346 54821	2	   	280.91	DCR|4VULN|3DMG|2CDMG	1379VULN|2MBVNT|379BPWR|47CDMG|5RPLT|679DMG|89DUST|aRCR
14	36233 33233	6	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	17aVULN|27aDMG|3DUR|4ERES|57aCDMG|6RCR|7aBPWR|8TBNT|9RMIN
15	32346 36112	1	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	135VULN|234DUR|3BPWR|6CDMG|7RPLT|8aDMG|9RCR
16	32346 16111	1	 * 	280.07	DCR|4VULN|3DUR|1DMG	1356VULN|234DUR|3BPWR|7LIT|8LWND|9RCR|aDMG
17	32346 16211	1	   	280.07	DCR|4VULN|3DUR|1DMG	1356VULN|234DUR|3BPWR|7LIT|8LHND|9RCR|aDMG
