0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46161 32212	1	 * 	273.62	DCR|5VULN|2TLV|1DUR|1AART	1347aVULN|23TLV|3BPWR|5LWND|6AART|8RCR|9DUR
2	43122 36253	4	 * 	272.77	DCR|3VULN|3DUR|3CDMG|1DMG	19aVULN|2ZMB|39aCDMG|4DMG|5ASPD|6RCR|79aDUR|8DMSP|9aBPWR
3	43122 36353	4	   	272.77	DCR|3VULN|3DUR|3CDMG|1DMG	19aVULN|2ZMB|39aCDMG|4DMG|5ASPD|6RCR|79aDUR|8RCVC|9aBPWR
4	41141 12511	6	 * 	271.14	DCR|5VULN|2DMG|2CDMG	13489VULN|26LWND|59DMG|79CDMG|9BPWR|aRCR
5	41141 32511	5	   	271.14	DCR|5VULN|2DMG|2CDMG	13489VULN|2LWND|59DMG|6DMSP|79CDMG|9BPWR|aRCR
6	41126 12241	3	 * 	269.36	DCR|5VULN|1TLV|1DMG|1AART	1347aVULN|24LWND|4BPWR|5AART|6DMG|8RCR|9TLV
7	41123 22452	3	 * 	268.71	DCR|4VULN|2TLV|2DUR	1349VULN|245LWND|49BPWR|6LIT|79DUR|89TLV|aRCR
8	41112 31226	3	 * 	267.94	DCR|3VULN|3DMG|2DUR|1AART	137VULN|2LWND|4AART|57aDMG|67DUR|7BPWR|8RCR|9LHND
9	41412 31226	1	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	127VULN|3LWND|4AART|57aDMG|67DUR|7BPWR|8RCR|9LHND
10	16241 36213	6	   	267.90	DCR|5VULN|1TLV|1DMG	1ASPD|2ZMB|34678VULN|5DMG|9TLV|aRCR
11	41112 31214	3	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aCDMG
12	41112 31224	3	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9LHND|aCDMG
13	41112 31234	3	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	137VULN|2LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9BEXP|aCDMG
14	41412 31214	1	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9FEWX|aCDMG
15	41412 31224	1	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	127VULN|3LWND|4AART|57DMG|67DUR|7BPWR|8RCR|9LHND|aCDMG
