0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63127 13146	7	 * 	296.81	DCR|4VULN|3DMG|3CDMG	1MBVNT|279aVULN|3RPLT|4AART|57aCDMG|67aDMG|7aBPWR|8RCR
2	13215 42621	5	 * 	293.46	DCR|4VULN|2DUR|2TLV|1DMG|2LIT	1569VULN|29LIT|3DMG|4aTLV|7RCR|89DUR|9BPWR
3	13215 42124	5	 * 	293.10	DCR|5VULN|2DMG|2TLV	1569aVULN|2LIT|39DMG|49TLV|7RCR|8MBVNT|9BPWR
4	13212 42624	3	 * 	293.03	DCR|5VULN|2DUR|1DMG|2LIT	1469aVULN|29LIT|3DMG|5MLV|7RCR|89DUR|9BPWR
5	13244 36112	9	 * 	290.97	DCR|3VULN|3DMG|3DUR	179VULN|2LIT|379DMG|4BELT|579DUR|6RMIN|79BPWR|8RPLT|aRCR
6	64163 44734	3	   	289.91	DCR|4VULN|2DMG|2TLV|1CDMG|1ASPD	1MBVNT|29TLV|389aVULN|4ASPD|5CDMG|6RCR|79DMG|9BPWR
7	13212 42621	3	   	289.74	DCR|4VULN|2DUR|1DMG|1TLV|2LIT	1469VULN|29LIT|3DMG|5MLV|7RCR|89DUR|9BPWR|aTLV
8	13215 42623	5	   	289.74	DCR|4VULN|2DUR|1DMG|1TLV|2LIT	1569VULN|29LIT|3DMG|4TLV|7RCR|89DUR|9BPWR|aFEWX
9	13215 42622	5	   	289.64	DCR|4VULN|2DUR|1DMG|1TLV|2LIT	1569VULN|29LIT|3DMG|4TLV|7RCR|89DUR|9BPWR|aDUST
10	64831 43514	6	 * 	289.50	DCR|5VULN|3CDMG|2TLV|1DUR	1MBVNT|28TLV|368CDMG|4568aVULN|68BPWR|7RCR|9DUR
11	13255 33613	3	 * 	289.20	DCR|3VULN|3DMG|2DUR|3LIT	18aVULN|268LIT|368DMG|4RMIN|5TBNT|68aBPWR|7RCR|9aDUR
12	13153 22436	3	   	288.71	DCR|4VULN|1DMG|1TLV|1DUR|2LIT|1CDMG	1379VULN|23LIT|3BPWR|4CDMG|5DMG|6TLV|8RCR|aDUR
13	13142 23651	7	 * 	287.87	DCR|5VULN|3LIT|2TLV|1ASPD	13458VULN|238LIT|38BPWR|6AART|78TLV|9RCR|aASPD
14	12115 42621	4	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1369VULN|29ERES|4DMG|5LIT|7RCR|89DUR|9BPWR|aTLV
15	13233 22436	4	   	282.06	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1579VULN|2LIT|3DMG|4CDMG|6TLV|8RCR|aDUR
16	63262 32111	4	 * 	281.01	DCR|4VULN|3DMG|2TLV	1MBVNT|2789VULN|378ERES|49TLV|59MLV|678DMG|789BPWR|aRCR
17	63264 32111	4	   	281.01	DCR|4VULN|3DMG|2TLV	1MBVNT|2789VULN|378ERES|49TLV|59CGEN|678DMG|789BPWR|aRCR
18	63265 32111	5	   	281.01	DCR|4VULN|3DMG|2TLV	1MBVNT|2789VULN|378ERES|49TLV|59CGEN|678DMG|789BPWR|aRCR
19	63265 42111	6	   	281.01	DCR|4VULN|3DMG|2TLV	1MBVNT|2789VULN|378ERES|49TLV|59CGEN|678DMG|789BPWR|aRCR
20	11111 33241	9	 * 	280.78	DCR|5VULN|3DMG	13789VULN|2CGEN|489DMG|5RCVC|689FEWX|89BPWR|aRCR
21	11111 43241	9	   	280.78	DCR|5VULN|3DMG	13789VULN|2CGEN|489DMG|5RCVC|689LWND|89BPWR|aRCR
22	11112 33241	9	   	280.78	DCR|5VULN|3DMG	13789VULN|26CGEN|489DMG|589LWND|89BPWR|aRCR
23	11115 33241	9	   	280.78	DCR|5VULN|3DMG	13789VULN|25CGEN|489DMG|689FEWX|89BPWR|aRCR
24	11115 43241	9	   	280.78	DCR|5VULN|3DMG	13789VULN|25CGEN|489DMG|689LWND|89BPWR|aRCR
25	11116 33241	9	   	280.78	DCR|5VULN|3DMG	13789VULN|2CGEN|489DMG|5DMSP|689FEWX|89BPWR|aRCR
26	11116 43241	9	   	280.78	DCR|5VULN|3DMG	13789VULN|2CGEN|489DMG|5DMSP|689LWND|89BPWR|aRCR
27	12111 33241	9	   	280.68	DCR|5VULN|3DMG	13789VULN|2ERES|489DMG|5RCVC|689FEWX|89BPWR|aRCR
28	12111 43241	9	   	280.68	DCR|5VULN|3DMG	13789VULN|2ERES|489DMG|5RCVC|689LWND|89BPWR|aRCR
29	13153 22422	3	   	280.65	DCR|3VULN|2DUR|1DMG|1TLV|2LIT|1CDMG	137VULN|23LIT|3BPWR|4CDMG|5DMG|6TLV|8RCR|9aDUR
30	65112 22843	3	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|27DMG|35aVULN|459DUR|5BPWR|6CDMG|8RCR
31	13215 52124	5	   	280.11	DCR|4VULN|2DMG|2TLV|2LIT	159aVULN|26LIT|39DMG|49TLV|7RCR|8MBVNT|9BPWR
32	12115 42124	4	   	279.59	DCR|5VULN|2DMG|2LIT	1369aVULN|2ERES|49DMG|59LIT|7RCR|8MBVNT|9BPWR
33	13152 11225	3	   	279.17	DCR|3VULN|2DUR|3LIT|1DMG|1CDMG	139VULN|239LIT|39BPWR|4CDMG|5TBNT|6AART|7DMG|89DUR|aRCR
34	64821 44734	3	   	278.80	DCR|4VULN|2DMG|2TLV|1CDMG|1NUKE	1MBVNT|29TLV|3CDMG|4NUKE|589aVULN|6RCR|79DMG|9BPWR
35	13215 42324	5	   	278.45	DCR|5VULN|1DMG|1TLV|2LIT	1569aVULN|29LIT|3DMG|4TLV|7RCR|89LHND|9BPWR
36	13215 42523	5	   	278.25	DCR|5VULN|1DMG|1TLV|2LIT	1569aVULN|29LIT|3DMG|4TLV|7RCR|89DUST|9BPWR
37	13164 22622	5	 * 	277.98	DCR|5VULN|2DUR|3LIT	1359aVULN|239LIT|39BPWR|4ERES|6ZMB|7RCR|89DUR
38	13115 32422	8	 * 	277.32	ACR|4VULN|3DUR|2DMG|3LIT	139aVULN|239LIT|39aBPWR|4aMLV|5RCR|6aDMG|789DUR
39	13142 23653	7	   	276.87	DCR|5VULN|3LIT|2TLV	13458VULN|238LIT|38BPWR|6AART|78TLV|9RCR|aLHND
40	13142 23652	7	   	276.77	DCR|5VULN|3LIT|2TLV	13458VULN|238LIT|38BPWR|6AART|78TLV|9RCR|aTBNT
41	12115 42121	4	   	276.30	DCR|4VULN|2DMG|1TLV|2LIT	1369VULN|2ERES|49DMG|59LIT|7RCR|8MBVNT|9BPWR|aTLV
42	63418 33164	3	 * 	276.02	DCR|4VULN|2DMG|2DUR	1MBVNT|2589VULN|3BEXP|49DUR|6BBNT|79DMG|9BPWR|aRCR
43	63731 24234	5	   	276.01	DCR|4VULN|2DMG|2TLV|1ASPD|1SELL	1MBVNT|259aVULN|3SELL|4ASPD|6RCR|79DMG|89TLV|9BPWR
44	63731 84234	6	   	276.01	DCR|4VULN|2DMG|2TLV|1ASPD|1SELL	1MBVNT|259aVULN|3SELL|4ASPD|6RCR|79DMG|89TLV|9BPWR
45	63732 24234	4	   	276.01	DCR|4VULN|2DMG|2TLV|1ASPD|1SELL	1MBVNT|259aVULN|3SELL|4ASPD|6RCR|79DMG|89TLV|9BPWR
46	65411 13164	5	   	275.92	DCR|4VULN|2DMG|2DUR	1MBVNT|29DMG|3DUST|49DUR|5689VULN|7BBNT|9BPWR|aRCR
47	16118 33164	3	   	275.92	DCR|4VULN|2DMG|2DUR	1589VULN|2LEGI|3MBVNT|49DUR|6BBNT|79DMG|9BPWR|aRCR
48	61244 43772	1	   	275.87	DCR|4VULN|2DUR|2TLV|2AART	1MBVNT|23AART|489aVULN|58DUR|6RCR|78TLV|8BPWR
49	64163 44731	3	   	275.57	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	1MBVNT|29TLV|389VULN|4ASPD|5CDMG|6RCR|79DMG|9BPWR|aLIT
50	13142 56331	5	   	274.96	DCR|4VULN|1DMG|1TLV|1DUR|2LIT|1NUKE	1345VULN|23LIT|3BPWR|6DMG|7DUR|8NUKE|9TLV|aRCR
51	13143 56331	4	   	274.96	DCR|4VULN|1DMG|1TLV|1DUR|2LIT|1NUKE	1345VULN|23LIT|3BPWR|6DMG|7DUR|8NUKE|9TLV|aRCR
52	63127 14146	6	   	274.91	DCR|4VULN|2DMG|2CDMG	1MBVNT|279aVULN|3RPLT|4AART|5aCDMG|6aDMG|8RCR|aBPWR
53	13241 16253	5	   	274.62	DCR|3VULN|3DMG|3LIT|1TLV	18aVULN|258LIT|358DMG|4BELT|58BPWR|6RPLT|7RCR|9TLV
54	13241 26253	6	   	274.62	DCR|3VULN|3DMG|3LIT|1TLV	18aVULN|258LIT|358DMG|4BELT|58BPWR|6RPLT|7RCR|9TLV
55	64142 32126	3	 * 	274.62	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4CGEN|5MLV|678DMG|78BPWR|9RCR|aDUR
56	64182 32126	4	   	274.62	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4CGEN|5MLV|678DMG|78BPWR|9RCR|aDUR
57	64642 32126	2	   	274.62	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4CGEN|5MLV|678DMG|78BPWR|9RCR|aDUR
58	64122 32126	4	   	274.52	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4ERES|5MLV|678DMG|78BPWR|9RCR|aDUR
59	64124 32126	4	   	274.52	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4ERES|5CGEN|678DMG|78BPWR|9RCR|aDUR
60	64125 32126	5	   	274.52	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4ERES|5CGEN|678DMG|78BPWR|9RCR|aDUR
61	64125 42126	6	   	274.52	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4ERES|5CGEN|678DMG|78BPWR|9RCR|aDUR
62	64181 32126	5	   	274.52	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4CGEN|5ERES|678DMG|78BPWR|9RCR|aDUR
63	64181 42126	6	   	274.52	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|278TLV|378VULN|4CGEN|5ERES|678DMG|78BPWR|9RCR|aDUR
64	63127 13126	7	   	274.17	DCR|3VULN|3DMG|3CDMG	1MBVNT|27aVULN|3RPLT|4AART|57aCDMG|67aDMG|7aBPWR|8RCR|9RCVC
65	63254 13441	10	   	274.05	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|279VULN|3ERES|47DUR|5AART|67DMG|7BPWR|8ASPD|aRCR
66	13233 22422	4	   	274.00	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	157VULN|2LIT|3DMG|4CDMG|6TLV|8RCR|9aDUR
67	64834 44734	5	 * 	273.58	DCR|3VULN|2DMG|2TLV|2CDMG|1ASPD	1MBVNT|29TLV|39CDMG|48aVULN|5ASPD|6RCR|79DMG|9BPWR
68	13215 42123	5	   	273.56	DCR|4VULN|2DMG|2TLV	1569VULN|2LIT|39DMG|49TLV|7RCR|8MBVNT|9BPWR|aFEWX
69	13215 42127	5	   	273.56	DCR|4VULN|2DMG|2TLV	1569VULN|2LIT|39DMG|49TLV|7RCR|8MBVNT|9BPWR|aZMB
70	13214 42124	5	   	273.56	DCR|4VULN|2DMG|2TLV	169aVULN|2LIT|39DMG|49TLV|5RCVC|7RCR|8MBVNT|9BPWR
71	13212 42622	3	   	273.49	DCR|4VULN|2DUR|1DMG|2LIT	1469VULN|29LIT|3DMG|5MLV|7RCR|89DUR|9BPWR|aBEXP
72	13212 42623	3	   	273.49	DCR|4VULN|2DUR|1DMG|2LIT	1469VULN|29LIT|3DMG|5MLV|7RCR|89DUR|9BPWR|aFEWX
73	13212 42626	3	   	273.49	DCR|4VULN|2DUR|1DMG|2LIT	1469VULN|29LIT|3DMG|5MLV|7RCR|89DUR|9BPWR|aRPLT
74	13215 42121	5	 * 	273.46	DCR|4VULN|2DMG|3TLV	1569VULN|2LIT|39DMG|49aTLV|7RCR|8MBVNT|9BPWR
75	13215 42122	5	   	273.46	DCR|4VULN|2DMG|2TLV	1569VULN|2LIT|39DMG|49TLV|7RCR|8MBVNT|9BPWR|aDUST
76	13212 42625	3	   	273.39	DCR|4VULN|2DUR|1DMG|2LIT	1469VULN|29LIT|3DMG|5MLV|7RCR|89DUR|9BPWR|aDUST
77	64164 11137	10	 * 	273.35	DCR|3VULN|2DMG|2DUR|3TLV	1MBVNT|248TLV|39aVULN|59DMG|6RCR|79DUR|9BPWR
78	13215 42128	5	   	273.32	DCR|4VULN|2DMG|2TLV|1SELL	1569VULN|2LIT|39DMG|49TLV|7RCR|8MBVNT|9BPWR|aSELL
79	64831 43524	6	   	273.25	DCR|5VULN|3CDMG|2TLV	1MBVNT|28TLV|368CDMG|4568aVULN|68BPWR|7RCR|9LWND
80	64831 43544	6	   	273.25	DCR|5VULN|3CDMG|2TLV	1MBVNT|28TLV|368CDMG|4568aVULN|68BPWR|7RCR|9FEWX
81	13212 42124	3	   	273.14	DCR|5VULN|2DMG	1469aVULN|2LIT|39DMG|59MLV|7RCR|8MBVNT|9BPWR
82	13142 43341	8	   	273.06	DCR|4VULN|1DUR|2LIT|1CDMG|1ASPD	1345VULN|23LIT|3BPWR|6ASPD|7CDMG|8DUR|9AART|aRCR
83	13255 42124	5	   	272.94	DCR|5VULN|2DMG	1569aVULN|2LIT|39DMG|49ERES|7RCR|8MBVNT|9BPWR
84	13153 22432	3	   	272.46	DCR|4VULN|1DMG|1TLV|2LIT|1CDMG	1379VULN|23LIT|3BPWR|4CDMG|5DMG|6TLV|8RCR|aBEXP
85	13153 22433	3	   	272.46	DCR|4VULN|1DMG|1TLV|2LIT|1CDMG	1379VULN|23LIT|3BPWR|4CDMG|5DMG|6TLV|8RCR|aZMB
86	13153 22434	3	   	272.46	DCR|4VULN|1DMG|1TLV|2LIT|1CDMG	1379VULN|23LIT|3BPWR|4CDMG|5DMG|6TLV|8RCR|aDMSP
87	13153 22431	3	   	272.36	DCR|4VULN|1DMG|1TLV|2LIT|1CDMG	1379VULN|23LIT|3BPWR|4CDMG|5DMG|6TLV|8RCR|aERES
88	13215 52623	5	   	272.11	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	159VULN|269LIT|3DMG|4TLV|7RCR|89DUR|9BPWR|aFEWX
