0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65111 34284	7	 * 	293.34	DCR|4VULN|3DMG|1TLV|1DUR	149DMG|2489VULN|3MBVNT|49BPWR|5DUR|6TLV|79DUST|aRCR
2	65111 41348	5	 * 	291.88	DCR|4VULN|3DMG|2DUR	149DMG|2469VULN|3MBVNT|469BPWR|56DUR|7ERES|89CGEN|aRCR
3	65112 28344	5	 * 	290.25	DCR|5VULN|3DMG|1AART	14aDMG|2468aVULN|3MBVNT|4aBPWR|5AART|7aLWND|9RCR
4	22331 53542	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	168aVULN|2LWND|38DMG|4CGEN|5CDMG|78DUR|8BPWR|9RCR
5	23331 53542	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	168aVULN|2LHND|38DMG|4CGEN|5CDMG|78DUR|8BPWR|9RCR
6	21331 53542	4	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	168aVULN|2DUST|38DMG|4CGEN|5CDMG|78DUR|8BPWR|9RCR
7	65111 42246	10	 * 	289.20	DCR|3VULN|3DMG|2DUR|2CDMG	146DMG|249VULN|3MBVNT|49BPWR|59DUR|7RMIN|89CDMG|aRCR
8	54111 33164	8	 * 	286.77	DCR|3VULN|3DUR|2DMG|2TLV	145DUR|249VULN|3RMIN|49BPWR|6MBVNT|79TLV|89DMG|aRCR
9	65111 44724	5	   	284.33	DCR|4VULN|2DMG|2DUR	14DMG|2467VULN|3MBVNT|46BPWR|56DUR|8LIT|9TBNT|aRCR
10	33145 12612	7	   	283.10	DCR|2VULN|3DMG|2DUR|1TLV|2LIT|1AART	18LIT|28aDMG|3TLV|4AART|57DUR|68VULN|8BPWR|9RCR
11	24113 36253	2	 * 	281.40	DCR|4VULN|2DMG|2TLV|1DUR	1289VULN|38TLV|4BBNT|5TBNT|68DMG|7RCR|8BPWR|aDUR
12	24133 36253	2	   	281.40	DCR|4VULN|2DMG|2TLV|1DUR	1289VULN|38TLV|4TBNT|5BBNT|68DMG|7RCR|8BPWR|aDUR
13	62143 36232	4	   	280.48	DCR|5VULN|3DMG	145DMG|2RCVC|34578VULN|45BPWR|6ERES|9LWND|aRCR
14	22331 53543	4	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	168VULN|2LWND|38DMG|4CGEN|5CDMG|78aDUR|8BPWR|9RCR
15	23331 53543	4	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	168VULN|2LHND|38DMG|4CGEN|5CDMG|78aDUR|8BPWR|9RCR
16	21331 53543	4	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168VULN|2DUST|38DMG|4CGEN|5CDMG|78aDUR|8BPWR|9RCR
17	15211 53323	4	 * 	280.27	DCR|3VULN|2DMG|2ASPD|2CDMG|1DUR	1MLV|24aVULN|34ASPD|4aBPWR|5DUR|6aDMG|7LHND|8RCR|9aCDMG
18	54111 22623	10	 * 	280.07	DCR|4VULN|3DUR|1DMG	145DUR|2478VULN|3RMIN|4BPWR|6DMG|9LIT|aRCR
19	65112 64334	7	 * 	278.80	DCR|3VULN|3DMG|3ASPD|1AART	14aDMG|24aVULN|3MBVNT|4aBPWR|5AART|67aASPD|8RCR|9RMIN
20	65112 83344	7	   	278.48	DCR|4VULN|3DMG|2AART	14aDMG|248aVULN|3MBVNT|4aBPWR|56AART|7aLWND|9RCR
21	65117 31234	8	 * 	278.23	DCR|3VULN|3DMG|2TLV|2CDMG	145DMG|24aVULN|3MBVNT|4aBPWR|6RCR|7ERES|8aCDMG|9aTLV
22	54112 13152	10	   	277.91	DCR|3VULN|3DUR|2DMG|1ASPD	149DUR|249VULN|3RMIN|49BPWR|5CGEN|6ASPD|79DMG|8RPLT|aRCR
23	65112 71313	7	   	277.76	DCR|3VULN|3DMG|1TLV|1CDMG|1AART	14aDMG|24aVULN|3MBVNT|4aBPWR|5AART|6TLV|7RCR|8CDMG|9aERES
24	24241 13513	10	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	12357VULN|3BPWR|4DUR|6LHND|8DMG|9CDMG|aRCR
25	24241 33513	10	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	12357VULN|3BPWR|4DUR|6BEXP|8DMG|9CDMG|aRCR
26	21316 65132	9	   	276.99	DCR|4VULN|3DMG|1DUR	1689VULN|246DUST|345DMG|468BPWR|7RCR|aDUR
27	21316 65322	8	   	276.99	DCR|4VULN|3DMG|1TLV	168aVULN|246DUST|345DMG|46BPWR|7RCR|9TLV
28	22312 56324	6	   	276.67	DCR|3VULN|3DMG|2LIT|1CDMG|1AART	178VULN|24LWND|347DMG|47BPWR|5AART|67LIT|9CDMG|aRCR
29	22312 56324	5	   	276.67	DCR|3VULN|3DMG|2LIT|1CDMG|1AART	178VULN|24LWND|347DMG|47BPWR|5AART|67LIT|9CDMG|aRCR
30	23312 56324	6	   	276.67	DCR|3VULN|3DMG|2LIT|1CDMG|1AART	178VULN|24LHND|347DMG|47BPWR|5AART|67LIT|9CDMG|aRCR
31	23312 56324	5	   	276.67	DCR|3VULN|3DMG|2LIT|1CDMG|1AART	178VULN|24LHND|347DMG|47BPWR|5AART|67LIT|9CDMG|aRCR
32	36355 23122	10	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	18LIT|2BELT|3BEXP|4568VULN|78DMG|8BPWR|9RCR|aTLV
33	33151 11246	6	   	276.30	DCR|4VULN|2DMG|1TLV|2LIT	14LIT|25DMG|3TLV|689aVULN|7RCR
34	33145 31612	5	   	276.28	DCR|2VULN|3DMG|2AART|1TLV|1DUR|2LIT	18LIT|28aDMG|3TLV|46AART|5DUR|78VULN|8BPWR|9RCR
35	22223 21653	7	   	276.22	DCR|4VULN|2DMG|2DUR	179aVULN|2LWND|39DUR|4CGEN|5FEWX|6RCR|89DMG|9BPWR
36	22221 21653	7	   	276.12	DCR|4VULN|2DMG|2DUR	179aVULN|2LWND|39DUR|4CGEN|5DUST|6RCR|89DMG|9BPWR
37	24241 12315	7	   	276.02	DCR|4VULN|2DMG|2DUR	1235VULN|3BPWR|47DUR|6LHND|89DMG|aRCR
38	24241 32315	7	   	276.02	DCR|4VULN|2DMG|2DUR	1235VULN|3BPWR|47DUR|6BEXP|89DMG|aRCR
