0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12614 16232	8	 * 	303.00	DCR|4VULN|3DUR|2DMG|1CDMG	1CDMG|2357VULN|45aDUR|5BPWR|69DMG|8RCR
2	12614 16231	10	 * 	302.73	DCR|5VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2357aVULN|45DUR|5BPWR|6DMG|8RCR|9ASPD
3	12614 16231	8	   	299.44	DCR|4VULN|2DMG|2DUR|1CDMG	1CDMG|2357VULN|45DUR|5BPWR|69DMG|8RCR|aAART
4	26412 11261	7	 * 	292.55	DCR|5VULN|3DUR|2ASPD	1378aVULN|2BELT|468DUR|58ASPD|8BPWR|9RCR
5	12614 16222	8	   	291.73	DCR|4VULN|3DUR|1DMG|2CDMG	19CDMG|2357VULN|45aDUR|5BPWR|6DMG|8RCR
6	22662 33223	1	 * 	290.87	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	127VULN|379DMG|4DUR|5BEXP|67CDMG|7BPWR|8TLV|aRCR
7	22666 33223	1	   	290.87	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	127VULN|379DMG|4DUR|5FEWX|67CDMG|7BPWR|8TLV|aRCR
8	12614 16233	8	   	289.53	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1CDMG|2357VULN|45DUR|5BPWR|69DMG|8RCR|aSELL
9	12614 16221	8	   	288.16	DCR|4VULN|2DUR|1DMG|2CDMG	19CDMG|2357VULN|45DUR|5BPWR|6DMG|8RCR|aAART
10	22336 24613	9	 * 	286.57	DCR|4VULN|2DMG|2ASPD|2TLV	159aVULN|2aTLV|36ASPD|4LHND|7RCR|8aDMG|aBPWR
11	12611 26231	10	   	286.09	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	1CDMG|237aVULN|4DUR|56DMG|8RCR|9ASPD
12	12614 13472	9	   	285.31	DCR|4VULN|3DUR|1DMG|1CDMG	1CDMG|2358VULN|459DUR|5BPWR|6DMG|7MBVNT|aRCR
13	12611 26253	10	   	284.75	DCR|4VULN|2DMG|1DUR|1CDMG	1CDMG|237aVULN|4DUR|56DMG|8RCR|9AART
14	12614 14221	6	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|235VULN|45DUR|5BPWR|69DMG|7RCR|8TLV|aZMB
15	12614 14222	6	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|235VULN|45DUR|5BPWR|69DMG|7RCR|8TLV|aBBNT
16	12614 14223	6	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|235VULN|45DUR|5BPWR|69DMG|7RCR|8TLV|aMBVNT
17	12614 16231	9	   	283.19	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|2357VULN|45DUR|5BPWR|6DMG|8RCR|9ASPD|aZMB
