0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42341 22631	7	 * 	299.45	DCR|4VULN|3DMG|1DUR|1CDMG	178CGEN|2378VULN|4LIT|5CDMG|678DMG|78BPWR|9DUR|aRCR
2	51453 33333	7	 * 	295.66	DCR|5VULN|2DMG|2DUR	1MBVNT|2RMIN|38DUR|4589aVULN|6RCR|78DMG|8BPWR
3	53783 33343	7	 * 	295.15	DCR|4VULN|2DMG|2TLV|1DUR|1CDMG	1MBVNT|258aVULN|3DUR|48TLV|6RCR|78DMG|8BPWR|9CDMG
4	53244 47448	4	 * 	294.18	DCR|5VULN|2DUR|2ASPD|2LIT	1MBVNT|2458aVULN|34ASPD|4aBPWR|6aDUR|7aLIT|9RCR
5	53246 13448	8	   	294.18	DCR|5VULN|2DUR|2ASPD|2LIT	1MBVNT|2458aVULN|34ASPD|4aBPWR|6aDUR|7aLIT|9RCR
6	53246 13448	7	   	294.18	DCR|5VULN|2DUR|2ASPD|2LIT	1MBVNT|2458aVULN|34ASPD|4aBPWR|6aDUR|7aLIT|9RCR
7	23112 13331	10	 * 	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	19aVULN|2BELT|39aDUR|4CGEN|5RCVC|6ASPD|7RCR|89aDMG|9aBPWR
8	24315 31631	10	   	293.57	DCR|3VULN|3DMG|3DUR|1ASPD	19aVULN|29aDUR|3ERES|4ASPD|59aDMG|6RCR|7RCVC|8BELT|9aBPWR
9	23166 13331	10	   	293.57	DCR|3VULN|3DMG|3DUR|1ASPD	19aVULN|2BELT|39aDUR|4RCVC|5ERES|6ASPD|7RCR|89aDMG|9aBPWR
10	24315 32631	10	   	293.47	DCR|3VULN|3DMG|3DUR|1ASPD	19aVULN|29aDUR|37ERES|4ASPD|59aDMG|6RCR|8BELT|9aBPWR
11	53281 47434	9	 * 	292.83	DCR|4VULN|3DUR|2ASPD|3LIT|1SELL	1MBVNT|279aVULN|3aASPD|479LIT|579DUR|6SELL|79aBPWR|8RCR
12	53244 46384	4	 * 	292.45	DCR|5VULN|3DUR|2ASPD	1MBVNT|24589VULN|34ASPD|489BPWR|689DUR|789ERES|aRCR
13	53246 11384	7	   	292.45	DCR|5VULN|3DUR|2ASPD	1MBVNT|24589VULN|34ASPD|489BPWR|689DUR|789ERES|aRCR
14	51453 33332	7	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1MBVNT|2RMIN|38DUR|4589VULN|6RCR|78DMG|8BPWR|aTLV
15	53246 64324	9	 * 	290.94	DCR|4VULN|3ASPD|2CDMG|1TLV|1DUR	1MBVNT|2457VULN|347ASPD|47BPWR|67CDMG|8DUR|9RCR|aTLV
16	23133 43634	10	 * 	289.35	DCR|4VULN|3DUR|2DMG	169aVULN|2BELT|349DUR|5LEGI|7RCR|89DMG|9BPWR
17	23133 43635	9	   	289.35	DCR|4VULN|3DUR|2DMG	169aVULN|2BELT|349DUR|5LEGI|7RCR|89DMG|9BPWR
