0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13123 16543	7	 * 	279.54	DCR|5VULN|1DMG|1TLV|1DUR	13457VULN|25ERES|5BPWR|6RCR|8DUR|9TLV|aDMG
2	14113 35322	1	 * 	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1679VULN|23DMG|4DUR|5BEXP|8RCR|aTLV
3	15333 56332	10	 * 	276.12	DCR|4VULN|2DMG|3ASPD	157aVULN|23BEXP|4aDMG|68aASPD|9RCR|aBPWR
4	14113 35321	1	 * 	276.02	DCR|4VULN|2DMG|2DUR	1679VULN|23DMG|4aDUR|5BEXP|8RCR
5	14131 43622	1	 * 	275.52	DCR|2VULN|3DMG|3DUR|2CDMG	17VULN|239DMG|4BELT|57aDUR|67CDMG|7BPWR|8RCR
6	14131 33141	1	   	270.41	DCR|2VULN|3DMG|3DUR|2LIT	1aVULN|236DMG|4BELT|568DUR|6aBPWR|7aLIT|9RCR
7	15426 24331	1	   	269.85	DCR|4VULN|2DMG|1TLV	178aVULN|2aLHND|3MBVNT|4LIT|5TLV|6RCR|9aDMG|aBPWR
8	14113 35352	1	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	167VULN|23DMG|49DUR|5BEXP|8RCR|aTLV
9	12162 31113	4	 * 	269.19	DCR|3VULN|3DMG|2DUR|1SELL	17aVULN|2RPLT|3SELL|457LWND|67aDMG|7aBPWR|8aDUR|9RCR
10	12162 51113	6	 * 	269.19	DCR|3VULN|3DMG|2DUR|1SELL	17aVULN|2RPLT|3SELL|467LWND|57aDMG|7aBPWR|8aDUR|9RCR
11	12163 31113	5	 * 	269.19	DCR|3VULN|3DMG|2DUR|1SELL	17aVULN|2RPLT|3SELL|457LWND|67aDMG|7aBPWR|8aDUR|9RCR
12	54162 31113	4	 * 	269.19	DCR|3VULN|3DMG|2DUR|1SELL	1RPLT|27aVULN|3SELL|457LWND|67aDMG|7aBPWR|8aDUR|9RCR
13	54163 31113	5	 * 	269.19	DCR|3VULN|3DMG|2DUR|1SELL	1RPLT|27aVULN|3SELL|457LWND|67aDMG|7aBPWR|8aDUR|9RCR
14	13112 62365	10	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1368VULN|2ERES|4CDMG|56DUR|6BPWR|7BELT|9TLV|aRCR
15	13122 65124	8	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	1349VULN|2ERES|57DUR|6TLV|8CDMG|aRCR
16	13123 43134	8	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	1345VULN|25ERES|5BPWR|6TLV|79DUR|8CDMG|aRCR
