0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43342 52221	2	 * 	315.73	DCR|5VULN|2DMG|2DUR|2TLV	18DUR|29DMG|3468aVULN|58TLV|7RCR|8BPWR
2	43342 52223	2	 * 	311.84	DCR|4VULN|3DMG|2DUR|2TLV	18DUR|29aDMG|3468VULN|58TLV|7RCR|8BPWR
3	43342 52222	2	   	307.19	DCR|4VULN|2DMG|2DUR|2TLV|1ASPD	18DUR|29DMG|3468VULN|58TLV|7RCR|8BPWR|aASPD
4	43352 22235	2	 * 	305.30	DCR|4VULN|3DMG|3DUR	18aDUR|268DMG|358aVULN|4RMIN|7RCR|8aBPWR|9aCGEN
5	43225 41332	10	   	299.14	DCR|3VULN|3DMG|2DUR|1TLV|1CDMG	17DUR|247DMG|3LHND|5CDMG|679VULN|7BPWR|8TLV|aRCR
6	43342 52211	2	   	298.14	DCR|5VULN|2DUR|2TLV|1DMG	18DUR|2DMG|3468aVULN|58TLV|7RCR|8BPWR|9DMSP
7	43342 22211	2	   	296.19	DCR|4VULN|2DMG|2DUR|2TLV	18DUR|26DMG|348aVULN|58TLV|7RCR|8BPWR|9DMSP
8	43342 52213	2	   	296.19	DCR|4VULN|2DMG|2DUR|2TLV	18DUR|2aDMG|3468VULN|58TLV|7RCR|8BPWR|9DMSP
9	43362 52221	2	   	295.76	DCR|5VULN|2DMG|2DUR	18DUR|29DMG|3568aVULN|48MLV|7RCR|8BPWR
10	43343 22221	2	   	295.56	DCR|5VULN|2DMG|2DUR	18DUR|29DMG|3458aVULN|68ERES|7RCR|8BPWR
11	34323 14152	5	   	291.88	DCR|4VULN|3DMG|2DUR	1RPLT|268DMG|3789VULN|4RMIN|58DUR|8BPWR|aRCR
12	43362 52223	2	   	291.88	DCR|4VULN|3DMG|2DUR	18DUR|29aDMG|3568VULN|48MLV|7RCR|8BPWR
13	43352 23152	2	   	291.88	DCR|4VULN|3DMG|2DUR	18DUR|268DMG|3589VULN|4RMIN|7RPLT|8BPWR|aRCR
14	43343 22223	2	   	291.68	DCR|4VULN|3DMG|2DUR	18DUR|29aDMG|3458VULN|68ERES|7RCR|8BPWR
15	43342 52212	2	   	289.60	DCR|4VULN|2DUR|2TLV|1DMG|1ASPD	18DUR|2DMG|3468VULN|58TLV|7RCR|8BPWR|9DMSP|aASPD
16	43342 22213	2	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	18DUR|26aDMG|348VULN|58TLV|7RCR|8BPWR|9DMSP
17	43342 22221	2	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	18DUR|269DMG|348VULN|58TLV|7RCR|8BPWR|aLHND
18	43342 22224	2	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	18DUR|269DMG|348VULN|58TLV|7RCR|8BPWR|aZMB
19	43342 22222	2	   	289.10	DCR|3VULN|3DMG|2DUR|2TLV	18DUR|269DMG|348VULN|58TLV|7RCR|8BPWR|aDUST
20	43342 22223	2	   	289.10	DCR|3VULN|3DMG|2DUR|2TLV	18DUR|269DMG|348VULN|58TLV|7RCR|8BPWR|aERES
21	43342 22225	2	   	289.10	DCR|3VULN|3DMG|2DUR|2TLV	18DUR|269DMG|348VULN|58TLV|7RCR|8BPWR|aBBNT
22	43362 52222	2	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	18DUR|29DMG|3568VULN|48MLV|7RCR|8BPWR|aASPD
23	43343 22222	2	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	18DUR|29DMG|3458VULN|68ERES|7RCR|8BPWR|aASPD
