0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13231 43612	3	 * 	287.25	DCR|4VULN|3DMG|3CDMG	145FEWX|28aDMG|38aCDMG|6RCR|789aVULN|8aBPWR
2	36125 63321	10	 * 	278.85	DCR|3VULN|3DUR|1DMG|2CDMG|1AART	1BELT|279DUR|37aVULN|47CDMG|5AART|6RCR|7BPWR|8DMG
3	36125 63331	8	   	276.62	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD|1AART	1BELT|27DUR|379VULN|47CDMG|5AART|6RCR|7BPWR|8DMG|aASPD
4	36133 46331	7	 * 	276.47	DCR|3VULN|3DUR|2DMG|1AART	1BELT|248DUR|358VULN|68DMG|7AART|8BPWR|9RMIN|aRCR
5	23351 61141	5	 * 	276.32	DCR|4VULN|2DMG|3ASPD	167BEXP|28DMG|3RPLT|478aVULN|578ASPD|78BPWR|9RCR
6	16152 61132	6	 * 	275.78	DCR|4VULN|2DUR|3CDMG|1ASPD	127FEWX|38DUR|478CDMG|578aVULN|6RCR|78BPWR|9ASPD
7	23252 62522	10	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1BEXP|2aDMG|3CDMG|4TLV|5789VULN|6RCR
8	61132 62522	10	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1LWND|2789VULN|3aDMG|4CDMG|5TLV|6RCR
9	63132 62522	10	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1LWND|2aDMG|3789VULN|4CDMG|5TLV|6RCR
10	51323 21155	8	 * 	274.89	DCR|4VULN|2DUR|1DMG|1TLV	1aCGEN|269aVULN|3RPLT|4TLV|5DMG|7aDUR|8RCR|aBPWR
11	23252 62321	10	   	273.75	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|579aVULN|6RCR|8DUR
12	23252 62531	10	   	273.75	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2DMG|3CDMG|4TLV|578aVULN|6RCR|9DUR
13	61132 62531	10	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|278aVULN|3DMG|4CDMG|5TLV|6RCR|9DUR
14	61132 62532	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|278aVULN|3DMG|4CDMG|5TLV|6RCR|9DUR
15	61132 62621	10	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|279aVULN|3DMG|4CDMG|5TLV|6RCR|8DUR
16	61132 62622	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|279aVULN|3DMG|4CDMG|5TLV|6RCR|8DUR
17	63132 62531	10	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2DMG|378aVULN|4CDMG|5TLV|6RCR|9DUR
18	63132 62532	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2DMG|378aVULN|4CDMG|5TLV|6RCR|9DUR
19	63132 62621	10	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2DMG|379aVULN|4CDMG|5TLV|6RCR|8DUR
20	63132 62622	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2DMG|379aVULN|4CDMG|5TLV|6RCR|8DUR
