0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22462 23163	2	 * 	280.78	DCR|5VULN|3DMG	1BELT|289DMG|34789VULN|5RCVC|689CGEN|89BPWR|aRCR
2	22231 53525	3	 * 	279.10	DCR|3VULN|3DMG|2DUR|1AART	1BELT|278DMG|37aZMB|47aVULN|5AART|6RCR|7aBPWR|9aDUR
3	34442 23133	7	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1CGEN|2489VULN|3aDMG|5TLV|6RCR|7DUR
4	34442 23133	8	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1CGEN|2489VULN|3aDMG|5TLV|6RCR|7DUR
5	16121 63112	2	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18MLV|2AART|349VULN|58DUR|68DMG|7RCR|8BPWR|aCDMG
6	16422 63112	2	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18MLV|2AART|35DUR|489VULN|68DMG|7RCR|8BPWR|aCDMG
7	16121 65123	2	 * 	276.47	DCR|3VULN|3DUR|2DMG|1AART	17MLV|2AART|34aVULN|578DUR|67DMG|7BPWR|9RCR
8	16121 63163	2	   	276.47	DCR|3VULN|3DUR|2DMG|1AART	18MLV|2AART|34aVULN|589DUR|68DMG|7RCR|8BPWR
9	16121 63114	2	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	18MLV|2AART|349VULN|58DUR|68DMG|7RCR|8BPWR|aLIT
10	34442 23131	7	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1CGEN|2489VULN|3DMG|5TLV|6RCR|7DUR|aASPD
11	34442 23131	8	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1CGEN|2489VULN|3DMG|5TLV|6RCR|7DUR|aASPD
12	34143 52332	7	   	270.58	DCR|5VULN|1TLV|1DUR|1ASPD	1CGEN|2459aVULN|3TLV|6DUR|7RCR|8ASPD
13	23431 42423	5	 * 	270.06	DCR|4VULN|3CDMG|3LIT|1DUR	1BELT|247LIT|3479VULN|479BPWR|579CDMG|6RCR|8RCVC|aDUR
14	23263 12526	10	   	269.91	DCR|4VULN|2DMG|2LIT|1AART	1BELT|2aLIT|3RMIN|4aDMG|567aVULN|8RCR|9AART|aBPWR
15	53131 51134	1	 * 	269.72	DCR|4VULN|2TLV|1DMG|1CDMG	1aLHND|2CDMG|349aVULN|5DMG|6RCR|7LIT|8aTLV|aBPWR
16	63131 51134	1	   	269.72	DCR|4VULN|2TLV|1DMG|1CDMG	1aBEXP|2CDMG|349aVULN|5DMG|6RCR|7LIT|8aTLV|aBPWR
17	14442 23123	8	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1MLV|248VULN|3aDMG|5TLV|6RCR|79DUR
18	34442 23123	7	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1CGEN|248VULN|3aDMG|5TLV|6RCR|79DUR
19	34442 23123	8	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1CGEN|248VULN|3aDMG|5TLV|6RCR|79DUR
20	14312 16522	3	 * 	268.52	DCR|3VULN|2DMG|2ASPD|1TLV	1MLV|24aVULN|3ZMB|5LIT|6aASPD|7RCR|8TLV|9aDMG|aBPWR
21	34112 16622	3	   	268.52	DCR|3VULN|2DMG|2ASPD|1TLV	1CGEN|24aVULN|3TLV|5LIT|6aASPD|7ZMB|8RCR|9aDMG|aBPWR
22	34312 16622	2	   	268.52	DCR|3VULN|2DMG|2ASPD|1TLV	1CGEN|24aVULN|3TLV|5LIT|6aASPD|7ZMB|8RCR|9aDMG|aBPWR
23	52351 52213	2	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	17LHND|2DUST|379VULN|4aDUR|5CDMG|67DMG|7BPWR|8RCR
24	23166 21116	1	   	266.81	DCR|3VULN|3DUR|2DMG	1BELT|2DMSP|35aVULN|46aDUR|7aDMG|8RCVC|9RCR|aBPWR
25	16121 63141	2	   	265.64	DCR|2VULN|3DMG|2DUR|1CDMG|1AART	18MLV|2AART|34VULN|58DUR|689DMG|7RCR|8BPWR|aCDMG
26	14143 52322	7	 * 	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1MLV|245aVULN|3TLV|69DUR|7RCR|8ASPD
27	34143 52322	7	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1CGEN|245aVULN|3TLV|69DUR|7RCR|8ASPD
28	12342 26333	7	 * 	265.25	DCR|4VULN|2DMG|2TLV	17MLV|2ERES|3479VULN|57TLV|6RCR|7BPWR|8aDMG
29	32342 26333	7	   	265.25	DCR|4VULN|2DMG|2TLV	17CGEN|2ERES|3479VULN|57TLV|6RCR|7BPWR|8aDMG
