0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12432 36353	10	 * 	278.20	DCR|3VULN|3DMG|1TLV|1DUR	19CGEN|269VULN|3LIT|4DUR|569DMG|69BPWR|7DLOT|8RCR|aTLV
2	12432 36353	9	 * 	273.05	DCR|4VULN|3DMG|1DUR	19CGEN|269aVULN|3LIT|4DUR|569DMG|69BPWR|7DLOT|8RCR
3	32436 13363	8	 * 	267.62	DCR|3VULN|2TLV|2DUR|1DMG	1ZMB|259VULN|3LIT|4DMG|69TLV|7FEWX|89DUR|9BPWR|aRCR
4	12432 33361	10	 * 	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CGEN|26VULN|3LIT|48DUR|56DMG|6BPWR|7CDMG|9TLV|aRCR
5	52432 33361	10	   	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ERES|26VULN|3LIT|48DUR|56DMG|6BPWR|7CDMG|9TLV|aRCR
6	12343 12365	10	   	265.84	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	1CGEN|2aVULN|3SELL|4ASPD|5TLV|6aDMG|7CDMG|8RCR|9aDUR|aBPWR
7	12432 36352	9	   	265.65	DCR|3VULN|3DMG|1DUR|1CDMG	19CGEN|269VULN|3LIT|4DUR|569DMG|69BPWR|7DLOT|8RCR|aCDMG
8	23413 52163	8	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|29ZMB|3LIT|4TLV|59DMG|6DUR|789VULN|9BPWR|aRCR
9	12432 32624	9	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|26aVULN|3LIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9RMIN
10	12412 25316	10	   	262.10	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1CGEN|2aVULN|3LIT|4MLV|5aDMG|6AART|7TLV|8RCR|9aDUR|aBPWR
11	12432 32625	8	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1CGEN|26VULN|3LIT|4aDUR|56DMG|6BPWR|7TLV|8RCR|9AART
12	12432 32625	7	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1CGEN|26VULN|3LIT|4aDUR|56DMG|6BPWR|7TLV|8RCR|9AART
13	52432 36211	10	   	261.46	DCR|3VULN|3DMG|1DUR|1AART	1ERES|269VULN|3LIT|4DUR|568DMG|6BPWR|7AART|aRCR
14	32433 13363	8	 * 	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1ZMB|29VULN|3LIT|45DMG|69TLV|7FEWX|89DUR|9BPWR|aRCR
15	16363 32163	8	 * 	259.23	DCR|3VULN|2DMG|2DUR	1CGEN|29DMG|3ASPD|4LIT|59DUR|6FEWX|789VULN|9BPWR|aRCR
16	32522 12514	8	 * 	258.94	DCR|4VULN|2DMG|1TLV	1aZMB|237aVULN|4TLV|5DUST|6RMIN|8RCR|9aDMG|aBPWR
17	32523 53131	10	   	258.94	DCR|4VULN|2DMG|1TLV	1aZMB|236aVULN|4TLV|5RCVC|7ERES|8aDMG|9RCR|aBPWR
18	53512 13216	7	   	258.94	DCR|4VULN|2DMG|1TLV	1aERES|24LWND|348aVULN|4aBPWR|5CGEN|6RCR|7TLV|9aDMG
19	12432 33661	10	   	257.95	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1CGEN|26VULN|38LIT|4DUR|56DMG|6BPWR|7CDMG|9TLV|aRCR
20	12432 33261	10	 * 	257.72	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1CGEN|26VULN|3LIT|4DUR|56DMG|6BPWR|78CDMG|9TLV|aRCR
21	52432 33261	10	   	257.62	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1ERES|26VULN|3LIT|4DUR|56DMG|6BPWR|78CDMG|9TLV|aRCR
22	12432 31614	9	   	257.29	DCR|4VULN|2DMG|1DUR	1CGEN|269aVULN|3LIT|4DUR|56DMG|6BPWR|7LWND|8RCR
23	11516 32153	6	 * 	255.48	DCR|4VULN|2TLV|1DUR|1AART	17CGEN|24LHND|3479VULN|47BPWR|5AART|67TLV|8RCR|aDUR
24	52432 36313	9	   	255.09	DCR|2VULN|2DMG|1TLV|2AART|1DUR	1ERES|26VULN|3LIT|4DUR|56DMG|6BPWR|79AART|8RCR|aTLV
25	12432 32622	7	   	253.96	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	1CGEN|26VULN|3aLIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9AART
26	12432 32622	8	   	253.96	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	1CGEN|26VULN|3aLIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9AART
27	52161 11226	8	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	15aERES|28aVULN|3TLV|4DUR|6RCR|7BELT|9aDMG|aBPWR
28	52432 32622	7	   	253.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	1ERES|26VULN|3aLIT|4DUR|56DMG|6BPWR|7TLV|8RCR|9AART
29	52432 36313	8	   	253.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	1ERES|26VULN|39LIT|4DUR|56DMG|6BPWR|7AART|8RCR|aTLV
30	52432 36311	9	   	253.58	DCR|3VULN|2DMG|2AART|1DUR	1ERES|26aVULN|3LIT|4DUR|56DMG|6BPWR|79AART|8RCR
31	52432 36313	10	   	253.58	DCR|3VULN|2DMG|2AART|1DUR	1ERES|26aVULN|3LIT|4DUR|56DMG|6BPWR|79AART|8RCR
32	12432 32615	10	   	253.41	DCR|2VULN|3DMG|1TLV|1DUR	1CGEN|26VULN|3LIT|4DUR|56aDMG|6BPWR|7TLV|8RCR|9LWND
33	12432 32625	9	   	253.41	DCR|2VULN|3DMG|1TLV|1DUR	1CGEN|26VULN|3LIT|4DUR|56aDMG|6BPWR|7TLV|8RCR|9RMIN
34	12432 32635	10	   	253.41	DCR|2VULN|3DMG|1TLV|1DUR	1CGEN|26VULN|3LIT|4DUR|56aDMG|6BPWR|7TLV|8RCR|9FEWX
35	32522 52163	7	   	253.34	DCR|3VULN|3DMG|1TLV	1ZMB|237VULN|4TLV|5DUST|68aDMG|9RCR
36	23121 12655	1	 * 	253.32	DCR|3VULN|3DUR|1DMG|2LIT	179BEXP|26LIT|379VULN|479DUR|5BELT|79BPWR|8RCR|aDMG
37	12432 32653	10	   	253.16	DCR|2VULN|3DMG|1TLV|1DUR|1SELL	1CGEN|26VULN|3LIT|4DUR|56aDMG|6BPWR|7TLV|8RCR|9SELL
38	32432 62163	8	   	253.04	DCR|3VULN|2TLV|1DMG|1DUR	1ZMB|289VULN|3LIT|4DMG|59LHND|6DUR|79TLV|9BPWR|aRCR
