0	Index      	 *	Score 	Summary	Detail	
1	33151 11516	 * 	284.32	橙橙3易伤1等级	134易伤23散射对绿3序列升级5随机技能69核7攻速8平台a等级
2	33662 12223	 * 	275.14	橙4易伤3伤害2等级	1679易伤2散射对绿3双倍秒伤47等级567伤害67序列升级8加一a核
3	33151 11513	   	271.77	橙橙3易伤1暴击	134易伤23散射对绿3序列升级5随机技能69核7攻速8平台a暴击
4	33551 11513	   	271.77	橙橙3易伤1暴击	134易伤2散射对绿5随机技能69核7攻速8平台a暴击
5	33662 12623	   	271.68	橙3易伤3伤害2等级1矿等	167易伤2散射对绿3双倍秒伤47等级567伤害67序列升级8策反9矿等a核
6	32325 62216	   	268.79	橙橙2易伤1等级1时间	19易伤2赏金塔3随机矿4时间5等级6雷电7a核8火球减费
7	33662 12613	   	263.02	橙3易伤3伤害2等级	167易伤2散射对绿3双倍秒伤47等级567伤害67序列升级8策反9攻速a核
8	33662 12513	   	262.92	橙3易伤3伤害2等级	167易伤2散射对绿3双倍秒伤47等级567伤害67序列升级8掉矿9攻速a核
9	36246 23233	 * 	262.75	橙橙2易伤1伤害1时间	15易伤2时间38金币生成4双倍秒伤6伤害7a核9随机矿
10	33132 11565	   	259.49	橙4易伤2伤害2等级1技能	136a易伤23散射对绿3a序列升级4a伤害5雷电减费7技能8核9a等级
11	32326 62216	   	258.19	橙橙2易伤1矿等1时间	19易伤2赏金塔3随机矿4时间5矿等6雷电7a核8火球减费
12	33151 11511	   	258.12	橙橙3易伤	134易伤23散射对绿3序列升级5随机技能69核7攻速8平台a低血量敌人
13	33151 11512	   	258.12	橙橙3易伤	134易伤23散射对绿3序列升级5随机技能69核7攻速8平台a立即金币
14	33551 11511	   	258.12	橙橙3易伤	134易伤2散射对绿5随机技能69核7攻速8平台a低血量敌人
15	33551 11512	   	258.12	橙橙3易伤	134易伤2散射对绿5随机技能69核7攻速8平台a立即金币
16	33151 11515	   	258.02	橙橙3易伤	134易伤23散射对绿3序列升级5随机技能69核7攻速8平台a火球减费
17	36634 31111	 * 	256.34	橙橙1易伤1喷火对甲1时间1暴击	1易伤2时间3喷火对甲4火球减费5最后敌人6a核7平台8暴击9基地爆炸
18	36631 31111	   	256.24	橙橙1易伤1喷火对甲1时间1暴击	1易伤2时间3喷火对甲4火球减费5雷电减费6a核7平台8暴击9基地爆炸
19	36631 31151	   	256.24	橙橙1易伤1喷火对甲1时间1暴击	1易伤2时间3喷火对甲4火球减费5雷电减费6a核7平台8暴击9敌人爆炸
20	36634 31131	   	256.24	橙橙1易伤1喷火对甲1时间1暴击	1易伤2时间3喷火对甲4火球减费5最后敌人6a核7平台8暴击9挖尘
21	36631 31131	   	256.14	橙橙1易伤1喷火对甲1时间1暴击	1易伤2时间3喷火对甲4火球减费5雷电减费6a核7平台8暴击9挖尘
22	33662 12213	   	255.98	橙3易伤3伤害2等级	167易伤2散射对绿3双倍秒伤47等级567伤害67序列升级8加一9立即金币a核
23	33662 12243	   	255.88	橙3易伤3伤害2等级	167易伤2散射对绿3双倍秒伤47等级567伤害67序列升级8加一9毒气减费a核
24	32613 25363	 * 	255.14	橙橙2易伤2时间	17易伤2赏金塔37时间4随机技能5最后敌人67导弹对绿7序列升级8a核9敌人爆炸
25	32613 25343	   	255.04	橙橙2易伤2时间	17易伤2赏金塔37时间4随机技能5最后敌人67导弹对绿7序列升级8a核9挖尘
