0	Index      	 *	Score 	Summary	Detail	
1	41126 12214	 * 	244.26	DCR|2VULN|2MLV|2DUR|1TLV|1DMG|1AAC	17DUR|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aTLV
2	42564 22222	 * 	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2DMSP|3MBVNT|4LWND|5RAT|6MDPS|78RCR|9VULN|aTLV
3	42433 13512	 * 	242.40	DCR|2VULN|2TLV|2DUR|1DMG|1MLV	18DUR|29DMSP|3MLV|48TLV|5DMG|6ERES|78VULN|8BPWR|aRCR
4	42433 33512	   	242.40	DCR|2VULN|2TLV|2DUR|1DMG|1MLV	18DUR|29DMSP|3MLV|48TLV|5DMG|6AME|78VULN|8BPWR|aRCR
5	44121 25221	 * 	240.30	DCR|3VULN|2MLV|2DUR|1DMG|1AAC	19DUR|2BBNT|3AAC|469VULN|5RMIN|79MLV|8RCR|9BPWR|aDMG
6	41126 12251	   	240.20	DCR|3VULN|2MLV|2DUR|1DMG|1AAC	17DUR|2ERES|3BBNT|479VULN|57MLV|6AAC|7BPWR|8RCR|aDMG
7	21326 52213	 * 	238.91	DCR|3DMG|1VULN|2DUR|1TLV|1MLV	17AME|2TBNT|37DUR|4VULN|5MLV|679DMG|7BPWR|8RCR|aTLV
8	26326 52213	   	238.91	DCR|3DMG|1VULN|2DUR|1TLV|1MLV	17AME|2BBNT|37DUR|4VULN|5MLV|679DMG|7BPWR|8RCR|aTLV
9	41126 52213	   	238.91	DCR|3DMG|1VULN|2DUR|1TLV|1MLV	17DUR|27ERES|3BBNT|4VULN|5MLV|679DMG|7BPWR|8RCR|aTLV
10	61326 52213	   	238.91	DCR|3DMG|1VULN|2DUR|1TLV|1MLV	17ERES|2TBNT|37DUR|4VULN|5MLV|679DMG|7BPWR|8RCR|aTLV
11	21511 52213	 * 	237.06	DCR|2VULN|3DMG|1TLV|1DUR	17AME|2TBNT|37VULN|4CGEN|5DUR|679DMG|7BPWR|8RCR|aTLV
12	26511 52213	   	237.06	DCR|2VULN|3DMG|1TLV|1DUR	17AME|2BBNT|37VULN|4CGEN|5DUR|679DMG|7BPWR|8RCR|aTLV
13	16631 14322	 * 	236.55	DCR|DCR|1VULN|1DMG|1AART	1BELT|2LWND|3AART|4BBNT|5CGEN|69RCR|7DMG|8RMIN|aVULN
14	21265 14322	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1AME|2TBNT|3AART|4BEXP|5BELT|69RCR|7DMG|8RMIN|aVULN
15	44212 22143	 * 	235.15	DCR|2VULN|3DMG|3DUR|1AAC	179DUR|2BBNT|39VULN|479DMG|578FEWX|6AAC|79BPWR|aRCR
16	42541 13141	 * 	234.05	DCR|2VULN|2DMG|2DUR|1TLV	1aDUR|2DMSP|3MBVNT|4aVULN|5LHND|6RMIN|7TLV|8aDMG|9RCR|aBPWR
17	42542 13141	   	234.05	DCR|2VULN|2DMG|2DUR|1TLV	1aDUR|2DMSP|3MBVNT|4aVULN|5BEXP|6RMIN|7TLV|8aDMG|9RCR|aBPWR
18	42546 13141	   	233.95	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE	1aDUR|2DMSP|3MBVNT|4aVULN|5NUKE|6LHND|7TLV|8aDMG|9RCR|aBPWR
19	22455 22113	 * 	233.28	DCR|2DMG|2TLV|1VULN|2MLV|1DUR|1SELL	1AME|2aTLV|3CANTOX|4DUR|5SELL|6aMLV|7VULN|8aDMG|9RCR|aBPWR
20	22655 22113	 * 	233.28	DCR|2DMG|2TLV|1VULN|2MLV|1DUR|1SELL	1AME|2aTLV|3BASICY|4DUR|5SELL|6aMLV|7VULN|8aDMG|9RCR|aBPWR
21	21511 52251	 * 	232.99	DCR|3VULN|3DMG|1DUR	17AME|2TBNT|379VULN|4CGEN|5DUR|67aDMG|7BPWR|8RCR
22	21326 12214	   	231.71	DCR|2VULN|2MLV|1TLV|1DMG|1AAC|1DUR	17AME|2TBNT|3DUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aTLV
23	26326 12214	   	231.71	DCR|2VULN|2MLV|1TLV|1DMG|1AAC|1DUR	17AME|2BBNT|3DUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aTLV
24	41126 12211	   	231.71	DCR|2VULN|2MLV|2DUR|1DMG|1AART|1AAC	17DUR|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aAART
25	61326 12214	   	231.71	DCR|2VULN|2MLV|1TLV|1DMG|1DUR|1AAC	17ERES|2TBNT|3DUR|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG|aTLV
26	21313 32251	 * 	229.79	DCR|3VULN|2DMG|2DUR	17AME|2TBNT|37DUR|4CGEN|5aDMG|679VULN|7BPWR|8RCR
27	26313 32251	   	229.79	DCR|3VULN|2DMG|2DUR	17AME|2BBNT|37DUR|4CGEN|5aDMG|679VULN|7BPWR|8RCR
28	41113 32251	   	229.79	DCR|3VULN|2DMG|2DUR	17DUR|27ERES|3BBNT|4CGEN|5aDMG|679VULN|7BPWR|8RCR
29	61313 32251	   	229.79	DCR|3VULN|2DMG|2DUR	17ERES|2TBNT|37DUR|4CGEN|5aDMG|679VULN|7BPWR|8RCR
30	41126 12215	 * 	229.51	DCR|2VULN|3DUR|2MLV|1DMG|1AAC	17aDUR|2ERES|3BBNT|47VULN|57MLV|6AAC|7BPWR|8RCR|9DMG
