0	Index      	 *	Score 	Summary	Detail	
1	34632 63221	 * 	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1RMIN|2TLV|3ZMB|4BBNT|5BEXP|68VULN|7aRCR|9CDMG
2	43612 63221	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG|1AAC	1AAC|2TBNT|3TLV|4AME|5BEXP|68VULN|7aRCR|9CDMG
3	33253 23261	 * 	261.80	DCR|DCR|2DMG|1TLV|1DUR|1CDMG	1RMIN|2TBNT|3CDMG|49DMG|5DUST|6aRCR|7TLV|8DUR
4	35253 23261	   	261.80	DCR|DCR|2DMG|1TLV|1DUR|1CDMG	1RMIN|2BBNT|3CDMG|49DMG|5DUST|6aRCR|7TLV|8DUR
5	24363 23131	 * 	260.45	DCR|DCR|2DMG|1VULN|2CDMG	1LHND|2TBNT|38CDMG|49DMG|5FEWX|6VULN|7aRCR
6	36632 63221	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1RMIN|2MLV|3ZMB|4BBNT|5BEXP|68VULN|7aRCR|9CDMG
7	41224 63221	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1AAC|2DUR|36BEXP|48VULN|5TBNT|7aRCR|9CDMG
8	41316 63221	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1AAC|2DUR|3BBNT|4BEXP|5DMSP|68VULN|7aRCR|9CDMG
9	42632 63221	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	1AAC|2AEPOI|3DUR|4BBNT|5BEXP|68VULN|7aRCR|9CDMG
10	24363 23631	   	254.14	DCR|DCR|2DMG|1VULN|1CDMG	1LHND|2TBNT|3CDMG|49DMG|58FEWX|6VULN|7aRCR
11	44223 42131	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1AAC|2ASPD	1AAC|2TLV|34ASPD|5TBNT|69RCR|7MLV|8LIT|aDMG
12	23265 62323	 * 	244.38	DCR|DCR|1VULN|2MLV|1DUR	1LHND|2RCVC|35MLV|4DUR|6VULN|7BEXP|8aRCR|9ERES
13	33253 23221	   	244.11	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1RMIN|2TBNT|3CDMG|4DMG|5DUST|6aRCR|7TLV|8DUR|9AEFRZ
14	35253 23221	   	244.11	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1RMIN|2BBNT|3CDMG|4DMG|5DUST|6aRCR|7TLV|8DUR|9AEFRZ
15	24363 23111	   	242.86	DCR|DCR|1VULN|1DMG|2CDMG	19LHND|2TBNT|38CDMG|4DMG|5FEWX|6VULN|7aRCR
16	24363 23121	   	242.86	DCR|DCR|1VULN|1DMG|2CDMG	1LHND|2TBNT|38CDMG|4DMG|5FEWX|6VULN|7aRCR|9RCVC
17	24363 23141	   	242.76	DCR|DCR|1VULN|1DMG|2CDMG	1LHND|2TBNT|38CDMG|4DMG|5FEWX|6VULN|7aRCR|9AEWIND
18	23632 63221	   	242.69	DCR|DCR|2VULN|1CDMG	1LHND|2RCVC|3ZMB|4BBNT|5BEXP|68VULN|7aRCR|9CDMG
19	43136 13221	   	242.69	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2TBNT|3BEXP|48VULN|5DMSP|6FEWX|7aRCR|9CDMG
20	43136 33221	   	242.69	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2TBNT|3BEXP|48VULN|5DMSP|6LHND|7aRCR|9CDMG
21	45136 13221	   	242.69	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2BBNT|3BEXP|48VULN|5DMSP|6FEWX|7aRCR|9CDMG
22	45136 33221	   	242.69	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2BBNT|3BEXP|48VULN|5DMSP|6LHND|7aRCR|9CDMG
23	42132 63221	   	242.59	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2AEPOI|3LWND|4BBNT|5BEXP|68VULN|7aRCR|9CDMG
24	43131 13221	   	242.59	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2TBNT|3BEXP|48VULN|5AEPOI|6FEWX|7aRCR|9CDMG
25	43131 33221	   	242.59	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2TBNT|3BEXP|48VULN|5AEPOI|6LHND|7aRCR|9CDMG
26	45131 13221	   	242.59	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2BBNT|3BEXP|48VULN|5AEPOI|6FEWX|7aRCR|9CDMG
27	45131 33221	   	242.59	DCR|DCR|2VULN|1CDMG|1AAC	1AAC|2BBNT|3BEXP|48VULN|5AEPOI|6LHND|7aRCR|9CDMG
28	34263 12221	 * 	241.91	ACR|DCR|2VULN|1TLV|1CDMG	1RMIN|2TLV|3ASPD|4aRCR|58VULN|6BBNT|7FEWX|9CDMG
29	34263 62321	 * 	239.69	ACR|DCR|2TLV|1VULN|1DUR|1CDMG	1RMIN|26TLV|3ASPD|4aRCR|5VULN|7BBNT|8DUR|9CDMG
