0	Index      	 *	Score 	Summary	Detail	
1	65344 72123	 * 	264.83	DCR|DCR|3VULN|1AART	1BOSS|2aRAT|3MBVNT|4AART|5aERES|68RCR|79aVULN|aBPWR
2	16213 34623	   	258.09	DCR|DCR|2VULN|1MLV|1DUR	1LWND|2ERES|3TBNT|4CANARM|5DUR|6aVULN|79RCR|8MLV
3	65344 72133	 * 	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|7VULN|9TLV|aCDMG
4	65344 72143	 * 	250.10	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|7VULN|9DMG|aCDMG
5	41338 81234	   	250.00	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1ZMB|2AEPOI|3MBVNT|4VULN|5DMG|6TBNT|79RCR|8AART|aCDMG
6	53231 22633	 * 	245.60	DCR|2VULN|3DUR|2DMG|1TLV	1MDPS|27VULN|35DMG|457DUR|57BPWR|67RAT|8ZMB|9RCR|aTLV
7	16213 34621	 * 	244.34	DCR|DCR|1VULN|2DUR|1MLV	1LWND|2ERES|3TBNT|4CANARM|5aDUR|6VULN|79RCR|8MLV
8	13221 36114	 * 	243.64	DCR|3VULN|2DMG|1TLV|1AART	1LWND|2MDPS|35DMG|459VULN|5BPWR|6BOSS|7AART|8RCR|aTLV
9	23364 11312	 * 	242.69	DCR|DCR|1VULN|1FLTARM|1DUR	1FEWX|2MDPS|3DUR|4RPLT|5FLTARM|6LHND|7aRCR|8VULN|9LIT
10	65344 72121	   	242.59	DCR|DCR|2VULN|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|79VULN|aZMB
11	65344 72122	   	242.59	DCR|DCR|2VULN|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|79VULN|aLIT
12	65344 72124	   	242.59	DCR|DCR|2VULN|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|79VULN|aDMSP
13	65344 72132	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|7VULN|9TLV|aFEWX
14	65344 72134	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|7VULN|9TLV|aLHND
15	16213 34223	   	242.49	DCR|DCR|2VULN|1DUR	1LWND|2ERES|3TBNT|4CANARM|5DUR|6aVULN|79RCR|8RMIN
16	11213 34522	   	242.49	DCR|DCR|2VULN|1DUR	1LWND|2CGEN|3TBNT|4CANARM|5DUR|6aVULN|79RCR|8ERES
17	65344 72131	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|7VULN|9TLV|aMDPS
18	16213 34123	   	242.39	DCR|DCR|2VULN|1DUR	1LWND|2ERES|3TBNT|4CANARM|5DUR|6aVULN|79RCR|8AME
19	13221 61324	   	236.93	DCR|3VULN|2DMG|1TLV	1LWND|2MDPS|35DMG|456VULN|5BPWR|7ASPD|8RCR|9LIT|aTLV
20	23221 61324	   	236.93	DCR|3VULN|2DMG|1TLV	1FEWX|2MDPS|35DMG|456VULN|5BPWR|7ASPD|8RCR|9LIT|aTLV
21	41142 31412	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG	1ZMB|2AEPOI|3DMG|4LHND|5CDMG|6LIT|7VULN|89RCR|aDMSP
22	41142 31413	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG	1ZMB|2AEPOI|3DMG|4LHND|5CDMG|6LIT|7VULN|89RCR|aRMIN
23	11213 34224	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2CGEN|3TBNT|4CANARM|5DUR|6VULN|79RCR|8RMIN|aDMG
24	21213 34224	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2CGEN|3TBNT|4CANARM|5DUR|6VULN|79RCR|8RMIN|aDMG
25	41142 31411	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG|1MSE	1ZMB|2AEPOI|3DMG|4LHND|5CDMG|6LIT|7VULN|89RCR|aMSE
26	65344 72142	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|7VULN|9DMG|aFEWX
27	65344 72144	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|7VULN|9DMG|aLHND
28	16213 34224	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2ERES|3TBNT|4CANARM|5DUR|6VULN|79RCR|8RMIN|aDMG
29	26213 34224	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2ERES|3TBNT|4CANARM|5DUR|6VULN|79RCR|8RMIN|aDMG
30	41338 81232	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1ZMB|2AEPOI|3MBVNT|4VULN|5DMG|6TBNT|79RCR|8AART|aBEXP
31	41338 81233	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1ZMB|2AEPOI|3MBVNT|4VULN|5DMG|6TBNT|79RCR|8AART|aLHND
32	11213 34124	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2CGEN|3TBNT|4CANARM|5DUR|6VULN|79RCR|8AME|aDMG
33	11213 34524	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2CGEN|3TBNT|4CANARM|5DUR|6VULN|79RCR|8ERES|aDMG
34	21213 34124	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2CGEN|3TBNT|4CANARM|5DUR|6VULN|79RCR|8AME|aDMG
35	65344 72141	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1BOSS|2RAT|3MBVNT|4AART|5ERES|68RCR|7VULN|9DMG|aMDPS
36	16213 34124	   	236.25	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2ERES|3TBNT|4CANARM|5DUR|6VULN|79RCR|8AME|aDMG
37	26213 34124	   	236.25	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2ERES|3TBNT|4CANARM|5DUR|6VULN|79RCR|8AME|aDMG
