0	Index      	 *	Score 	Summary	Detail	
1	13226 26333	 * 	270.64	ACR|DCR|2VULN|1FLTARM|1DMG|1MLV|1CDMG	1CDMG|26VULN|3RMIN|4aRCR|5DMG|7ERES|8FLTARM|9MLV
2	14143 22215	 * 	270.41	DCR|DCR|1FLTARM|1TLV|2CDMG|1DUR|1AART	15CDMG|2FLTARM|3SPLARM|4TLV|6ZMB|7AART|89RCR|aDUR
3	11516 84434	 * 	265.10	DCR|DCR|2DMG|2TLV|2CDMG	19CDMG|2RMIN|39DMG|48RCVC|5MBVNT|69TLV|7aRCR|9BPWR
4	13533 23637	 * 	264.73	DCR|DCR|3VULN|1CDMG	1CDMG|29aVULN|3MBVNT|4DUST|5BEXP|6RAT|78RCR
5	14143 22211	 * 	262.80	DCR|DCR|1FLTARM|3CDMG|1TLV|1AART	15aCDMG|2FLTARM|3SPLARM|4TLV|6ZMB|7AART|89RCR
6	13613 62325	 * 	258.77	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	15CDMG|2569VULN|3AART|4TBNT|5BPWR|7RCR|8DUR|aTLV
7	21323 35156	 * 	258.29	DCR|DCR|1VULN|1TLV|1MLV|1AART	1CGEN|2VULN|3TBNT|4ZMB|5AART|6RAT|7TLV|8MLV|9aRCR
8	33126 11617	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1AART	1LIT|2AART|3VULN|4MBVNT|5TLV|6MLV|7AIRHEA|8aRCR|9ERES
9	14143 22214	   	256.76	DCR|DCR|1FLTARM|1TLV|2CDMG|1AART	15CDMG|2FLTARM|3SPLARM|4TLV|6ZMB|7AART|89RCR|aFEWX
10	14144 22211	   	256.76	DCR|DCR|1TLV|1FLTARM|2CDMG|1AART	1aCDMG|2FLTARM|3SPLARM|4TLV|5RCVC|6ZMB|7AART|89RCR
11	14143 22212	   	256.66	DCR|DCR|1TLV|1FLTARM|2CDMG|1AART	15CDMG|2FLTARM|3SPLARM|4TLV|6ZMB|7AART|89RCR|aERES
12	14143 22213	   	256.66	DCR|DCR|1FLTARM|1TLV|2CDMG|1AART	15CDMG|2FLTARM|3SPLARM|4TLV|6ZMB|7AART|89RCR|aBBNT
13	14143 22216	   	256.66	DCR|DCR|1FLTARM|1TLV|2CDMG|1AART	15CDMG|2FLTARM|3SPLARM|4TLV|6ZMB|7AART|89RCR|aTBNT
14	21323 21316	   	256.34	DCR|DCR|2VULN|1DUR|1AART	1CGEN|26VULN|3TBNT|4ZMB|5AART|7aRCR|8RAT|9DUR
15	25323 21316	   	256.34	DCR|DCR|2VULN|1DUR|1AART	1CGEN|2BBNT|36VULN|4ZMB|5AART|7aRCR|8RAT|9DUR
