0	Index      	 *	Score 	Summary	Detail	
1	23533 31552	 * 	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1DMSP|2CDMG|3AME|4LWND|5MLV|6aRCR|7VULN|8DUR|9TLV
2	23216 35352	 * 	268.89	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1DMSP|2CDMG|3LWND|4LHND|57DUR|6aRCR|8VULN|9TLV
3	53533 31252	 * 	264.61	DCR|DCR|1VULN|1TLV|2CDMG|1MLV	12CDMG|3AME|4LWND|5MLV|6aRCR|7VULN|8LHND|9TLV
4	56133 31252	   	264.61	DCR|DCR|1VULN|1TLV|2CDMG|1MLV	13CDMG|23AME|3BPWR|4LWND|5MLV|6aRCR|7VULN|8LHND|9TLV
5	23216 33352	   	262.75	DCR|DCR|1VULN|1TLV|2CDMG|1DUR	1DMSP|27CDMG|3LWND|4LHND|5DUR|6aRCR|8VULN|9TLV
6	53216 31352	   	262.75	DCR|DCR|1VULN|1TLV|2CDMG|1DUR	12CDMG|3LWND|4LHND|5DUR|6aRCR|7RCVC|8VULN|9TLV
7	51216 33352	   	262.65	DCR|DCR|1VULN|1TLV|2CDMG|1DUR	17CDMG|2AEFBLL|3LWND|4LHND|5DUR|6aRCR|8VULN|9TLV
8	53321 46223	 * 	262.08	DCR|DCR|2VULN|3CDMG|1AAC	128CDMG|3ASPD|45VULN|6BEXP|7AAC|9aRCR
9	53321 66223	   	262.08	DCR|DCR|2VULN|3CDMG|1AAC	128CDMG|3ASPD|45VULN|6LWND|7AAC|9aRCR
10	53321 56223	   	261.98	DCR|DCR|2VULN|3CDMG|1AAC	128CDMG|3ASPD|45VULN|6DUST|7AAC|9aRCR
11	53316 15223	 * 	261.98	DCR|DCR|1VULN|2DUR|3CDMG|1AAC	128CDMG|3ASPD|46DUR|5AAC|7VULN|9aRCR
12	54113 11142	 * 	258.72	DCR|DCR|2DUR|1TLV|2CDMG|1MLV	14CDMG|2BEXP|3TLV|5MLV|68DUR|7CGEN|9aRCR
13	54113 12142	   	258.62	DCR|DCR|2DUR|1TLV|2CDMG|1MLV	14CDMG|2BEXP|3TLV|5MLV|68DUR|7ERES|9aRCR
14	23533 31252	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1DMSP|2CDMG|3AME|4LWND|5MLV|6aRCR|7VULN|8LHND|9TLV
15	23533 31452	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1DMSP|2CDMG|3AME|4LWND|5MLV|6aRCR|7VULN|8DUST|9TLV
16	51533 31252	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2AEFBLL|3AME|4LWND|5MLV|6aRCR|7VULN|8LHND|9TLV
17	26274 38423	 * 	257.14	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1DMSP|2MBVNT|3ASPD|4DMG|5DUR|6RPLT|7CDMG|8VULN|9aRCR
18	26621 33523	   	257.14	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1DMSP|2MBVNT|3CDMG|4DMG|5VULN|6RPLT|7DUR|8ASPD|9aRCR
19	23214 31552	   	256.54	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DMSP|2CDMG|35LWND|45LHND|5BPWR|6aRCR|7VULN|8DUR|9TLV
20	23214 35352	   	256.54	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DMSP|2CDMG|35LWND|45LHND|5BPWR|6aRCR|7DUR|8VULN|9TLV
21	23216 31352	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DMSP|2CDMG|3LWND|4LHND|5DUR|6aRCR|7RCVC|8VULN|9TLV
22	23242 31552	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DMSP|2CDMG|34LWND|5AETHUN|6aRCR|7VULN|8DUR|9TLV
23	51216 31352	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2AEFBLL|3LWND|4LHND|5DUR|6aRCR|7RCVC|8VULN|9TLV
24	11143 35361	 * 	252.74	4VULN|3DMG|2FLTARM|2TLV|1DUR|1NUKE	1BOSS|2NUKE|357aVULN|47aDMG|67FLTARM|7aBPWR|8DUR|9aTLV
25	54123 11142	   	252.31	DCR|DCR|2DUR|1TLV|1MLV|1CDMG	1CDMG|2BEXP|3TLV|4AEWIND|5MLV|68DUR|7CGEN|9aRCR
26	54123 12142	   	252.21	DCR|DCR|2DUR|1TLV|1MLV|1CDMG	1CDMG|2BEXP|3TLV|4AEWIND|5MLV|68DUR|7ERES|9aRCR
27	53242 31252	   	249.00	DCR|DCR|1VULN|1TLV|2CDMG	12CDMG|34LWND|5AETHUN|6aRCR|7VULN|8LHND|9TLV
28	54113 11342	   	246.27	DCR|DCR|1TLV|2CDMG|1MLV|1DUR	14CDMG|2BEXP|3TLV|5MLV|6DUR|78CGEN|9aRCR
29	42462 31222	 * 	246.02	DCR|3VULN|1FLTARM|1DMG|2CDMG|1AART	1AART|27CDMG|3LIT|47AME|57aVULN|6RCR|7BPWR|8DMG|9FLTARM
30	11143 46333	 * 	245.69	DCR|3VULN|2DMG|1TLV|1MLV|1NUKE	1BOSS|2NUKE|357VULN|47DMG|67RAT|7BPWR|8MLV|9TLV|aRCR
31	53313 56223	 * 	243.54	DCR|DCR|3CDMG|1TLV|1DUR|1AAC	128CDMG|3ASPD|4DUR|5AME|6TLV|7AAC|9aRCR
32	26621 31323	   	243.49	DCR|DCR|1VULN|1DMG|1CDMG	1DMSP|2MBVNT|3CDMG|4DMG|5VULN|6RPLT|7ASPD|8BEXP|9aRCR
