0	Index      	 *	Score 	Summary	Detail	
1	21251 21488	 * 	271.75	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|2TBNT|3TLV|4AETHUN|5VULN|6MBVNT|79RCR|8CDMG|aMLV
2	21221 21376	 * 	268.79	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2TBNT|3TLV|4FEWX|58VULN|6MBVNT|7aRCR|9BELT
3	11211 21376	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TBNT|3TLV|4DUR|58VULN|6MBVNT|7aRCR|9BELT
4	51143 32643	 * 	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV|1AAC	1MLV|2LIT|36DUR|4DMG|5MBVNT|78RCR|9AAC|aVULN
5	25613 31263	 * 	261.05	DCR|3VULN|3DUR|3MLV|1DMG	19aDUR|2RAT|3BOSS|49aMLV|5DMG|6RCR|7MGNBOS|89aVULN|9aBPWR
6	53211 21376	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	1MLV|2FEWX|3TBNT|4DUR|58VULN|6MBVNT|7aRCR|9BELT
7	51421 33341	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1MLV|2LIT|3VULN|4AEBURN|5MDPS|6FEWX|7aRCR|8TLV|9DUR
8	24123 22364	 * 	257.97	ACR|DCR|3DUR|2DMG|1VULN|1CDMG	179DUR|29DMG|3CDMG|4VULN|5aRCR|69BEXP|8DLOT|9BPWR
9	22361 26253	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|25LHND|3VULN|4BEXP|6RAT|7TLV|8aRCR|9AART
10	23321 26253	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2BEXP|3VULN|4RCVC|5LEGI|6RAT|7TLV|8aRCR|9AART
11	23323 26253	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2BEXP|3VULN|4RCVC|5AETHUN|6RAT|7TLV|8aRCR|9AART
12	23361 26253	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|24BEXP|3VULN|5LEGI|6RAT|7TLV|8aRCR|9AART
13	23363 26253	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|24BEXP|3VULN|5AETHUN|6RAT|7TLV|8aRCR|9AART
14	21251 21481	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2TBNT|3TLV|4AETHUN|5VULN|6MBVNT|79RCR|8CDMG|aLIT
15	21251 21482	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2TBNT|3TLV|4AETHUN|5VULN|6MBVNT|79RCR|8CDMG|aBEXP
16	21251 21484	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2TBNT|3TLV|4AETHUN|5VULN|6MBVNT|79RCR|8CDMG|aCGEN
17	21251 21486	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2TBNT|3TLV|4AETHUN|5VULN|6MBVNT|79RCR|8CDMG|aFEWX
18	21251 21483	   	256.04	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2TBNT|3TLV|4AETHUN|5VULN|6MBVNT|79RCR|8CDMG|aBBNT
19	21251 21485	   	256.04	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2TBNT|3TLV|4AETHUN|5VULN|6MBVNT|79RCR|8CDMG|aDUST
20	21251 21487	   	256.04	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2TBNT|3TLV|4AETHUN|5VULN|6MBVNT|79RCR|8CDMG|aAEWIND
21	21221 21476	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	18DUR|2TBNT|3TLV|4FEWX|5VULN|6MBVNT|7aRCR|9BELT
22	11211 21476	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1DUST|2TBNT|3TLV|48DUR|5VULN|6MBVNT|7aRCR|9BELT
23	51113 32543	   	252.41	DCR|DCR|2DUR|1TLV|1MLV|1CDMG	1MLV|2LIT|36DUR|4CDMG|5RPLT|78RCR|9FRZICY|aTLV
24	51143 42643	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1MLV|26LIT|3DUR|4DMG|5MBVNT|78RCR|9AAC|aVULN
25	24121 34332	 * 	250.71	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1DUR|256DMG|3CDMG|49VULN|7TBNT|8TLV|aRCR
26	51143 32641	   	246.07	DCR|DCR|2DUR|1DMG|1MLV|1AAC	1MLV|2LIT|36DUR|4DMG|5MBVNT|78RCR|9AAC|aLHND
27	51143 32642	   	246.07	DCR|DCR|2DUR|1DMG|1MLV|1AAC	1MLV|2LIT|36DUR|4DMG|5MBVNT|78RCR|9AAC|aRAT
28	51143 32644	   	246.07	DCR|DCR|2DUR|1DMG|1MLV|1AAC	1MLV|2LIT|36DUR|4DMG|5MBVNT|78RCR|9AAC|aZMB
29	54211 13253	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1AART	1MLV|2AEPOI|3RAT|4DUR|5BEXP|6VULN|7LWND|8aRCR|9AART
30	51453 33311	   	244.74	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LIT|3VULN|4LWND|5LHND|6FEWX|7aRCR|8TLV|9BEXP
31	53211 21476	   	244.44	DCR|DCR|1VULN|2DUR|1MLV	1MLV|2FEWX|3TBNT|48DUR|5VULN|6MBVNT|7aRCR|9BELT
32	24121 31536	 * 	243.47	DCR|2VULN|3DMG|2DUR|2CDMG	1aDUR|256DMG|3aCDMG|4aVULN|7RCVC|8RCR|9BBNT|aBPWR
33	13414 14123	   	243.29	DCR|DCR|1VULN|1DMG|1DUR	1DUST|2BEXP|3DUR|4MDPS|5TBNT|6aRCR|7DMG|8ASPD|9VULN
34	23313 14163	   	243.29	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2BEXP|3VULN|4MDPS|5TBNT|6aRCR|7DMG|8ASPD|9DUST
35	23156 33334	   	242.79	DCR|DCR|2VULN|1DUR	1DUR|2BEXP|3RMIN|46VULN|5FEWX|7BELT|8aRCR|9LHND
36	23161 21376	   	242.59	DCR|DCR|2VULN|1DUR	1DUR|2BEXP|3RMIN|4TBNT|58VULN|6MBVNT|7aRCR|9BELT
37	21221 22276	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2TBNT|3TLV|47FEWX|5VULN|6MBVNT|8aRCR|9BELT
38	32343 63341	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2AEPOI|3LIT|4BBNT|5VULN|6TLV|7aRCR|8RMIN|9DUR
39	24123 63162	 * 	242.58	ACR|DCR|2VULN|1DMG|1DUR|1CDMG	1DUR|2DMG|3CDMG|47VULN|5aRCR|68RPLT|9ZMB
40	23261 21376	   	242.49	DCR|DCR|2VULN|1DUR	1DUR|2BEXP|3AME|4TBNT|58VULN|6MBVNT|7aRCR|9BELT
41	36155 13331	 * 	242.49	DCR|DCR|1VULN|3CDMG|1DUR	1RCVC|247CDMG|3RPLT|57AEFBLL|69RCR|7BPWR|8DUR|aVULN
42	21221 21276	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2TBNT|3TLV|4FEWX|5VULN|6MBVNT|7aRCR|8AEBURN|9BELT
