0	Index      	 *	Score 	Summary	Detail	
1	36234 22261	 * 	262.75	DCR|DCR|1VULN|1TLV|1DMG|1AART	1LHND|2DMG|3VULN|4RCVC|5TLV|6AART|7aRCR|8ERES|9BOSS
2	66234 21321	 * 	262.69	DCR|3VULN|2TLV|2DUR|1DMG|1AART	138VULN|2DMG|48DUR|58TLV|6DMSP|7AART|8BPWR|9RCR|aZMB
3	66234 21323	   	262.69	DCR|3VULN|2TLV|2DUR|1DMG|1AART	138VULN|2DMG|48DUR|58TLV|6DMSP|7AART|8BPWR|9RCR|aLWND
4	66234 21322	   	262.59	DCR|3VULN|2TLV|2DUR|1DMG|1AART	138VULN|2DMG|48DUR|58TLV|6DMSP|7AART|8BPWR|9RCR|aTBNT
5	32253 61232	 * 	258.19	DCR|DCR|2VULN|1MLV|1DUR	1LHND|2BEXP|34VULN|5VENICY|6TBNT|7DUR|8MLV|9aRCR
6	13441 21232	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1TLV|2TBNT|3MSLFST|4VULN|5CGEN|6LWND|7DUR|8MLV|9aRCR
7	13441 51232	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1TLV|2TBNT|3MSLFST|4VULN|5CGEN|6BEXP|7DUR|8MLV|9aRCR
8	13431 36132	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1TLV|2TBNT|3MSLFST|4DUR|5CGEN|6MLV|7LEGI|8VULN|9aRCR
9	62113 61232	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1VULN|2BEXP|3AME|4TLV|5BLAICY|6TBNT|7DUR|8MLV|9aRCR
10	64334 11232	   	257.99	DCR|DCR|2VULN|1MLV|1DUR	16VULN|2MDPS|3AEPOI|4AIRBOS|5BBNT|7DUR|8MLV|9aRCR
11	66236 33322	 * 	256.09	DCR|3VULN|2DMG|2DUR|1TLV	136VULN|25DMG|45DUR|5BPWR|7TLV|8BOSS|9MULARM|aRCR
12	11162 21121	 * 	255.24	DCR|DCR|2VULN|1TLV	1TLV|2FEWX|3BBNT|4RPLT|5RAT|68VULN|7CGEN|9aRCR
13	13562 21121	   	255.24	DCR|DCR|2VULN|1TLV	1TLV|2TBNT|3FEWX|4RPLT|5RAT|68VULN|7CGEN|9aRCR
14	11225 46121	   	255.24	DCR|DCR|2VULN|1TLV	1TLV|2FEWX|38VULN|4CGEN|5RPLT|6RAT|7TBNT|9aRCR
15	21215 46121	   	255.24	DCR|DCR|2VULN|1TLV	1CGEN|2FEWX|38VULN|4TLV|5RPLT|6RAT|7TBNT|9aRCR
16	62233 51411	 * 	255.14	DCR|DCR|2VULN|2DUR	13VULN|2BEXP|4TBNT|56DUR|7aRCR|8RAT|9RPLT
17	63136 21411	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2AME|3TBNT|4TLV|6LWND|7aRCR|8RAT|9RPLT
18	32334 41432	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	1LHND|2BEXP|38DUR|4BLAICY|5BBNT|6TLV|7VULN|9aRCR
19	32334 45132	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1LHND|2BEXP|37DUR|4BLAICY|5BBNT|6TLV|8VULN|9aRCR
20	62434 11222	   	254.94	DCR|DCR|2VULN|2DUR	16VULN|2BEXP|37DUR|4AIRBOS|5BBNT|8aRCR|9TBNT
21	13236 15432	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1TLV|2TBNT|3AEWIND|4MGNSTR|5MDPS|6VULN|78DUR|9aRCR
22	13236 41432	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1TLV|2TBNT|3AEWIND|4MGNSTR|5MDPS|68DUR|7VULN|9aRCR
23	13236 45132	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1TLV|2TBNT|3AEWIND|4MGNSTR|5MDPS|67DUR|8VULN|9aRCR
24	13432 36132	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1TLV|2TBNT|3MSLFST|46DUR|5LHND|7LEGI|8VULN|9aRCR
25	51132 33331	 * 	254.94	ACR|DCR|2VULN|1TLV|2CDMG|1DUR	1RCVC|2aRCR|3TLV|4AEBURN|57VULN|6DUR|89CDMG
26	62112 16212	 * 	254.43	DCR|3VULN|2FLTARM|1TLV|1DUR	17aVULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8DUR|9RCR
27	62112 16412	   	254.43	DCR|3VULN|2FLTARM|1TLV|1DUR	17aVULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8RCR|9DUR
28	66235 21321	 * 	254.05	DCR|3VULN|2MLV|2DUR|1DMG|1AART	138VULN|2DMG|48DUR|58MLV|6DMSP|7AART|8BPWR|9RCR|aZMB
29	66235 21323	   	254.05	DCR|3VULN|2MLV|2DUR|1DMG|1AART	138VULN|2DMG|48DUR|58MLV|6DMSP|7AART|8BPWR|9RCR|aLWND
30	66235 21322	   	253.95	DCR|3VULN|2MLV|2DUR|1DMG|1AART	138VULN|2DMG|48DUR|58MLV|6DMSP|7AART|8BPWR|9RCR|aTBNT
31	11134 54132	 * 	252.82	DCR|DCR|2TLV|1VULN|1DUR	14TLV|2FEWX|3BBNT|5DUST|6SNITOX|7DUR|8VULN|9aRCR
32	11134 64132	   	252.82	DCR|DCR|2TLV|1VULN|1DUR	14TLV|2FEWX|3BBNT|5DUST|6CANTOX|7DUR|8VULN|9aRCR
33	62112 16433	 * 	252.36	DCR|2VULN|2FLTARM|1TLV|1DMG|1CDMG	17VULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8RCR|9DMG|aCDMG
34	36235 22261	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LHND|2DMG|3VULN|4RCVC|5MLV|6AART|7aRCR|8ERES|9BOSS
35	62236 21411	 * 	251.18	DCR|DCR|3VULN	135VULN|2BEXP|4TBNT|6LWND|7aRCR|8RAT|9RPLT
36	63356 33113	   	250.48	DCR|3VULN|2DMG|1TLV|1DUR	156VULN|2AME|3ASPD|45DMG|5BPWR|7TLV|8AEFBLL|9DUR|aRCR
37	61313 32561	 * 	250.17	ACR|DCR|4VULN|2ASPD|1AAC	168aVULN|29RCR|36ASPD|4AAC|5BELT|6BPWR|7CGEN
38	65333 15323	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2BBNT|39RAT|4FEWX|5BEXP|6TLV|7DMG|8aRCR
39	65333 15333	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2BBNT|3RAT|4FEWX|59BEXP|6TLV|7DMG|8aRCR
40	65333 15313	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2BBNT|3RAT|4FEWX|5BEXP|6TLV|7DMG|8aRCR|9AEWIND
41	61633 32332	   	248.62	ACR|DCR|2VULN|1TLV|1DUR|1CDMG	18VULN|2aRCR|3DUR|4CANSTR|5CDMG|6ZMB|7LWND|9TLV
42	61633 33332	   	248.62	ACR|DCR|2VULN|1TLV|1DUR|1CDMG	18VULN|2aRCR|3DUR|4CANSTR|5CDMG|6ZMB|7BEXP|9TLV
43	66242 23321	 * 	246.91	DCR|4VULN|2MLV|1DMG|1AART	1378VULN|2DMG|48MLV|5AART|68DUST|8BPWR|9RCR|aZMB
44	66242 23323	   	246.91	DCR|4VULN|2MLV|1DMG|1AART	1378VULN|2DMG|48MLV|5AART|68DUST|8BPWR|9RCR|aLWND
45	66242 23322	   	246.81	DCR|4VULN|2MLV|1DMG|1AART	1378VULN|2DMG|48MLV|5AART|68DUST|8BPWR|9RCR|aTBNT
46	65532 21221	 * 	246.44	DCR|3VULN|2MLV|2DUR|1TLV	18aVULN|2BBNT|3aMLV|4TLV|5FEWX|6RCVC|7RCR|9aDUR|aBPWR
47	61332 26343	 * 	246.22	ACR|DCR|2DMG|1VULN|1TLV|2ASPD	1VULN|27RCR|36ASPD|4MULHEA|59DMG|8AME|aTLV
48	62112 16211	   	245.94	DCR|2VULN|2FLTARM|1TLV|1DUR|1AAC	17VULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8DUR|9RCR|aAAC
49	62112 16411	   	245.94	DCR|2VULN|2FLTARM|1TLV|1DUR|1AAC	17VULN|27BEXP|3AME|4TLV|5BELT|67FLTARM|7BPWR|8RCR|9DUR|aAAC
50	66242 32321	 * 	245.62	DCR|2VULN|2AART|1TLV|1DMG|1MLV|1DUR	13VULN|2DMG|4MLV|58AART|6LHND|7RCR|9TLV|aDUR
51	64421 11233	   	245.49	DCR|3VULN|2DMG|2DUR|1MLV	189VULN|2MDPS|39DMG|4LHND|5AME|69DUR|7RCR|9BPWR|aMLV
52	21162 22321	   	244.64	DCR|DCR|2VULN|1MLV	1CGEN|2FEWX|3TBNT|4RPLT|5RAT|67VULN|8MLV|9aRCR
53	23562 22321	   	244.64	DCR|DCR|2VULN|1MLV	1CGEN|2TBNT|3FEWX|4RPLT|5RAT|67VULN|8MLV|9aRCR
54	65162 22321	   	244.64	DCR|DCR|2VULN|1MLV	16VULN|2BBNT|3RMIN|4RPLT|5RAT|7FEWX|8MLV|9aRCR
55	11162 25321	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2FEWX|3BBNT|4RPLT|57RAT|6VULN|8MLV|9aRCR
56	11236 51511	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2FEWX|3VULN|4MDPS|5LWND|6MLV|7aRCR|8RAT|9RPLT
57	13562 25321	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2TBNT|3FEWX|4RPLT|57RAT|6VULN|8MLV|9aRCR
58	36236 33226	   	244.14	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	1LHND|25DMG|35VULN|4RCVC|5BPWR|6ASPD|7RCR|8DUR|9TLV|aMLV
59	66351 33113	   	243.94	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	16VULN|24DMG|3ASPD|5MLV|7TLV|8AEFBLL|9DUR|aRCR
60	62233 21411	   	242.69	DCR|DCR|2VULN|1DUR	13VULN|2BEXP|4TBNT|5DUR|6RCVC|7aRCR|8RAT|9RPLT
61	65162 11121	   	242.69	DCR|DCR|2VULN|1DUR	18VULN|2BBNT|3RMIN|4RPLT|5RAT|6DUR|7CGEN|9aRCR
62	65162 31121	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2BBNT|3RMIN|4RPLT|5RAT|6TLV|7RCVC|8DUR|9aRCR
63	65162 33121	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2BBNT|37RMIN|4RPLT|5RAT|6TLV|8DUR|9aRCR
64	11231 11511	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1TLV|2FEWX|3VULN|4MDPS|5AME|6DUR|7aRCR|8RAT|9RPLT
65	13432 54132	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1TLV|2TBNT|3MSLFST|4DUR|5LHND|6RMIN|7CGEN|8VULN|9aRCR
66	32334 41332	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	18LHND|2BEXP|3DUR|4BLAICY|5BBNT|6TLV|7VULN|9aRCR
67	63162 13621	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2AME|3TBNT|4RPLT|5RAT|6RCVC|7DUR|8TLV|9aRCR
68	13236 15632	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TLV|2TBNT|3AEWIND|4MGNSTR|5MDPS|6VULN|7DUR|8RCVC|9aRCR
69	13236 41632	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TLV|2TBNT|3AEWIND|4MGNSTR|5MDPS|6DUR|7VULN|8RCVC|9aRCR
70	13236 54132	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1TLV|2TBNT|3AEWIND|4MGNSTR|5MDPS|6AEFRZ|7DUR|8VULN|9aRCR
