0	Index      	 *	Score 	Summary	Detail	
1	62331 42352	 * 	309.61	橙橙2等级3攻速2伤害	13a攻速23伤害3a序列升级4a风暴减费5a等级69核7随机矿8赏金塔
2	62231 42352	   	296.29	橙橙2等级2伤害2攻速	1a攻速2a伤害3烈焰减费4风暴减费5a等级69核7随机矿8赏金塔a序列升级
3	42353 23253	 * 	296.02	橙橙2伤害1易伤1矿等1攻速	1矿等2攻速3最后敌人4易伤5a伤害6金币生成79核8挖尘
4	62331 41351	   	290.42	橙橙2伤害1等级2攻速	13攻速23伤害3序列升级4风暴减费5等级69核7金币生成8赏金塔a全技能
5	62331 42351	   	290.42	橙橙2伤害1等级2攻速	13攻速23伤害3序列升级4风暴减费5等级69核7随机矿8赏金塔a全技能
6	62331 43351	   	290.32	橙橙2伤害1等级2攻速	13攻速23伤害3序列升级4风暴减费5等级69核7掉矿8赏金塔a全技能
7	42531 32224	 * 	287.02	橙橙2等级2攻速1矿等	1矿等23攻速4风暴减费56等级7a核8立即金币9火球减费
8	42353 23252	   	286.74	橙橙1易伤1矿等1伤害1攻速	1矿等2攻速3最后敌人4易伤5伤害6金币生成79核8挖尘a时间
9	26331 11632	   	286.29	橙橙2等级1矿等1攻速1暴击	1随机矿2金币生成3矿等4暴击5最后敌人6攻速79等级8a核
10	41334 11632	   	286.29	橙橙2等级1矿等1攻速1暴击	1矿等2随机矿3最后敌人4金币生成5暴击6攻速79等级8a核
11	41431 11632	   	286.29	橙橙2等级1矿等1攻速1暴击	1矿等2随机矿3金币生成4暴击5最后敌人6攻速79等级8a核
12	41324 11632	   	286.19	橙橙2等级1矿等1攻速1暴击	1矿等2随机矿3最后敌人4掉矿5暴击6攻速79等级8a核
13	21343 34423	 * 	284.24	橙2易伤2矿等2伤害1等级	1随机矿28易伤3核弹4时间58伤害68矿等7雷电减费8序列升级9核a等级
14	62331 41352	   	282.11	橙橙2伤害1等级2攻速	13攻速23伤害3序列升级4风暴减费5等级69核7金币生成8赏金塔a最后敌人
15	62331 41353	   	282.01	橙橙2伤害1等级2攻速	13攻速23伤害3序列升级4风暴减费5等级69核7金币生成8赏金塔a掉矿
16	62331 42353	   	282.01	橙橙2伤害1等级2攻速	13攻速23伤害3序列升级4风暴减费5等级69核7随机矿8赏金塔a掉矿
17	62331 43352	   	282.01	橙橙2伤害1等级2攻速	13攻速23伤害3序列升级4风暴减费5等级69核7掉矿8赏金塔a最后敌人
18	62331 43353	   	281.91	橙橙2伤害1等级2攻速	13攻速23伤害3序列升级4风暴减费5等级69核7a掉矿8赏金塔
