0	Index      	 *	Score 	Summary	Detail	
1	11315 33651	 * 	298.69	紫橙4易伤2矿等	15a毒液对冰2立即金币38核457a易伤5a序列升级6挖青9a矿等
2	11315 33631	 * 	290.56	紫橙4易伤2等级	15a毒液对冰2立即金币38核457a易伤5a序列升级6挖青9a等级
3	15315 33631	   	290.36	紫橙4易伤2等级	1a毒液对冰25毒气减费38核457a易伤5a序列升级6挖青9a等级
4	21321 18515	 * 	287.86	橙橙1易伤1等级1矿等1暴击	1暴击2赏金邻近3金币生成4加一5易伤6等级7毒液对冰8a核9矿等
5	21221 18515	   	287.76	橙橙1易伤1等级1矿等1暴击	1暴击2赏金邻近3掉矿4加一5易伤6等级7毒液对冰8a核9矿等
6	21321 17515	   	287.76	橙橙1易伤1等级1矿等1暴击	1暴击2赏金邻近3金币生成4加一5易伤6等级7导弹对黄8a核9矿等
7	21221 17515	   	287.66	橙橙1易伤1等级1矿等1暴击	1暴击2赏金邻近3掉矿4加一5易伤6等级7导弹对黄8a核9矿等
8	32325 28341	 * 	287.07	橙橙2易伤1等级	1赏金邻近2雷电3等级4加一56易伤7时间8a核9随机技能
9	52325 28341	   	287.07	橙橙2易伤1等级	1赏金塔2雷电3等级4加一56易伤7时间8a核9随机技能
10	11315 13633	 * 	285.61	紫橙3易伤1等级1矿等	15毒液对冰2立即金币38核457易伤5序列升级6挖尘9等级a矿等
11	11315 33634	   	285.61	紫橙3易伤1等级1矿等	15毒液对冰2立即金币38核457易伤5序列升级6挖青9等级a矿等
12	15315 13633	   	285.41	紫橙3易伤1等级1矿等	1毒液对冰25毒气减费38核457易伤5序列升级6挖尘9等级a矿等
13	26351 52312	 * 	284.24	橙橙1易伤1矿等1伤害1暴击	1暴击2伤害3最后敌人4雷电5低血量敌人68核7时间9矿等a易伤
14	11311 43651	   	279.43	紫橙3易伤2矿等	1a毒液对冰2立即金币38核47a易伤5火球减费6最后敌人9a矿等a序列升级
15	11315 12651	   	279.43	紫橙3易伤2矿等	15a毒液对冰2立即金币38核45a易伤5a序列升级6挖尘7风暴减费9a矿等
16	11315 13651	   	279.43	紫橙3易伤2矿等	15a毒液对冰2立即金币38核457易伤5a序列升级6a挖尘9a矿等
17	11311 13651	   	279.33	紫橙3易伤2矿等	1a毒液对冰2立即金币38核47a易伤5火球减费6挖尘9a矿等a序列升级
18	11315 13653	   	279.33	紫橙3易伤2矿等	15毒液对冰2立即金币38核457易伤5序列升级6挖尘9a矿等
19	15311 13651	   	279.23	紫橙3易伤2矿等	1a毒液对冰2毒气减费38核47a易伤5火球减费6挖尘9a矿等a序列升级
20	32325 25341	   	278.76	橙橙2易伤1等级	1赏金邻近2雷电3等级4加一56易伤7低血量敌人8a核9随机技能
21	32326 24341	   	278.76	橙橙2易伤1等级	1赏金邻近2雷电3等级4加一5低血量敌人67易伤8a核9随机技能
22	52325 25341	   	278.76	橙橙2易伤1等级	1赏金塔2雷电3等级4加一56易伤7低血量敌人8a核9随机技能
23	52326 24341	   	278.76	橙橙2易伤1等级	1赏金塔2雷电3等级4加一5低血量敌人67易伤8a核9随机技能
24	32325 24341	   	278.66	橙橙2易伤1等级	1赏金邻近2雷电3等级4加一56易伤7基地爆炸8a核9随机技能
25	32325 64341	   	278.66	橙橙2易伤1等级	1赏金邻近2雷电3等级4加一57易伤6基地爆炸8a核9随机技能
26	32328 24341	   	278.66	橙橙2易伤1等级	1赏金邻近2雷电3等级4加一5基地爆炸67易伤8a核9随机技能
27	52325 24341	   	278.66	橙橙2易伤1等级	1赏金塔2雷电3等级4加一56易伤7基地爆炸8a核9随机技能
28	52325 64341	   	278.66	橙橙2易伤1等级	1赏金塔2雷电3等级4加一57易伤6基地爆炸8a核9随机技能
29	52328 24341	   	278.66	橙橙2易伤1等级	1赏金塔2雷电3等级4加一5基地爆炸67易伤8a核9随机技能
30	12235 33414	   	274.31	橙橙1易伤1等级1矿等	1毒液对冰2等级34平台5易伤6赏金塔7矿等8a核9技能点
31	13121 43266	 * 	271.72	橙2矿等2等级1易伤1伤害1技能	1a毒液对冰2技能3a等级4随机矿5伤害6核7易伤8a矿等9全技能a序列升级
32	11315 43631	   	271.50	紫橙3易伤2等级	15a毒液对冰2立即金币38核457易伤5a序列升级6a最后敌人9a等级
33	11315 42631	   	271.40	紫橙3易伤2等级	15a毒液对冰2立即金币38核45a易伤5a序列升级6最后敌人7风暴减费9a等级
34	11311 43631	   	271.30	紫橙3易伤2等级	1a毒液对冰2立即金币38核47a易伤5火球减费6最后敌人9a等级a序列升级
35	11315 12631	   	271.30	紫橙3易伤2等级	15a毒液对冰2立即金币38核45a易伤5a序列升级6挖尘7风暴减费9a等级
36	11315 13631	   	271.30	紫橙3易伤2等级	15a毒液对冰2立即金币38核457易伤5a序列升级6a挖尘9a等级
37	11311 13631	   	271.20	紫橙3易伤2等级	1a毒液对冰2立即金币38核47a易伤5火球减费6挖尘9a等级a序列升级
38	15311 43631	   	271.20	紫橙3易伤2等级	1a毒液对冰2毒气减费38核47a易伤5火球减费6最后敌人9a等级a序列升级
39	15311 13631	   	271.10	紫橙3易伤2等级	1a毒液对冰2毒气减费38核47a易伤5火球减费6挖尘9a等级a序列升级
40	15315 12631	   	271.10	紫橙3易伤2等级	1a毒液对冰25毒气减费38核45a易伤5a序列升级6挖尘7风暴减费9a等级
41	15315 13631	   	271.10	紫橙3易伤2等级	1a毒液对冰25a毒气减费38核457易伤5a序列升级6挖尘9a等级
