0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41533 34443	7	 * 	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	1RCVC|29ASPD|36DUR|4MBVNT|569DMG|69BPWR|79aVULN|8RCR
2	26152 24113	4	 * 	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	15LHND|2TLV|3CDMG|457aVULN|5BPWR|68DUR|9RCR
3	31212 31355	9	 * 	264.36	DCR|3VULN|3DUR|1TLV|3LIT	189LIT|29CGEN|348DUR|5ERES|6TLV|789VULN|89BPWR|aRCR
4	32212 31355	9	   	264.36	DCR|3VULN|3DUR|1TLV|3LIT	189LIT|29MLV|348DUR|5ERES|6TLV|789VULN|89BPWR|aRCR
5	36132 31365	9	   	264.36	DCR|3VULN|3DUR|1TLV|3LIT	189LIT|2DMSP|3CGEN|489DUR|5ERES|6TLV|789VULN|89BPWR|aRCR
6	42125 31253	4	 * 	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	1RCVC|28CDMG|38DUR|4DUST|5TLV|6AART|78aVULN|8BPWR|9RCR
7	11223 25346	7	 * 	260.30	DCR|4VULN|2TLV|2DUR	157LWND|26DUR|37TLV|4789VULN|7BPWR|aRCR
8	31231 66632	5	 * 	259.21	DCR|4VULN|3DUR|3LIT	168LIT|25CGEN|38aDUR|4678VULN|68BPWR|9RCR
9	31212 31163	10	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT	19LIT|2CGEN|349DUR|5ERES|6TLV|789VULN|9BPWR|aRCR
10	31212 31166	9	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT	19LIT|2CGEN|349DUR|5ERES|6TLV|789VULN|9BPWR|aRCR
11	31212 31356	8	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT	18LIT|2CGEN|348DUR|5ERES|6TLV|789VULN|8BPWR|aRCR
12	32212 31356	8	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT	18LIT|2MLV|348DUR|5ERES|6TLV|789VULN|8BPWR|aRCR
13	33131 21332	1	 * 	256.52	DCR|3VULN|1TLV|3LIT|1DMG|1DUR	127LIT|378VULN|4TLV|5DMG|67LWND|7BPWR|9RCR|aDUR
