0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61252 23342	7	 * 	286.05	DCR|5VULN|3DUR|2LIT|1SELL	179DUR|2RCVC|3SELL|45679VULN|79BPWR|89LIT|aRCR
2	62621 34321	2	 * 	282.36	DCR|3VULN|3DMG|3DUR	145DUR|245DMG|3TBNT|45BPWR|6RCR|79aVULN|8RCVC
3	62621 53321	2	   	282.36	DCR|3VULN|3DMG|3DUR	145DUR|245DMG|3TBNT|45BPWR|69aVULN|7RCR|8RCVC
4	62223 52361	7	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	19aDUR|29DMG|3CGEN|4CDMG|5RPLT|689VULN|7RCR|9BPWR
5	62223 52363	7	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	19DUR|29DMG|3CGEN|4CDMG|5RPLT|689VULN|7RCR|9BPWR|aASPD
6	62522 31126	8	 * 	277.79	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG	18DUR|2aDMG|3TLV|4CDMG|5aVULN|6BEXP|7aASPD|9RCR|aBPWR
7	62621 33632	2	   	277.41	DCR|2VULN|3DMG|3DUR|1CDMG	145DUR|245DMG|3TBNT|45BPWR|6RCR|7CDMG|89VULN|aLIT
8	62334 15232	5	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17DUR|27DMG|3LWND|4AART|5CDMG|678VULN|7BPWR|9BEXP|aRCR
9	62623 22324	2	 * 	276.77	DCR|2VULN|3DMG|3DUR|2ASPD	148DUR|248DMG|3TBNT|48BPWR|59VULN|6CGEN|78ASPD|aRCR
10	62231 62161	5	 * 	276.12	DCR|4VULN|2DMG|2DUR	17DUR|26DMG|3CGEN|4LHND|568aVULN|6BPWR|9RCR
11	62131 62161	5	   	276.02	DCR|4VULN|2DMG|2DUR	17DUR|26DMG|3ERES|4LHND|568aVULN|6BPWR|9RCR
12	62123 53223	9	   	274.66	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	158DUR|28DMG|3ERES|4CDMG|6RCR|78ASPD|8BPWR|9aVULN
13	62123 53253	8	   	274.66	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	158DUR|28DMG|3ERES|4CDMG|6RCR|78ASPD|8BPWR|9aVULN
14	31222 34244	6	 * 	274.49	DCR|5VULN|2DMG|1AART	1AART|25RMIN|3aDMG|4689aVULN|7RCR|aBPWR
15	31222 34443	6	   	274.49	DCR|5VULN|2DMG|1AART	1AART|25RMIN|38DMG|4689aVULN|7RCR|8BPWR
16	31216 34243	6	   	274.39	DCR|5VULN|2DMG|1AART	1AART|2RMIN|34DMG|5689aVULN|7RCR
17	62223 52162	7	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19DUR|289DMG|3CGEN|4CDMG|5RPLT|69VULN|7RCR|9BPWR|aTLV
18	32453 31123	6	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1AART|2aERES|3DUR|4RPLT|589aVULN|6RCR|7aDMG|aBPWR
19	32453 34123	7	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1AART|2aERES|3DUR|4RPLT|589aVULN|6RCR|7aDMG|aBPWR
20	62131 42511	10	   	270.92	DCR|3VULN|2DMG|2DUR|2AART	1aDUR|2aDMG|3ERES|4LHND|59aVULN|67AART|8RCR|aBPWR
21	31216 34214	6	 * 	270.61	DCR|4VULN|3DMG|1AART	1AART|29RMIN|34aDMG|568aVULN|7RCR|aBPWR
22	62332 61222	2	   	270.31	DCR|2VULN|3DMG|3DUR|2LIT|1NUKE	147DUR|259DMG|39VULN|6NUKE|89LIT|9BPWR|aRCR
23	31222 34264	6	   	269.91	DCR|4VULN|2DMG|2LIT|1AART	1AART|25RMIN|3aDMG|468aVULN|7RCR|9aLIT|aBPWR
24	62522 31126	7	 * 	269.52	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV|1DUR	1DUR|2aDMG|3TLV|48CDMG|5aVULN|6BEXP|7aASPD|9RCR|aBPWR
25	62621 33136	2	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	145DUR|245DMG|3TBNT|45BPWR|6RCR|7CDMG|8FEWX|9aVULN
