0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61473 37332	2	 * 	301.24	DCR|5VULN|3DMG|1TLV	1MBVNT|245DMG|3459aVULN|45BPWR|6TLV|7RCR|8LIT
2	14662 13111	3	 * 	295.60	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	128DUR|38DMG|4TLV|5BBNT|6CDMG|78aVULN|8BPWR|9RCR
3	61473 37312	2	 * 	290.98	DCR|4VULN|3DMG|2TLV	1MBVNT|245DMG|345aVULN|45BPWR|69TLV|7RCR|8LIT
4	61473 37334	2	   	290.98	DCR|4VULN|3DMG|2TLV	1MBVNT|245DMG|3459VULN|45BPWR|6aTLV|7RCR|8LIT
5	15533 13332	8	 * 	288.14	DCR|3VULN|3DUR|1TLV|3ASPD|1DMG	139DUR|239ASPD|39BPWR|4BEXP|5DMG|6RCR|789VULN|aTLV
6	61473 37342	2	   	287.76	DCR|3VULN|3DMG|1TLV|1DUR	1MBVNT|245DMG|345VULN|45BPWR|6TLV|7RCR|8LIT|9AART|aDUR
7	61473 37333	2	   	282.90	DCR|4VULN|3DMG|1TLV	1MBVNT|245DMG|3459VULN|45BPWR|6TLV|7RCR|8LIT|aCGEN
8	61473 37331	2	   	282.80	DCR|4VULN|3DMG|1TLV	1MBVNT|245DMG|3459VULN|45BPWR|6TLV|7RCR|8LIT|aBBNT
9	64442 24366	2	 * 	282.10	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|359VULN|458DUR|58BPWR|6RCR|78CDMG|aAART
10	15533 13232	7	 * 	281.04	DCR|2VULN|3DUR|2DMG|1TLV|3ASPD	139DUR|239ASPD|39BPWR|4BEXP|58DMG|6RCR|79VULN|aTLV
11	15533 14232	6	   	281.04	DCR|2VULN|3DUR|2DMG|1TLV|3ASPD	139DUR|239ASPD|39BPWR|4BEXP|58DMG|6RCR|79VULN|aTLV
12	15533 16232	6	   	281.04	DCR|2VULN|3DUR|2DMG|1TLV|3ASPD	139DUR|239ASPD|39BPWR|4BEXP|57DMG|6RCR|89VULN|aTLV
13	15543 13232	7	   	281.04	DCR|2VULN|3DUR|2DMG|1TLV|3ASPD	139DUR|239ASPD|39BPWR|4LHND|58DMG|6RCR|79VULN|aTLV
14	64442 24367	2	   	280.75	DCR|3VULN|3DUR|2TLV|2CDMG	1MBVNT|28TLV|359VULN|458DUR|58BPWR|6RCR|78CDMG|aLIT
15	64442 13458	2	 * 	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2TLV|358aVULN|45DUR|5BPWR|6DMG|7LIT|9RCR
16	64442 22138	2	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2TLV|357aVULN|45DUR|5BPWR|6RCR|8LIT|9DMG
17	61151 61142	10	 * 	279.71	DCR|3VULN|3DMG|3DUR	1MBVNT|247DMG|3LIT|578VULN|679DUR|7BPWR|aRCR
18	15533 13334	8	 * 	279.53	DCR|3VULN|3DUR|2DMG|3ASPD	139DUR|239ASPD|39BPWR|4BEXP|5aDMG|6RCR|789VULN
19	61473 37324	2	   	278.00	DCR|3VULN|3DMG|1TLV|1DUR	1MBVNT|245DMG|345VULN|45BPWR|6TLV|7RCR|8LIT|9ERES|aDUR
20	64442 14458	2	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2TLV|35aVULN|45DUR|5BPWR|67DMG|8LIT|9RCR
21	14622 41233	7	 * 	276.80	DCR|4VULN|3DUR|2DMG	124DUR|39DMG|5RCVC|689aVULN|7RCR|9BPWR
22	61473 37143	2	   	274.59	DCR|4VULN|3DMG|1TLV	1MBVNT|245DMG|345aVULN|45BPWR|6TLV|7RCR|8LWND|9RPLT
23	61473 37114	2	   	274.49	DCR|4VULN|3DMG|1TLV	1MBVNT|245DMG|345aVULN|45BPWR|6TLV|7RCR|8LWND|9BBNT
24	62142 24366	1	   	273.92	DCR|3VULN|3DUR|1TLV|2CDMG	1MBVNT|238DUR|4TLV|589VULN|6RCR|78CDMG|8BPWR|aAART
25	12563 31511	1	   	273.78	DCR|3VULN|1TLV|3ASPD|1DMG|1DUR|1CDMG	1DUR|245ASPD|345VULN|45BPWR|6TLV|7BBNT|8CDMG|9RCR|aDMG
26	41233 15232	8	 * 	273.21	DCR|2VULN|3DMG|3DUR|1TLV	1RMIN|279DUR|3RCVC|47BEXP|579DMG|6RCR|79BPWR|89VULN|aTLV
27	14233 13232	7	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	129DUR|3RMIN|4BEXP|589DMG|6RCR|79VULN|9BPWR|aTLV
28	14233 14232	6	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	129DUR|3RMIN|4BEXP|589DMG|6RCR|79VULN|9BPWR|aTLV
