0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21563 13532	8	 * 	291.69	DCR|5VULN|3DMG|1ASPD	1RMIN|248DMG|34589VULN|48BPWR|6RCR|78BEXP|aASPD
2	21563 13533	8	   	288.99	DCR|5VULN|3DMG	1RMIN|248DMG|34589VULN|48BPWR|6RCR|78BEXP|aLIT
3	21563 12324	10	 * 	281.11	DCR|4VULN|3DMG|2CDMG	1RMIN|249DMG|345aVULN|49BPWR|6RCR|79MLV|89CDMG
4	21563 12326	9	   	281.11	DCR|4VULN|3DMG|2CDMG	1RMIN|249DMG|345aVULN|49BPWR|6RCR|79MLV|89CDMG
5	21563 33243	8	   	281.08	DCR|5VULN|2DMG|1TLV	1RMIN|24DMG|3458aVULN|4BPWR|6TLV|7RPLT|9RCR
6	21563 33253	9	   	281.08	DCR|5VULN|2DMG|1TLV	1RMIN|24DMG|3458aVULN|4BPWR|6TLV|7RPLT|9RCR
7	21513 16533	8	   	280.78	DCR|5VULN|3DMG	1RMIN|28aDMG|3589aVULN|4RCVC|6RCR|78aLHND|8aBPWR
8	21563 11133	7	   	280.68	DCR|5VULN|3DMG	1RMIN|24aDMG|3459aVULN|4aBPWR|6RCR|7DMSP|8aLHND
9	21563 11233	8	   	280.68	DCR|5VULN|3DMG	1RMIN|24aDMG|3459aVULN|4aBPWR|6RCR|7DMSP|8aLWND
10	21563 11253	9	   	280.68	DCR|5VULN|3DMG	1RMIN|24aDMG|3459aVULN|4aBPWR|6RCR|7DMSP|8aLWND
11	21563 13511	10	   	280.68	DCR|5VULN|3DMG	1RMIN|248DMG|3458aVULN|48BPWR|6RCR|789BEXP
12	21563 13523	10	   	280.68	DCR|5VULN|3DMG	1RMIN|248DMG|3458aVULN|48BPWR|6RCR|78BEXP|9ZMB
13	21563 13531	8	   	280.68	DCR|5VULN|3DMG	1RMIN|248DMG|34589VULN|48BPWR|6RCR|78BEXP|aFEWX
14	21563 15133	6	   	280.68	DCR|5VULN|3DMG	1RMIN|24aDMG|3459aVULN|4aBPWR|6RCR|7RCVC|8aLHND
15	21563 16133	6	   	280.68	DCR|5VULN|3DMG	1RMIN|24aDMG|3459aVULN|4aBPWR|6RCR|7DMSP|8aLHND
16	21563 16133	8	   	280.68	DCR|5VULN|3DMG	1RMIN|24aDMG|3459aVULN|4aBPWR|6RCR|78aLHND
17	21563 16333	8	   	280.68	DCR|5VULN|3DMG	1RMIN|24aDMG|3459aVULN|4aBPWR|6RCR|7aLHND|8RCVC
18	22563 13532	8	 * 	278.18	DCR|5VULN|3ASPD|1DMG	1RMIN|248ASPD|34589VULN|48BPWR|6RCR|78BEXP|aDMG
19	11534 12234	7	   	277.89	DCR|4VULN|2DMG|1TLV|1DUR	17ZMB|2TLV|3579VULN|47DMG|6RMIN|7BPWR|8DUR|aRCR
20	21563 32234	7	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1RMIN|24DMG|3459VULN|4BPWR|6TLV|7CGEN|8DUR|aRCR
21	21563 13531	10	   	277.39	DCR|4VULN|3DMG|1DUR	1RMIN|248DMG|3458VULN|48BPWR|6RCR|78BEXP|9MLV|aDUR
22	21563 11513	6	   	277.19	DCR|4VULN|3DMG|1DUR	1RMIN|24aDMG|3458VULN|4BPWR|6RCR|7CGEN|9DUR
23	21563 12513	7	   	277.19	DCR|4VULN|3DMG|1DUR	1RMIN|24aDMG|3458VULN|4BPWR|6RCR|7MLV|9DUR
24	21563 33241	8	   	277.19	DCR|4VULN|3DMG|1TLV	1RMIN|24aDMG|3458VULN|4BPWR|6TLV|7RPLT|9RCR
25	21563 33251	9	   	277.19	DCR|4VULN|3DMG|1TLV	1RMIN|24aDMG|3458VULN|4BPWR|6TLV|7RPLT|9RCR
26	21563 13521	8	   	277.15	DCR|4VULN|3DMG|1DUR|1SELL	1RMIN|248DMG|3458VULN|48BPWR|6RCR|78BEXP|9SELL|aDUR
27	21232 31316	3	 * 	276.33	DCR|3VULN|3DMG|3TLV|1AART	1RMIN|29aDMG|3LIT|49aVULN|5AART|69aTLV|7RCR|8BBNT|9aBPWR
28	21563 31363	8	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1RMIN|24DMG|345aVULN|4BPWR|6TLV|7LEGI|8CDMG|9RCR
29	21563 13513	9	   	274.79	DCR|4VULN|3DMG|1CDMG	1RMIN|248DMG|3458VULN|48BPWR|6RCR|789BEXP|aCDMG
30	21563 13512	8	   	274.69	DCR|4VULN|3DMG|1CDMG	1RMIN|248DMG|3458VULN|48BPWR|6RCR|78BEXP|9DUST|aCDMG
31	21563 22163	5	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	1RMIN|24DMG|345aVULN|4BPWR|6ASPD|7RPLT|8RCR|9DUR
32	21563 31324	6	   	272.54	DCR|4VULN|2DMG|1TLV|1ASPD	1RMIN|24DMG|3458VULN|4BPWR|6TLV|7BEXP|9ASPD|aRCR
33	21563 13512	9	   	272.15	DCR|4VULN|3DMG|1ASPD	1RMIN|248DMG|3458VULN|48BPWR|6RCR|789BEXP|aASPD
34	23344 16312	10	 * 	271.39	DCR|4VULN|2DMG|3CDMG	1RMIN|2BELT|3578VULN|48DMG|68aCDMG|8BPWR|9RCR
35	43135 23431	6	   	270.91	DCR|4VULN|3DMG|1AART	19aMLV|2RPLT|3RMIN|4AART|59aDMG|6RCR|789aVULN|9aBPWR
36	21563 13521	10	   	270.81	DCR|4VULN|3DMG|1AART	1RMIN|248DMG|3458VULN|48BPWR|6RCR|78BEXP|9ZMB|aAART
37	21563 11243	7	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	1RMIN|24aDMG|345VULN|4BPWR|6RCR|7DMSP|8DUR|9TLV
38	21563 11621	7	   	269.85	DCR|4VULN|2DMG|1DUR	1RMIN|24DMG|345aVULN|4BPWR|6RCR|7DMSP|8LIT|9DUR
39	21563 14332	7	 * 	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1RMIN|24DMG|345VULN|4BPWR|6RCR|7aDUR|8TLV|9CGEN
40	23344 11143	8	   	268.62	DCR|3VULN|2DMG|2CDMG|1TLV|1AART	1RMIN|2BELT|357VULN|47DMG|67CDMG|7BPWR|8TLV|9RCR|aAART
41	22532 23624	3	   	268.35	DCR|5VULN|2ASPD|1DMG	1RMIN|24ASPD|3478aVULN|4BPWR|5DMG|6MBVNT|9RCR
42	22562 23624	4	   	268.35	DCR|5VULN|2ASPD|1DMG	1RMIN|24ASPD|3478aVULN|4BPWR|5DMG|6MBVNT|9RCR
43	21563 13422	8	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	1RMIN|249DMG|345VULN|4BPWR|6RCR|7BEXP|8DUR|aCDMG
44	21563 14222	8	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	1RMIN|249DMG|345VULN|4BPWR|6RCR|7DUR|8FEWX|aCDMG
45	21563 14322	8	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	1RMIN|249DMG|345VULN|4BPWR|6RCR|7DUR|8BEXP|aCDMG
46	21563 31361	8	   	268.10	DCR|3VULN|3DMG|1TLV|1CDMG	1RMIN|24aDMG|345VULN|4BPWR|6TLV|7LEGI|8CDMG|9RCR
47	23344 11133	10	   	267.27	DCR|3VULN|2DMG|2CDMG|1TLV	1RMIN|2BELT|357VULN|47DMG|67CDMG|7BPWR|8TLV|9LIT|aRCR
48	11125 52521	1	 * 	266.96	DCR|4VULN|3DUR|2LIT	178ZMB|267DUR|3LWND|48LIT|5678VULN|678BPWR|9CGEN|aRCR
49	22563 13533	8	   	266.42	DCR|5VULN|3ASPD	1RMIN|248ASPD|34589VULN|48BPWR|6RCR|78BEXP|aLIT
50	22532 22624	3	 * 	266.40	DCR|4VULN|2DMG|2ASPD	1RMIN|24ASPD|348aVULN|4BPWR|57DMG|6MBVNT|9RCR
51	22532 22681	3	   	266.40	DCR|4VULN|2DMG|2ASPD	1RMIN|24ASPD|3489VULN|4BPWR|57DMG|6MBVNT|aRCR
52	22532 23623	3	   	266.40	DCR|4VULN|2DMG|2ASPD	1RMIN|24ASPD|3478VULN|4BPWR|5aDMG|6MBVNT|9RCR
53	22562 22624	4	   	266.40	DCR|4VULN|2DMG|2ASPD	1RMIN|24ASPD|348aVULN|4BPWR|57DMG|6MBVNT|9RCR
54	22562 23623	4	   	266.40	DCR|4VULN|2DMG|2ASPD	1RMIN|24ASPD|3478VULN|4BPWR|5aDMG|6MBVNT|9RCR
55	21563 13322	7	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1RMIN|24DMG|345VULN|4BPWR|6RCR|7BEXP|8TLV|9ASPD|aDUR
56	21563 11253	7	   	265.56	DCR|3VULN|3DMG|1DUR|1ASPD	1RMIN|24aDMG|345VULN|4BPWR|6RCR|7DMSP|8DUR|9ASPD
57	21563 13323	7	   	265.56	DCR|3VULN|3DMG|1TLV|1ASPD	1RMIN|24aDMG|345VULN|4BPWR|6RCR|7BEXP|8TLV|9ASPD
58	21532 33624	3	   	265.46	DCR|3VULN|3DMG|1TLV|1ASPD	1RMIN|245DMG|346VULN|46BPWR|7TLV|8ASPD|9MBVNT|aRCR
59	21562 33624	4	   	265.46	DCR|3VULN|3DMG|1TLV|1ASPD	1RMIN|245DMG|346VULN|46BPWR|7TLV|8ASPD|9MBVNT|aRCR
60	23344 11231	10	   	265.35	DCR|4VULN|2DMG|2CDMG	1RMIN|2BELT|3579VULN|47DMG|67CDMG|7BPWR|8LHND|aRCR
61	23344 16321	10	   	265.35	DCR|4VULN|2DMG|2CDMG	1RMIN|2BELT|3578VULN|48DMG|68CDMG|8BPWR|9LHND|aRCR
62	23324 16314	9	   	265.35	DCR|4VULN|2DMG|2CDMG	1RMIN|2BELT|378aVULN|4RCVC|58DMG|68CDMG|8BPWR|9RCR
63	23344 16311	10	   	265.35	DCR|4VULN|2DMG|2CDMG	1aRMIN|2BELT|3578VULN|48DMG|68CDMG|8BPWR|9RCR
64	23344 16313	9	   	265.35	DCR|4VULN|2DMG|2CDMG	1RMIN|2BELT|3578VULN|48DMG|68CDMG|8BPWR|9RCR|aFEWX
65	23344 16313	10	   	265.35	DCR|4VULN|2DMG|2CDMG	1RMIN|2BELT|3578VULN|48DMG|68CDMG|8BPWR|9RCR|aBEXP
66	21534 31412	10	 * 	265.25	DCR|4VULN|2DMG|2TLV|1NUKE	1RMIN|28DMG|358aVULN|4NUKE|6RPLT|78TLV|8BPWR|9RCR
