0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21336 43632	2	 * 	283.52	DCR|3VULN|3DMG|1DUR|1ASPD|1AART	1ASPD|269DMG|3DUR|4LIT|568VULN|6BPWR|7AART|aRCR
2	34314 22334	9	 * 	282.60	DCR|4VULN|2ASPD|2CDMG|2AART|1DUR	15AART|27ASPD|37CDMG|4679VULN|7BPWR|8DUR|aRCR
3	25521 13222	10	 * 	279.20	DCR|4VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458aVULN|5BPWR|6AART|7DMG|9RCR
4	21143 41413	7	 * 	275.46	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG|1AART	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7MLV|8RCR|9DUR|aAART
5	21153 16412	7	 * 	275.41	DCR|3VULN|3DMG|3CDMG|1ASPD	1ASPD|245DMG|345CDMG|45BPWR|6FEWX|79aVULN|8RCR
6	21153 36412	7	   	275.41	DCR|3VULN|3DMG|3CDMG|1ASPD	1ASPD|245DMG|345CDMG|45BPWR|6BEXP|79aVULN|8RCR
7	21153 26412	7	   	275.31	DCR|3VULN|3DMG|3CDMG|1ASPD	1ASPD|245DMG|345CDMG|45BPWR|6DUST|79aVULN|8RCR
8	25632 37314	10	 * 	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	1aASPD|29DUR|34aVULN|5RCVC|6MBVNT|7RCR|8aDMG|aBPWR
9	34314 22314	8	 * 	274.54	DCR|3VULN|2DUR|2ASPD|2CDMG|2AART	15AART|27ASPD|37CDMG|467VULN|7BPWR|89DUR|aRCR
10	23244 31511	7	 * 	274.46	DCR|5VULN|3ASPD|1TLV	179ASPD|2TLV|379LWND|4RPLT|56789VULN|79BPWR|aRCR
11	25521 13225	9	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7aDMG|9RCR
12	33532 15522	6	   	274.05	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	1AART|27ERES|35DMG|47DUR|678VULN|7BPWR|9ASPD|aRCR
13	21336 42263	2	   	273.86	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|269DMG|3DUR|4LIT|567VULN|6BPWR|8CGEN|aRCR
14	21336 42363	2	   	273.86	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|269DMG|3DUR|4LIT|567VULN|6BPWR|8MLV|aRCR
15	21336 42613	2	   	273.86	DCR|3VULN|3DMG|1DUR|1ASPD	1ASPD|268DMG|3DUR|4LIT|567VULN|6BPWR|9MLV|aRCR
16	36314 33161	9	 * 	273.41	DCR|2VULN|3DMG|2DUR|2AART|1CDMG	15AART|279DMG|3CDMG|49VULN|6RCR|89DUR|9BPWR|aBEXP
17	36314 33161	10	   	273.41	DCR|2VULN|3DMG|2DUR|2AART|1CDMG	15AART|279DMG|3CDMG|49VULN|6RCR|89DUR|9BPWR|aLWND
18	36314 33162	9	   	273.41	DCR|2VULN|3DMG|2DUR|2AART|1CDMG	15AART|279DMG|3CDMG|49VULN|6RCR|89DUR|9BPWR|aFEWX
19	36314 33162	10	   	273.41	DCR|2VULN|3DMG|2DUR|2AART|1CDMG	15AART|279DMG|3CDMG|49VULN|6RCR|89DUR|9BPWR|aZMB
20	36314 33163	9	   	273.41	DCR|2VULN|3DMG|2DUR|2AART|1CDMG	15AART|279DMG|3CDMG|49VULN|6RCR|89DUR|9BPWR|aLHND
21	36314 33163	10	   	273.41	DCR|2VULN|3DMG|2DUR|2AART|1CDMG	15AART|279DMG|3CDMG|49VULN|6RCR|89DUR|9BPWR|aRMIN
