0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11255 33335	10	 * 	297.70	DCR|3VULN|3DMG|3DUR|1TLV	14aVULN|24aDUR|3RPLT|4aBPWR|5ERES|6RCR|7TLV|89aDMG
2	16413 62322	8	   	294.14	DCR|3VULN|3DMG|2DUR|1TLV	14aVULN|2AART|35aDMG|6ZMB|7TLV|8RCR|9aDUR|aBPWR
3	13532 22532	7	 * 	291.65	DCR|4VULN|3DUR|1TLV|3CDMG	189aVULN|289CDMG|3TLV|4MLV|589DUR|6RPLT|7RCR|89BPWR
4	11251 21523	7	 * 	290.13	DCR|3VULN|3DUR|2DMG|2TLV	148VULN|245DUR|3RPLT|48BPWR|68TLV|78DMG|9BBNT|aRCR
5	11251 23523	6	   	290.13	DCR|3VULN|3DUR|2DMG|2TLV	148VULN|245DUR|3RPLT|48BPWR|68TLV|78DMG|9BBNT|aRCR
6	11262 33335	10	   	284.38	DCR|3VULN|3DMG|2DUR|1TLV	15aVULN|2aDUR|3RPLT|4ERES|6RCR|7TLV|89aDMG|aBPWR
7	14332 53153	1	 * 	283.92	DCR|5VULN|2TLV|1DMG|1DUR	13478VULN|2DMG|58ERES|68TLV|8BPWR|9RCR|aDUR
8	14362 23153	1	   	283.92	DCR|5VULN|2TLV|1DMG|1DUR	13678VULN|2DMG|48TLV|58ERES|8BPWR|9RCR|aDUR
9	11353 63421	1	 * 	282.52	DCR|4VULN|2DMG|1TLV|3ASPD	178aVULN|2TBNT|3TLV|45aASPD|6RCR|9aDMG|aBPWR
10	11253 33635	10	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	14aVULN|24aDUR|35RPLT|4aBPWR|6ERES|7TLV|8RCR|9aDMG
11	14421 21315	8	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	139VULN|2FEWX|479DUR|59DMG|6RPLT|8RCR|9BPWR|aTLV
