0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36111 12356	5	 * 	291.73	DCR|5VULN|2DUR|1DMG|1CDMG	1CGEN|24568VULN|35DUR|5BPWR|7DMG|9CDMG|aRCR
2	51122 57244	6	 * 	289.35	DCR|4VULN|3DUR|2DMG	137DUR|2CGEN|4MBVNT|57DMG|679aVULN|7BPWR|8RCR
3	51122 87244	5	   	289.35	DCR|4VULN|3DUR|2DMG	137DUR|2CGEN|4MBVNT|57DMG|679aVULN|7BPWR|8RCR
4	53122 57244	6	   	289.25	DCR|4VULN|3DUR|2DMG	137DUR|2ERES|4MBVNT|57DMG|679aVULN|7BPWR|8RCR
5	53122 87244	5	   	289.25	DCR|4VULN|3DUR|2DMG	137DUR|2ERES|4MBVNT|57DMG|679aVULN|7BPWR|8RCR
6	42154 13212	3	 * 	286.77	DCR|3VULN|3DUR|2DMG|3TLV	1RMIN|28aTLV|3aDMG|458DUR|68aVULN|7TBNT|8aBPWR|9RCR
7	51122 57242	6	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	137DUR|2CGEN|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aTLV
8	51122 87242	5	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	137DUR|2CGEN|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aTLV
9	53122 57242	6	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	137DUR|2ERES|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aTLV
10	53122 87242	5	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	137DUR|2ERES|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aTLV
11	51316 25212	3	 * 	282.73	DCR|4VULN|3DUR|3ASPD	168DUR|2aCGEN|38aASPD|468aVULN|5TBNT|68aBPWR|7RMIN|9RCR
12	51532 23212	3	 * 	282.56	DCR|3VULN|3DMG|3DUR	148DUR|2aCGEN|38aDMG|58aVULN|6RMIN|7TBNT|8aBPWR|9RCR
13	51534 13212	3	   	282.56	DCR|3VULN|3DMG|3DUR	148DUR|2aCGEN|38aDMG|5RMIN|68aVULN|7TBNT|8aBPWR|9RCR
14	51632 23212	2	   	282.56	DCR|3VULN|3DMG|3DUR	148DUR|2aCGEN|38aDMG|58aVULN|6RMIN|7TBNT|8aBPWR|9RCR
15	51634 13212	2	   	282.56	DCR|3VULN|3DMG|3DUR	148DUR|2aCGEN|38aDMG|5RMIN|68aVULN|7TBNT|8aBPWR|9RCR
16	53316 25212	3	   	282.53	DCR|4VULN|3DUR|3ASPD	168DUR|2aERES|38aASPD|468aVULN|5TBNT|68aBPWR|7RMIN|9RCR
17	53632 23212	2	   	282.36	DCR|3VULN|3DMG|3DUR	148DUR|2aERES|38aDMG|58aVULN|6RMIN|7TBNT|8aBPWR|9RCR
18	53634 13212	2	   	282.36	DCR|3VULN|3DMG|3DUR	148DUR|2aERES|38aDMG|5RMIN|68aVULN|7TBNT|8aBPWR|9RCR
19	51322 22431	1	   	281.80	DCR|4VULN|3DUR|1TLV|1CDMG	189DUR|2CDMG|3789VULN|489BEXP|5BBNT|6RCR|89BPWR|aTLV
20	54121 38243	4	 * 	276.37	DCR|3VULN|3DUR|3CDMG|2ASPD	138DUR|29ASPD|4MBVNT|578CDMG|689VULN|89BPWR|aRCR
21	54131 38243	3	   	276.37	DCR|3VULN|3DUR|3CDMG|2ASPD	138DUR|29ASPD|4MBVNT|578CDMG|689VULN|89BPWR|aRCR
22	52122 51733	10	   	276.27	DCR|3VULN|3DUR|2DMG|1NUKE|1AART	138DUR|2NUKE|4MBVNT|58DMG|689VULN|7AART|8BPWR|aRCR
23	52222 51733	10	   	276.27	DCR|3VULN|3DUR|2DMG|1NUKE|1AART	138DUR|2NUKE|38BPWR|4MBVNT|58DMG|689VULN|7AART|aRCR
24	53513 26211	3	   	276.27	DCR|3VULN|3DUR|2DMG|1AART	17aDUR|24ERES|34aVULN|4aBPWR|5MBVNT|6RCR|8aDMG|9AART
25	53513 26211	4	   	276.27	DCR|3VULN|3DUR|2DMG|1AART	17aDUR|2ERES|34aVULN|5MBVNT|6RCR|8aDMG|9AART|aBPWR
26	36111 55321	9	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1CGEN|245aVULN|35DUR|5BPWR|6CDMG|7DMG|8MBVNT|9RCR
27	36111 55321	10	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1CGEN|245aVULN|35DUR|5BPWR|6CDMG|7DMG|8MBVNT|9RCR
28	63121 55121	9	   	271.66	DCR|4VULN|3DUR|1DMG	1LEGI|258aVULN|345DUR|5BPWR|6BELT|7RCR|9DMG
29	63121 55131	8	   	271.66	DCR|4VULN|3DUR|1DMG	1LEGI|258aVULN|345DUR|5BPWR|6BELT|7RCR|9DMG
30	36113 17244	3	 * 	271.24	DCR|5VULN|3DUR|1NUKE	17CGEN|2479aVULN|347DUR|47BPWR|5MBVNT|6NUKE|8RCR
31	63121 12323	6	   	270.98	DCR|3VULN|3DUR|1DMG|1CDMG	1LEGI|257VULN|345DUR|5BPWR|6CDMG|8LIT|9DMG|aRCR
32	54227 42143	8	 * 	270.53	DCR|2VULN|3DUR|2DMG|3ASPD	137DUR|236ASPD|39BPWR|4MBVNT|59VULN|89DMG|aRCR
33	51316 25213	3	 * 	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	168DUR|2CGEN|38ASPD|468VULN|5TBNT|68BPWR|7RMIN|9RCR|aDMG
34	53316 25213	3	   	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	168DUR|2ERES|38ASPD|468VULN|5TBNT|68BPWR|7RMIN|9RCR|aDMG
35	36111 14116	3	 * 	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	16CGEN|247VULN|348DUR|46BPWR|56CDMG|9DMG|aRCR
36	61634 14472	5	   	268.09	DCR|3VULN|2DMG|2DUR|2LIT|1SELL	1LEGI|2MBVNT|3SELL|46aVULN|56DUR|6aBPWR|7aDMG|8aLIT|9RCR
37	36113 17242	3	   	267.95	DCR|4VULN|3DUR|1TLV|1NUKE	17CGEN|2479VULN|347DUR|47BPWR|5MBVNT|6NUKE|8RCR|aTLV
38	53511 12323	10	   	267.47	DCR|5VULN|2DUR|1AART	18DUR|256ERES|34589VULN|58BPWR|7AART|aRCR
39	34154 13212	3	   	266.91	DCR|3VULN|3DUR|2DMG	18aCGEN|2RMIN|3aDMG|458DUR|68aVULN|7TBNT|8aBPWR|9RCR
40	36112 32365	3	   	266.81	DCR|3VULN|3DUR|2DMG	18CGEN|24aVULN|348DUR|48BPWR|5LHND|6ERES|78DMG|9RCR
41	52524 13212	5	   	266.81	DCR|3VULN|3DUR|2DMG|1NUKE	158DUR|2NUKE|3aDMG|48aCGEN|68aVULN|7TBNT|8aBPWR|9RCR
42	52524 13212	4	   	266.81	DCR|3VULN|3DUR|2DMG|1NUKE	158DUR|2NUKE|3aDMG|48aCGEN|68aVULN|7TBNT|8aBPWR|9RCR
43	52532 33212	3	   	266.81	DCR|3VULN|3DUR|2DMG|1NUKE	148DUR|2NUKE|3aDMG|58aVULN|68aCGEN|7TBNT|8aBPWR|9RCR
44	51122 57241	6	   	266.71	DCR|3VULN|3DUR|2DMG	137DUR|2CGEN|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aBEXP
45	51122 57243	6	   	266.71	DCR|3VULN|3DUR|2DMG	137DUR|2CGEN|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aLWND
46	51122 87241	5	   	266.71	DCR|3VULN|3DUR|2DMG	137DUR|2CGEN|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aBEXP
47	51122 87243	5	   	266.71	DCR|3VULN|3DUR|2DMG	137DUR|2CGEN|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aLWND
48	63122 32365	6	   	266.71	DCR|3VULN|3DUR|2DMG	1LEGI|28aVULN|348DUR|5CGEN|6MLV|78DMG|8BPWR|9RCR
49	36127 37244	4	   	266.71	DCR|3VULN|3DUR|2DMG	17CGEN|29aVULN|367DUR|4MBVNT|57DMG|7BPWR|8RCR
50	53122 57241	6	   	266.61	DCR|3VULN|3DUR|2DMG	137DUR|2ERES|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aBEXP
51	53122 57243	6	   	266.61	DCR|3VULN|3DUR|2DMG	137DUR|2ERES|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aLWND
52	53122 87241	5	   	266.61	DCR|3VULN|3DUR|2DMG	137DUR|2ERES|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aBEXP
53	53122 87243	5	   	266.61	DCR|3VULN|3DUR|2DMG	137DUR|2ERES|4MBVNT|57DMG|679VULN|7BPWR|8RCR|aLWND
54	51122 57221	6	   	266.61	DCR|3VULN|3DUR|2DMG	137DUR|2CGEN|4MBVNT|57DMG|67aVULN|7BPWR|8RCR|9TBNT
55	51122 87221	5	   	266.61	DCR|3VULN|3DUR|2DMG	137DUR|2CGEN|4MBVNT|57DMG|67aVULN|7BPWR|8RCR|9TBNT
56	63122 32365	5	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|28aVULN|348DUR|5CGEN|6ERES|78DMG|8BPWR|9RCR
57	63123 32365	4	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|28aVULN|348DUR|5CGEN|6ERES|78DMG|8BPWR|9RCR
58	53122 57221	6	   	266.51	DCR|3VULN|3DUR|2DMG	137DUR|2ERES|4MBVNT|57DMG|67aVULN|7BPWR|8RCR|9TBNT
59	53122 87221	5	   	266.51	DCR|3VULN|3DUR|2DMG	137DUR|2ERES|4MBVNT|57DMG|67aVULN|7BPWR|8RCR|9TBNT
