0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33322 13445	1	 * 	282.63	DCR|4VULN|3DUR|3ASPD	17aASPD|267aVULN|3BBNT|456DUR|67aBPWR|8RCR|9aZMB
2	33322 13625	1	 * 	279.86	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|267VULN|3BBNT|456DUR|67BPWR|9DMG|aRCR
3	13251 55322	2	 * 	275.12	DCR|3VULN|3DUR|2DMG	1RPLT|29DMG|379DUR|4LIT|5LHND|689VULN|9BPWR|aRCR
4	33322 13412	1	   	272.91	DCR|4VULN|3DUR|2ASPD	17ASPD|267aVULN|3BBNT|456DUR|67BPWR|8RCR|9DMSP
5	33322 13442	1	   	272.91	DCR|4VULN|3DUR|2ASPD	17ASPD|267aVULN|3BBNT|456DUR|67BPWR|8RCR|9ZMB
6	36352 13412	2	   	272.91	DCR|4VULN|3DUR|2ASPD	17ASPD|256DUR|3BBNT|467aVULN|67BPWR|8RCR|9DMSP
7	33322 13462	1	   	272.81	DCR|4VULN|3DUR|2ASPD	17ASPD|267aVULN|3BBNT|456DUR|67BPWR|8RCR|9ERES
8	21533 15216	3	   	272.42	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	1LWND|26ASPD|3CDMG|4TLV|56aVULN|6BPWR|7DMG|8DUR|9RCR
9	33323 22631	1	 * 	272.15	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR|1AART	18ASPD|28aVULN|3BBNT|4DUR|5AART|6DMG|78TLV|8BPWR|9RCR
10	32222 55481	1	   	269.55	DCR|3VULN|2ASPD|2TLV|1DMG|1CDMG|1AART	17ASPD|2CDMG|379VULN|4AART|57TLV|6MBVNT|7BPWR|8RCR|aDMG
11	32634 11226	1	 * 	268.53	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD	1ASPD|26CDMG|3DUR|4TLV|56aVULN|6BPWR|7LHND|8RCR|9DMG
12	32634 11263	1	   	268.53	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD	1ASPD|26CDMG|3DUR|4TLV|569VULN|6BPWR|7LHND|8RCR|aDMG
13	32311 33625	7	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2CGEN|39aDUR|4LWND|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
14	32321 33625	7	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2CGEN|39aDUR|4LHND|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
15	32331 32625	6	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2CGEN|39aDUR|4BEXP|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
16	32331 32825	8	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2CGEN|39aDUR|4BEXP|5LIT|6RCR|7MBVNT|89aVULN|9aBPWR
17	32331 33625	7	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2CGEN|39aDUR|4BEXP|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
18	34311 33625	7	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2MLV|39aDUR|4LWND|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
19	34321 33625	7	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2MLV|39aDUR|4LHND|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
20	34331 32625	6	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2MLV|39aDUR|4BEXP|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
21	34331 32825	8	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2MLV|39aDUR|4BEXP|5LIT|6RCR|7MBVNT|89aVULN|9aBPWR
22	34331 33625	7	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2MLV|39aDUR|4BEXP|5LIT|6RCR|79aVULN|8MBVNT|9aBPWR
23	31421 32625	7	   	268.30	DCR|3VULN|3DUR|3ASPD	19aASPD|2BEXP|39aVULN|4MLV|5LIT|6RCR|7MBVNT|89aDUR|9aBPWR
24	33144 13362	1	 * 	267.99	ACR|4VULN|3DMG|3ASPD	179ASPD|2469VULN|346DMG|469BPWR|5RCR|89LHND|aLIT
