0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61233 13151	6	 * 	290.97	DCR|4VULN|3DMG|2CDMG|1AART	19aFEWX|25CDMG|3RPLT|459aVULN|59aBPWR|6RCR|7AART|89aDMG
2	31553 11116	2	 * 	287.10	DCR|3VULN|2DMG|2DUR|2TLV|1CDMG	18TLV|258VULN|3CDMG|49DUR|68DMG|7TBNT|8BPWR|aRCR
3	31631 37743	10	   	287.10	DCR|3VULN|2DMG|2DUR|2TLV|1CDMG	19TLV|248VULN|3MBVNT|59DUR|69DMG|7RCR|9BPWR|aCDMG
4	31631 37742	9	   	283.11	DCR|3VULN|2DMG|2DUR|2TLV|1AART	19TLV|248VULN|3MBVNT|59DUR|69DMG|7RCR|9BPWR|aAART
5	31646 31533	6	 * 	280.81	DCR|4VULN|3DMG|3TLV	17aTLV|279aVULN|3MBVNT|4DLOT|578DMG|6RCR|7aBPWR
6	31646 31534	6	   	280.81	DCR|4VULN|3DMG|2TLV	17TLV|279aVULN|3MBVNT|4DLOT|578DMG|6RCR|7BPWR
7	31631 15731	6	 * 	278.26	DCR|4VULN|2DUR|2TLV|1DMG|1SELL	19TLV|2489VULN|3MBVNT|59DUR|6RCR|7SELL|9BPWR|aDMG
8	33513 66331	1	   	277.57	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	16TLV|2LWND|3CDMG|4568VULN|6BPWR|7DUR|9RCR|aDMG
9	31631 13746	10	 * 	277.07	DCR|3VULN|2DUR|2ASPD|2TLV|1DMG	19TLV|248VULN|3MBVNT|59DUR|6RCR|79ASPD|9BPWR|aDMG
10	31632 23436	2	 * 	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1TLV|23459VULN|6DMG|7BEXP|8RCR|aCDMG
11	31632 22436	2	   	276.94	DCR|5VULN|1DMG|1TLV|1CDMG	1TLV|23459VULN|6DMG|7DUST|8RCR|aCDMG
12	31633 15413	7	 * 	276.94	DCR|5VULN|2TLV|1DUR|1CDMG	15TLV|24568VULN|3MBVNT|5BPWR|7RCR|9CDMG|aDUR
13	31632 15361	10	 * 	276.77	DCR|5VULN|2TLV|1DMG|1AART	19TLV|24569VULN|3MBVNT|7RCR|8AART|9BPWR|aDMG
14	31632 15364	9	   	276.77	DCR|5VULN|2TLV|1DMG|1AART	19TLV|24569VULN|3MBVNT|7RCR|8AART|9BPWR|aDMG
15	31631 12631	8	 * 	275.82	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG	19TLV|248VULN|3MBVNT|59DUR|6RCR|79CDMG|9BPWR|aDMG
16	31631 12731	7	   	275.82	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG	19TLV|248VULN|3MBVNT|59DUR|6RCR|79CDMG|9BPWR|aDMG
17	52163 21332	4	 * 	275.27	DCR|2VULN|3DMG|3DUR|2CDMG|1SELL	1SELL|24aDUR|346DMG|4aBPWR|5BBNT|7aVULN|8RCR|9aCDMG
18	31663 13236	2	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1TLV|2359VULN|4RPLT|6aDMG|7RCR|8CDMG
19	31632 23435	2	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	1TLV|23459VULN|6DMG|7BEXP|8RCR|aASPD
20	31632 33435	2	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	1TLV|23459VULN|6ASPD|7BEXP|8RCR|aDMG
21	31632 22435	2	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	1TLV|23459VULN|6DMG|7DUST|8RCR|aASPD
22	31632 32435	2	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	1TLV|23459VULN|6ASPD|7DUST|8RCR|aDMG
23	31635 11231	2	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2347VULN|5DUR|6LWND|8CDMG|9RCR|aDMG
24	31635 13611	2	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2348VULN|5DUR|6LWND|7RCR|9CDMG|aDMG
25	31553 51331	2	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2578VULN|3CDMG|4DUR|6LWND|9RCR|aDMG
26	31663 13231	2	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2359VULN|4RPLT|6DMG|7RCR|8CDMG|aDUR
27	31431 51331	5	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2478VULN|3LEGI|5DUR|6CDMG|9RCR|aDMG
28	31631 37364	9	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	19TLV|24aVULN|3MBVNT|59DUR|69DMG|7RCR|8RMIN|9BPWR
29	31631 37741	9	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	19TLV|248VULN|3MBVNT|59DUR|69DMG|7RCR|9BPWR|aMLV
30	31631 37741	10	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	19TLV|248VULN|3MBVNT|59DUR|69DMG|7RCR|9BPWR|aLHND
31	31631 37743	9	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	19TLV|248VULN|3MBVNT|59DUR|69DMG|7RCR|9BPWR|aRCVC
32	31631 37744	10	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	19TLV|248VULN|3MBVNT|59DUR|69DMG|7RCR|9BPWR|aBEXP
33	31631 37744	9	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	19TLV|248VULN|3MBVNT|59DUR|69DMG|7RCR|9BPWR|aRMIN
